กฤษฎาวิทย์,เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
กองทัพบกอุปถัมป์สื่อสารสงเคราะห์,เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
กรุงเทพคริสเตียนวิทยาลัย,แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
กว่างเจ้า,แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
กองทัพบกอุปถัมป์เพชราวุธวิทยา,แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
กาญจน์มณี,แขวงวังทองหลาง เขตบางกะปิ กรุงเทพมหานคร 10310,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
กานดา,แขวงวังทองหลาง เขตบางกะปิ กรุงเทพมหานคร 10310,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
กุหลาบวัฒนา,แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
กุหลาบวิทยา,แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
กงลี้จงชัน,แขวงตลาดพลู เขตธนบุรี กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
กรุงธนวิยาภวัน,แขวงวัดอรุณ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
กุศลศึกษา,แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
กัลยวิทย์,เขตบางกอกน้อย กรุงเทพมหานคร 10700,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
กสิณธรวิทยา,แขวงบางไผ่ เขตภาษีเจริญ กรุงเทพมหานคร 10160,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
กรพิทักษ์ศึกษา,แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
กุนนทีรุทธารามวิทยาคม,แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
กอบวิทยา,แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10320,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
กรุงธนรัตนาลัย,แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
กุลวรรณศึกษา,แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
กองทัพบกอุปถัมป์ไกรอำนวยวิทยา,แขวงทุ่งสองห้อง เขตดอนเมือง กรุงเทพมหานคร 10210,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
กลางคลองสอง (พร ดีเจริญ),แขวงสามวาตะวันตก เขตคลองสามวา กรุงเทพมหานคร 10510,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
กวดวิชาบ้านเดอมงฟอร์ต,แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
กาญจนวิทยา,ต.บางครุ อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
กลาโหมอุทิศ,ต.สวนใหญ่ อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
การัญศึกษา,ต.ตลาดขวัญ อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
กฤษณะวิทยา,ต.บางเขน อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
กสิณธร,ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110,เขตพื้นที่การศึกษานนทบุรี เขต 2
กุมุทมาส,ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 2
กาญจนาภิเษกสมโภช.9,ต.บางหลวง อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
กานต์บดี,ต.ลำผักกูด อ.ธัญบุรี จ.ปทุมธานี 12110,เขตพื้นที่การศึกษาปทุมธานี เขต 2
กลางคลองสิบ,ต.บึงทองหลาง อ.ลำลูกกา จ.ปทุมธานี 12150,เขตพื้นที่การศึกษาปทุมธานี เขต 2
กลางคลอง 27,ต.ชะแมบ อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
กระทุ่มราย,ต.บ้านรี อ.เมืองอ่างทอง จ.อ่างทอง 14000,เขตพื้นที่การศึกษาอ่างทอง เขต 1
กวดวิชาดาวตะวัน,ต.กกโก อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
กองบินโคกกะเทียม,ต.เขาพระงาม อ.เมืองลพบุรี จ.ลพบุรี 15160,เขตพื้นที่การศึกษาลพบุรี เขต 1
กลั่นวิทยา,ต.หนองแค อ.หนองแค จ.สระบุรี 18140,เขตพื้นที่การศึกษาสระบุรี เขต 2
กล่อมปฐมวัย,ต.มะขามหย่ง อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
กาญจนะวิทยา,ต.มะขามหย่ง อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
กุลศิริศาสน์,ต.มะขามหย่ง อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
กุญแจคริสเตียนวิทยา,ต.คลองกิ่ว อ.บ้านบึง จ.ชลบุรี 20220,เขตพื้นที่การศึกษาชลบุรี เขต 1
กวงฮั้ว,ต.ท่าประดู่ อ.เมืองระยอง จ.ระยอง 21000,เขตพื้นที่การศึกษาระยอง เขต 1
กิตติวิทยา,ต.วังกระแจะ อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
การทำมาหากินวัดโพธิ์เฉลิมรักษ์(อนุสรณ์วันเด็กแห่งชาติปี2537),ต.ดอนเกาะกา อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24170,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 6
กาญจนาภิเษกวิทยาลัย ฉะเชิงเทรา,ต.เกาะขนุน อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ก้อนแก้วพิทยาคม,ต.ก้อนแก้ว อ.คลองเขื่อน จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ก้อนแก้วราษฎร์บำรุง,ต.ก้อนแก้ว อ.คลองเขื่อน จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
กบินทร์วิทยา,ต.กบินทร์ อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
กบินทร์จริยาคม,ต.กบินทร์ อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 2
กบินทร์บุรี,ต.เมืองเก่า อ.กบินทร์บุรี จ.ปราจีนบุรี 25240,เขตพื้นที่การศึกษาปราจีนบุรี เขต 7
กชนันท์อนุบาล,ต.หนองกี่ อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
กระทุ่มแพ้ววิทยา,ต.กระทุ่มแพ้ว อ.บ้านสร้าง จ.ปราจีนบุรี 25150,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
กรอกสมบูรณ์วิทยาคม,ต.กรอกสมบูรณ์ อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
กองทัพบกอุทิศบ้านหนองไผ่,ต.ตาพระยา อ.ตาพระยา จ.สระแก้ว 27180,เขตพื้นที่การศึกษาสระแก้ว เขต 2
กองทัพบกอุทิศบ้านใหม่ไทยถาวร,ต.ทัพราช อ.ตาพระยา จ.สระแก้ว 27180,เขตพื้นที่การศึกษาสระแก้ว เขต 2
กรุงไทย,ต.ผ่านศึก อ.อรัญประเทศ จ.สระแก้ว 27120,เขตพื้นที่การศึกษาสระแก้ว เขต 2
การศึกษาคนตาบอดนครราชสีมา,ต.ในเมือง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
กันเกราพิทยาคม,ต.ใหม่ อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
การไฟฟ้าส่วนภูมิภาคสงเคราะห์3ฯ,ต.ธารปราสาท อ.โนนสูง จ.นครราชสีมา 30420,เขตพื้นที่การศึกษานครราชสีมา เขต 1
กุลโน,ต.ในเมือง อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
กงรถราษฎร์สามัคคี,ต.กงรถ อ.ห้วยแถลง จ.นครราชสีมา 30240,เขตพื้นที่การศึกษานครราชสีมา เขต 2
กลุ่มนิเทศติดตามและประเมินผลการจัดการศึกษา,ต.ชุมพวง อ.ชุมพวง จ.นครราชสีมา 30270,เขตพื้นที่การศึกษานครราชสีมา เขต 7
กิริวัฒนศักดิ์,ต.สูงเนิน อ.สูงเนิน จ.นครราชสีมา 30170,เขตพื้นที่การศึกษานครราชสีมา เขต 4
กุดจิกวิทยา,ต.กุดจิก อ.สูงเนิน จ.นครราชสีมา 30380,เขตพื้นที่การศึกษานครราชสีมา เขต 4
กฤษณาวิทยา,ต.กฤษณา อ.สีคิ้ว จ.นครราชสีมา 30140,เขตพื้นที่การศึกษานครราชสีมา เขต 4
กีรติศึกษา,ต.ปากช่อง อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
กลางดงปุณณวิทยา,ต.กลางดง อ.ปากช่อง จ.นครราชสีมา 30320,เขตพื้นที่การศึกษานครราชสีมา เขต 4
กระเบื้องนอกพิทยาคม,ต.กระเบื้องนอก อ.เมืองยาง จ.นครราชสีมา 30270,เขตพื้นที่การศึกษานครราชสีมา เขต 7
กุดตาดำ(คงฤทธิ์คุรุราษฎร์สามัคคี),ต.ทัพรั้ง อ.พระทองคำ จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
กนกศิลป์พิทยาคม,ต.ชุมเห็ด อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
