ขจรโรจน์วิทยา,แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ขจรโรจน์วิทยา แผนกอนุบาล,แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ขจรศึกษา,แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ขุมทองวิทยา,แขวงสามวาตะวันตก เขตคลองสามวา กรุงเทพมหานคร 10510,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ขจรทรัพย์อํารุง,ต.บ้านใหม่ อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ขจรเนติยุทธ,ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ขุนรามวิทยา,ต.ห้วยขุนราม อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
ขลุงรัชดาภิเษก,ต.วันยาว อ.ขลุง จ.จันทบุรี 22110,เขตพื้นที่การศึกษาจันทบุรี เขต 2
ขามสงเคราะห์,ต.สีสุก อ.จักราช จ.นครราชสีมา 30230,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ขามสะแกแสง,ต.ขามสะแกแสง อ.ขามสะแกแสง จ.นครราชสีมา 30290,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ขามเตี้ยพิทยาคม,ต.ห้วยยาง อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ขามทะเลสอวิทยา,ต.ขามทะเลสอ อ.ขามทะเลสอ จ.นครราชสีมา 30280,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ขนงพระใต้,ต.ขนงพระ อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
ขวาวใหญ่วิทยา,ต.ขวาวใหญ่ อ.ศีขรภูมิ จ.สุรินทร์ 32110,เขตพื้นที่การศึกษาสุรินทร์ เขต 33
ขนาดมอญพิทยาคม,ต.ตาตุม อ.สังขะ จ.สุรินทร์ 32150,เขตพื้นที่การศึกษาสุรินทร์ เขต 33
ขุขันธ์,ต.ห้วยเหนือ อ.ขุขันธ์ จ.ศรีสะเกษ 33140,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
ขุขันธ์วิทยา,ต.ห้วยเหนือ อ.ขุขันธ์ จ.ศรีสะเกษ 33140,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
ขุขันธ์ราษฎร์บำรุง,ต.ห้วยเหนือ อ.ขุขันธ์ จ.ศรีสะเกษ 33140,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
ขุนหาญวิทยาสรรค์,ต.สิ อ.ขุนหาญ จ.ศรีสะเกษ 33150,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
ขุหลุ(ประชาวิทยาคาร),ต.ขุหลุ อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ขามเปี้ยบ้านศรีสุข,ต.ขามเปี้ย อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ขุมคำวิทยาคาร,ต.แก่งเค็ง อ.กุดข้าวปุ้น จ.อุบลราชธานี 34270,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ขามนาเพียงโคกยาว,ต.สร้างนกทา อ.เมืองอำนาจเจริญ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
ขอนแก่นวิทยายน,ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
ขอนแก่นคริสเตียน,ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
ขอนแก่นพัฒนศึกษา,ต.สำราญ อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
ขอนแก่นวิทยายน 2,ต.พระลับ อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
ขอนแก่นวิเทศศึกษา,ต.บ้านหว้า อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
ขอนแก่นวิทยายน 3,ต.บ้านค้อ อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 25
ขามแก่นนคร,ต.ศิลา อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
ขอนแก่นวิทยาลัย,ต.บ้านเป็ด อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 25
ขัวเรียงศึกษา,ต.ขัวเรียง อ.ชุมแพ จ.ขอนแก่น 40130,เขตพื้นที่การศึกษาขอนแก่น เขต 5
ขามป้อมประชานุกูล,ต.หนองแซง อ.บ้านแฮด จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 2
ขามป้อมวิทยาคม,ต.ขามป้อม อ.วาปีปทุม จ.มหาสารคาม 44120,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ขัติยะวงษา,ต.เหนือเมือง อ.เมืองร้อยเอ็ด จ.ร้อยเอ็ด 45000,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ขวาววิทยาคาร,ต.ขวาว อ.เสลภูมิ จ.ร้อยเอ็ด 45000,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ขวาวคุรุประชาสรรค์,ต.หนองฮี อ.หนองฮี จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ขมิ้นพิทยาสรรพ์,ต.ขมิ้น อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 1
ขมิ้นราษฎร์สงเคราะห์,ต.ขมิ้น อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 1
ข้าวหลามชัยศรีดอนยางวิทยา,ต.กมลาไสย อ.กมลาไสย จ.กาฬสินธุ์ 46130,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 1
ขอนแก่นวิทยาเสริม,ต.กุงเก่า อ.ท่าคันโท จ.กาฬสินธุ์ 46190,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 2
ขาวสง่าเจริญวิทย์,ต.ดงหม้อทองใต้ อ.บ้านม่วง จ.สกลนคร 47140,เขตพื้นที่การศึกษาสกลนคร เขต 3
ขยายโอกาสจังหวัดน่าน,ต.ในเวียง อ.เมืองน่าน จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
ขุนควรวิทยาคม,ต.ขุนควร อ.ปง จ.พะเยา 56140,เขตพื้นที่การศึกษาพะเยา เขต 2
ขุนขวากพิทยา,ต.ท่าข้าม อ.เวียงแก่น จ.เชียงราย 57310,เขตพื้นที่การศึกษาเชียงราย เขต 4
ขุนตาลวิทยาคม,ต.ป่าตาล อ.ขุนตาล จ.เชียงราย,เขตพื้นที่การศึกษาเชียงราย เขต 4
ขุนยวมวิทยา,ต.ขุนยวม อ.ขุนยวม จ.แม่ฮ่องสอน 58140,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
ขุนยวม,ต.ขุนยวม อ.ขุนยวม จ.แม่ฮ่องสอน 58140,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
ขวัญชัยทับกฤช,ต.ทับกฤช อ.ชุมแสง จ.นครสวรรค์ 60250,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ขาณุวิทยา,ต.แสนตอ อ.ขาณุวรลักษบุรี จ.กำแพงเพชร 62130,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
ขุนห้วยตากพัฒนาศึกษา,ต.ท้องฟ้า อ.บ้านตาก จ.ตาก 63120,เขตพื้นที่การศึกษาตาก เขต 1
ขุนห้วยบ้านรุ่ง,ต.หนองหลวง อ.อุ้มผาง จ.ตาก 63170,เขตพื้นที่การศึกษาตาก เขต 2
ขุมพรพิทยา,ต.หาดเสี้ยว อ.ศรีสัชนาลัย จ.สุโขทัย 64130,เขตพื้นที่การศึกษาสุโขทัย เขต 2
