คอนเซ็ปชัญ,แขวงวชิรพยาบาล เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
คริสต์ธรรมวิทยา,แขวงมหาพฤฒาราม เขตบางรัก กรุงเทพมหานคร 10500,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
คุณะเกษมศึกษา,แขวงศิริราช เขตบางกอกน้อย กรุงเทพมหานคร 10700,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
คลองกุ่ม (เสรีไทย อนุสรณ์),แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
คลองเตยวิทยา,แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
คริสต์ธรรมศึกษา,เขตวัฒนา กรุงเทพมหานคร 10110,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
คลองกระทุ่มราษฎร์อุทิศ,ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
คลองบางปิ้ง,ต.บางเมือง อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
คลองมหาวงก์,ต.บางเมือง อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
คลองแสนสุข,ต.ท้ายบ้าน อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
คลองบางปู,ต.บางปู อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
คลองสำโรง,ต.เทพารักษ์ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
คลองใหม่,ต.แพรกษาใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
คลองกันยา,ต.บางบ่อ อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
คลองสะบัดจาก,ต.บางบ่อ อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
คลองหลุมลึก,ต.บางบ่อ อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
คลองบ้านระกาศ,ต.บ้านระกาศ อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
คลองกระแซงเตย,ต.คลองสวน อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
คลองพระยานาคราช,ต.คลองนิยมยาตรา อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
คลองบางกระบือ,ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
คลองบางแก้ว,ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
คลองปลัดเปรียง,ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
คลองบางกะสี,ต.บางปลา อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
คลองบางกะอี่,ต.บางปลา อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
คลองบางน้ำจืด,ต.บางโฉลง อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
คลองลาดกระบัง,ต.ราชาเทวะ อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
คลองสองพี่น้อง(ใจดีอุปถัมภ์),ต.ปากคลองบางปลากด อ.พระสมุทรเจดีย์ จ.สมุทรปราการ 10290,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
คลองนาเกลือน้อย,ต.ในคลองบางปลากด อ.พระสมุทรเจดีย์ จ.สมุทรปราการ 10290,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
คลองเจริญราษฎร์,ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
คลองโยงเวทีอุปถัมภ์,ต.บ้านใหม่ อ.บางใหญ่ จ.นนทบุรี 11140,เขตพื้นที่การศึกษานนทบุรี เขต 2
คล้ายสอนศึกษา,ต.บางคูรัด อ.บางบัวทอง จ.นนทบุรี 11110,เขตพื้นที่การศึกษานนทบุรี เขต 2
คลองเกลือ,ต.คลองเกลือ อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 2
คณะราษฏร์บำรุงปทุมธานี,ต.บ้านกลาง อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
คลองหนึ่งแก้วนิมิตร,ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,เขตพื้นที่การศึกษาปทุมธานี เขต 1
คลองสอง,ต.คลองสอง อ.คลองหลวง จ.ปทุมธานี 12120,เขตพื้นที่การศึกษาปทุมธานี เขต 1
คลองห้า (พฤกษชัฏ ฯ),ต.คลองห้า อ.คลองหลวง จ.ปทุมธานี 12120,เขตพื้นที่การศึกษาปทุมธานี เขต 1
คลองสิบสาม,ต.หนองสามวัง อ.หนองเสือ จ.ปทุมธานี 12170,เขตพื้นที่การศึกษาปทุมธานี เขต 2
คลอง11ศาลาครุ,ต.นพรัตน์ อ.หนองเสือ จ.ปทุมธานี 12170,เขตพื้นที่การศึกษาปทุมธานี เขต 2
คลองบางโพธิ์,ต.คูบางหลวง อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140,เขตพื้นที่การศึกษาปทุมธานี เขต 1
คลองพระอุดม,ต.คลองพระอุดม อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140,เขตพื้นที่การศึกษาปทุมธานี เขต 1
คลองลากค้อน,ต.หน้าไม้ อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140,เขตพื้นที่การศึกษาปทุมธานี เขต 1
คลองลาดช้าง,ต.หน้าไม้ อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140,เขตพื้นที่การศึกษาปทุมธานี เขต 1
คลองสระ,ต.คลองควาย อ.สามโคก จ.ปทุมธานี 12160,เขตพื้นที่การศึกษาปทุมธานี เขต 1
คลองบ้านพร้าว,ต.บ้านปทุม อ.สามโคก จ.ปทุมธานี,เขตพื้นที่การศึกษาปทุมธานี เขต 1
คลองจิก (สุขสินนุเคราะห์),ต.คลองจิก อ.บางปะอิน จ.พระนครศรีอยุธยา 13160,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
คู้สลอด 2 (ชมแช่มวิทย์อุปถัมภ์),ต.คู้สลอด อ.ลาดบัวหลวง จ.พระนครศรีอยุธยา 13230,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
คอตันคลอง 27,ต.สนับทึบ อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
คอตัน,ต.บางซ้าย อ.บางซ้าย จ.พระนครศรีอยุธยา 13270,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
คชเวกวิทยา,ต.วังพัฒนา อ.บางซ้าย จ.พระนครศรีอยุธยา 13270,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ค่ายพิบูลสงคราม,ต.ท่าแค อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
ค่ายบางระจัน,ต.บางระจัน อ.ค่ายบางระจัน จ.สิงห์บุรี 16150,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ค่ายบางระจันวิทยาคม,ต.บางระจัน อ.ค่ายบางระจัน จ.สิงห์บุรี 16150,เขตพื้นที่การศึกษาสิงห์บุรี เขต 5
คงรักษ์ประชานุเคราะห์,ต.อู่ตะเภา อ.มโนรมย์ จ.ชัยนาท 17170,เขตพื้นที่การศึกษาชัยนาท เขต 1
คุรุประชาสรรค์,ต.โพงาม อ.สรรคบุรี จ.ชัยนาท 17140,เขตพื้นที่การศึกษาชัยนาท เขต 1
คชสิทธิ์กิตติคุณวิทยาคม,ต.คชสิทธิ์ อ.หนองแค จ.สระบุรี 18250,เขตพื้นที่การศึกษาสระบุรี เขต 2
คลองกิ่วยิ่งวิทยา,ต.คลองกิ่ว อ.บ้านบึง จ.ชลบุรี 20220,เขตพื้นที่การศึกษาชลบุรี เขต 1
คิชฌกูฏวิทยา,ต.พลวง อ.เขาคิชฌกูฏ จ.จันทบุรี 22210,เขตพื้นที่การศึกษาจันทบุรี เขต 2
คลองพลูวิทยา,ต.คลองพลู อ.เขาคิชฌกูฏ จ.จันทบุรี 22210,เขตพื้นที่การศึกษาจันทบุรี เขต 2
คลองขวาง,ต.ท่ากุ่ม อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
คีรีเวสรัตนูปถัมภ์,ต.ชำราก อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
คลองใหญ่วิทยาคม,ต.คลองใหญ่ อ.คลองใหญ่ จ.ตราด 23110,เขตพื้นที่การศึกษาตราด เขต 1
คีรีศรีสาครวิทยา,ต.หนองบอน อ.บ่อไร่ จ.ตราด 23140,เขตพื้นที่การศึกษาตราด เขต 1
คลองตันคลอง 18,ต.บางขนาก อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24150,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
คลองขวาง,ต.หนองจอก อ.บางปะกง จ.ฉะเชิงเทรา 24130,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
คลองพานทอง,ต.ท่าข้าม อ.บางปะกง จ.ฉะเชิงเทรา 24130,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
คลองตาเอี่ยม,ต.หอมศีล อ.บางปะกง จ.ฉะเชิงเทรา 24180,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
คริสตสงเคราะห์,ต.องครักษ์ อ.องครักษ์ จ.นครนายก 26120,เขตพื้นที่การศึกษานครนายก เขต 1
คลองหาดพิทยาคม,ต.คลองหาด อ.คลองหาด จ.สระแก้ว 27260,เขตพื้นที่การศึกษาสระแก้ว เขต 1
คลองยางนุสรณ์,ต.ห้วยโจด อ.วัฒนานคร จ.สระแก้ว 27160,เขตพื้นที่การศึกษาสระแก้ว เขต 2
คลองน้ำใสวิทยาคาร,ต.ผ่านศึก อ.อรัญประเทศ จ.สระแก้ว 27120,เขตพื้นที่การศึกษาสระแก้ว เขต 2
