ช่างอากาศอำรุง,แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ช่างอากาศอำรุง,เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ชาตศึกษา,แขวงวัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ชาญวิทย์,แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ชิโนรสวิทยาลัย,แขวงบ้านช่างหล่อ เขตบางกอกน้อย กรุงเทพมหานคร 10700,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ชาญกิจวิทยา,แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ชินวร,แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ชาญเวทย์ศึกษาและตรอกจันทน์วิทยา,แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ชูธรรมานุสรณ์,แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ชาลีสมุทร,แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ชวลิตวิทยา,ต.ปากน้ำ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ชุมชนวัดราษฎร์บำรุง,ต.บางปู อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ชุมชนบางบ่อ,ต.บางบ่อ อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
ชุมชนวัดบ้านระกาศ,ต.บ้านระกาศ อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
ชุมชนวัดสาขลา,ต.นาเกลือ อ.พระสมุทรเจดีย์ จ.สมุทรปราการ 10290,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ชุมชนวัดสมรโกฏิ(อยู่พูนราษฎร์บำรุง),ต.บางกระสอ อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
ชุมชนวัดไทรม้า,ต.ไทรม้า อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
ชุมชนวัดบางไกรใน,ต.บางขุนกอง อ.บางกรวย จ.นนทบุรี 11130,เขตพื้นที่การศึกษานนทบุรี เขต 1
ชุมชนวัดส้มเกลี้ยง,ต.บางคูเวียง อ.บางกรวย จ.นนทบุรี 11300,เขตพื้นที่การศึกษานนทบุรี เขต 1
ชาญรัตน์วิทยา,ต.บางคูเวียง อ.บางกรวย จ.นนทบุรี 11130,เขตพื้นที่การศึกษานนทบุรี เขต 1
ชุมชนวัดบางโค(แม่นางวิทย์อุปการี),ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140,เขตพื้นที่การศึกษานนทบุรี เขต 2
ชุมชนวัดต้นเชือก(ถาวรวิทย์อุปกฤต),ต.บ้านใหม่ อ.บางใหญ่ จ.นนทบุรี 11140,เขตพื้นที่การศึกษานนทบุรี เขต 2
ชุมชนไมตรีอุทิศ,ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110,เขตพื้นที่การศึกษานนทบุรี เขต 2
ชุมชนวัดบางไผ่,ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110,เขตพื้นที่การศึกษานนทบุรี เขต 2
ชุมชนวัดไทรน้อย,ต.ไทรน้อย อ.ไทรน้อย จ.นนทบุรี 11150,เขตพื้นที่การศึกษานนทบุรี เขต 2
ชุมชนวัดราษฎร์นิยม,ต.ราษฎร์นิยม อ.ไทรน้อย จ.นนทบุรี 11150,เขตพื้นที่การศึกษานนทบุรี เขต 2
ชลประทานสงเคราะห์,ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 2
ชลประทานวิทยา,ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 2
ชุมชนวัดบางกะดี,ต.บางกะดี อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ชุมชนวัดเสด็จ,ต.สวนพริกไทย อ.เมืองปทุมธานี จ.ปทุมธานี 12170,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ชุมชนวัดบางขัน,ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ชุมชนวัดหัตถสารเกษตร,ต.คลองห้า อ.คลองหลวง จ.ปทุมธานี 12120,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ชุมชนประชาธิปัตย์วิทยาคาร,ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ชุมชนวัดพิชิตปิตยาราม,ต.บึงน้ำรักษ์ อ.ธัญบุรี จ.ปทุมธานี 12110,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ชุมชนบึงบา,ต.บึงบา อ.หนองเสือ จ.ปทุมธานี 12170,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ชุมชนประชานิกรอํานวยเวทย์,ต.หนองสามวัง อ.หนองเสือ จ.ปทุมธานี 12170,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ชุมชนวัดบัวแก้วเกษร(วรพงศ์อนุกูล),ต.ระแหง อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ชุมชนวัดหน้าไม้,ต.หน้าไม้ อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ชุมชนเลิศพินิจพิทยาคม,ต.บึงคำพร้อย อ.ลำลูกกา จ.ปทุมธานี 12150,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ชุมชนวัดทําเลทอง,ต.บึงทองหลาง อ.ลำลูกกา จ.ปทุมธานี 12150,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ชุมชนวัดจันทน์กะพ้อ,ต.บางเตย อ.สามโคก จ.ปทุมธานี 12160,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ชัยสิทธาวาส(พัฒน์สายบำรุง),ต.กระแชง อ.สามโคก จ.ปทุมธานี 12160,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ชุมชนวัดไก่เตี้ย,ต.กระแชง อ.สามโคก จ.ปทุมธานี 12160,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ชุมชนวัดบ้านร่อม,ต.บ้านร่อม อ.ท่าเรือ จ.พระนครศรีอยุธยา 13130,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ชุมชนวัดเสด็จ (คุณ ศรีประเสริฐอุปถัมภ์),ต.คลองสะแก อ.นครหลวง จ.พระนครศรีอยุธยา 13260,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ชุมชนวัดกำแพง,ต.บ้านเลน อ.บางปะอิน จ.พระนครศรีอยุธยา 13160,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ชุมชนโคกม่วงเผอิญศรีภูธรอุปภัมภ์,ต.โคกม่วง อ.ภาชี จ.พระนครศรีอยุธยา 13140,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ชุมชนวัดระโสม,ต.ระโสม อ.ภาชี จ.พระนครศรีอยุธยา 13140,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ชลประทานอนุเคราะห์,ต.พยอม อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ชายนาพัฒนา (สำเนียง สนิทอุปถัมภ์),ต.เจ้าเจ็ด อ.เสนา จ.พระนครศรีอยุธยา 13110,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ชุมชนวัดสุเมธ,ต.บ้านใหม่ อ.มหาราช จ.พระนครศรีอยุธยา 13150,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ชุมชนวัดสำพะเนียง (แร่ผดุงวิทยา),ต.สำพะเนียง อ.บ้านแพรก จ.พระนครศรีอยุธยา 13240,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ชุมชนวัดปราสาท,ต.นรสิงห์ อ.ป่าโมก จ.อ่างทอง 14130,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ชุมชนวัดริ้วหว้า,ต.บ้านพราน อ.แสวงหา จ.อ่างทอง 14150,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ชุมชนวัดวิเศษชัยชาญ,ต.ไผ่จำศิล อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ชุบศร(ร.๓๑ พัน ๑ อุปถัมภ์),ต.เขาสามยอด อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
ช่องสาริกา,ต.ช่องสาริกา อ.พัฒนานิคม จ.ลพบุรี 15220,เขตพื้นที่การศึกษาลพบุรี เขต 2
ชุมชนบ้านแก่งเสือเต้น,ต.หนองบัว อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
ชัยบาดาลวิทยา,ต.ลำนารายณ์ อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
ชัยบาดาลพิทยาคม,ต.ม่วงค่อม อ.ชัยบาดาล จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 5
ชุมชนบ้านชัยบาดาล,ต.ชัยบาดาล อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
ชุมชนตำบลหินปัก,ต.หินปัก อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
ชุมชนวัดจงโก มิตรภาพที่ ๑๕๗,ต.หนองรี อ.ลำสนธิ จ.ลพบุรี 15190,เขตพื้นที่การศึกษาลพบุรี เขต 2
ชุมชนวัดคีรีนาครัตนาราม,ต.ชอนสารเดช อ.หนองม่วง จ.ลพบุรี 15170,เขตพื้นที่การศึกษาลพบุรี เขต 2
ชุมชนวัดพระนอนจักรสีห์มิตรภาพที่ 133,ต.จักรสีห์ อ.เมืองสิงห์บุรี จ.สิงห์บุรี 16000,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ชุมชนบ้านไม้ดัด,ต.สิงห์ อ.บางระจัน จ.สิงห์บุรี 16130,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ชุมชนวัดพระปรางค์วิริยวิทยา,ต.เชิงกลัด อ.บางระจัน จ.สิงห์บุรี 16130,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ชุมชนวัดม่วง,ต.โพสังโฆ อ.ค่ายบางระจัน จ.สิงห์บุรี 16150,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ชุมชนวัดกลางท่าข้าม,ต.ท่าข้าม อ.ค่ายบางระจัน จ.สิงห์บุรี 16150,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
