ถนอมพิศวิทยา,แขวงวังทองหลาง เขตบางกะปิ กรุงเทพมหานคร 10310,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ถนอมบุตร,แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ถาวรวิทยาคาร,แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10320,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ถาวรวิทยา,ต.วัดสิงห์ อ.วัดสิงห์ จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
ถนนมิตรภาพ,ต.ลาดบัวขาว อ.สีคิ้ว จ.นครราชสีมา 30340,เขตพื้นที่การศึกษานครราชสีมา เขต 4
ถนอมศิษย์วิทยา,ต.ปากช่อง อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
ถนนสุรนารายณ์(คุรุรัฐประชาสรรค์),ต.หนองหอย อ.พระทองคำ จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ถนนหักพิทยาคม,ต.ถนนหัก อ.นางรอง จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
ถ่อนวิทยา,ต.บ้านถ่อน อ.ท่าบ่อ จ.หนองคาย 43110,เขตพื้นที่การศึกษาหนองคาย เขต 21
ถนนชัยสามัคคี,ต.นาอุดม อ.โพนทอง จ.ร้อยเอ็ด 45110,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ถ้ำปลาวิทยายน,ต.สหัสขันธ์ อ.สหัสขันธ์ จ.กาฬสินธุ์ 46140,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 1
ถิ่นโอภาสวิทยา,ต.บ้านถิ่น อ.เมืองแพร่ จ.แพร่ 54000,เขตพื้นที่การศึกษาแพร่ เขต 1
ถ้ำปินวิทยาคม,ต.บ้านถ้ำ อ.ดอกคำใต้ จ.พะเยา 56120,เขตพื้นที่การศึกษาพะเยา เขต 1
ถนอมราษฏร์บำรุง,ต.ระแหง อ.เมืองตาก จ.ตาก 63000,เขตพื้นที่การศึกษาตาก เขต 1
ถนอมราษฎร์บํารุง,ต.หัวเดียด อ.เมืองตาก จ.ตาก 63000,เขตพื้นที่การศึกษาตาก เขต 38
ถาวรวิทยา,ต.บ้านเหนือ อ.เมืองกาญจนบุรี จ.กาญจนบุรี 71000,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
ถวิลวิทยา,ต.เขาพระ อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
ถาวรานุกูล,ต.แม่กลอง อ.เมืองสมุทรสงคราม จ.สมุทรสงคราม 75000,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
ถลางพระนางสร้าง,ต.เทพกระษัตรี อ.ถลาง จ.ภูเก็ต 83110,เขตพื้นที่การศึกษาภูเก็ต เขต 1
ถลางวิทยา,อ.ถลาง จ.ภูเก็ต 83110,เขตพื้นที่การศึกษาภูเก็ต เขต 1
ถนอมศรีศึกษา,อ.เบตง จ.ยะลา 95110,เขตพื้นที่การศึกษายะลา เขต 3