ทบอ.สื่อสารสงเคราะห์,เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ทวีวัฒนา,แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ทวีธาภิเศก,แขวงวัดอรุณ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ทวีธาภิเศก 2,แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ทองพูน,แขวงคลองขวาง เขตภาษีเจริญ กรุงเทพมหานคร 10160,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ทิวไผ่งาม,แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร 10700,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ทุ่งมหาเมฆ,แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ทับทอง,แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ทรงวิทย์ศึกษา,แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
ทวีวัฒนา,แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10160,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ทรงวิทยา,ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ทดสอบ,ต.เทพารักษ์ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ท่าทรายประชาอุปถัมภ์,ต.ท่าทราย อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
ทานสัมฤทธิ์วิทยา,ต.ท่าทราย อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
ทวิวิชช์,ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ทองพูลอุทิศ,ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ทิพพากรวิทยาการ,ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ท่าเรือ(นิตยานุกูล),ต.ท่าเรือ อ.ท่าเรือ จ.พระนครศรีอยุธยา 13130,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ท่าหลวงวิทยานุกูล,ต.ท่าหลวง อ.ท่าเรือ จ.พระนครศรีอยุธยา 18270,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 3
ท่าช้างวิทยาคม,ต.ท่าช้าง อ.นครหลวง จ.พระนครศรีอยุธยา 13260,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 3
ทบอ.สองเหล่าสร้าง,ต.เขาพระงาม อ.เมืองลพบุรี จ.ลพบุรี 15160,เขตพื้นที่การศึกษาลพบุรี เขต 1
ทศธรรมศึกษา,ต.โคกสำโรง อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
ท่าวุ้งวิทยาคาร,ต.ท่าวุ้ง อ.ท่าวุ้ง จ.ลพบุรี 15150,เขตพื้นที่การศึกษาลพบุรี เขต 1
ท่าวุ้ง,ต.ท่าวุ้ง อ.ท่าวุ้ง จ.ลพบุรี 15150,เขตพื้นที่การศึกษาลพบุรี เขต 1
ท่าหลวงวิทยาคม,ต.ซับจำปา อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
ทรัพย์ราษฎร์บำรุง,ต.หัวลำ อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
ทองทาบพิทยา,ต.หนองม่วง อ.หนองม่วง จ.ลพบุรี 15170,เขตพื้นที่การศึกษาลพบุรี เขต 2
ท่าช้างวิทยาคาร,ต.ถอนสมอ อ.ท่าช้าง จ.สิงห์บุรี 16140,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ทองเอนวิทยา,ต.ทองเอน อ.อินทร์บุรี จ.สิงห์บุรี 16110,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ท่าบ้านหลวง(รัฐรังสรรค์วิทยา),ต.วังไก่เถื่อน อ.หันคา จ.ชัยนาท 17000,เขตพื้นที่การศึกษาชัยนาท เขต 1
ท้ายพิกุล(สำนักงานสลากกินแบ่งสงเคราะห์ 68),ต.พระพุทธบาท อ.พระพุทธบาท จ.สระบุรี 18120,เขตพื้นที่การศึกษาสระบุรี เขต 1
ทนาพรวิทยา,ต.บางละมุง อ.บางละมุง จ.ชลบุรี 20150,เขตพื้นที่การศึกษาชลบุรี เขต 3
ทุ่งเหียงพิทยาคม,ต.หมอนนาง อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
ท่าข้ามพิทยาคม,ต.ท่าข้าม อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 1
ทุ่งศุขลาพิทยา(กรุงไทยอนุเคราะห์),ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี 20230,เขตพื้นที่การศึกษาชลบุรี เขต 18
ทุ่งขนานวิทยา,ต.ทุ่งขนาน อ.สอยดาว จ.จันทบุรี 22180,เขตพื้นที่การศึกษาจันทบุรี เขต 17
ท่าระหัดราษฎร์สฤษฎิ์,ต.ท่าทองหลาง อ.บางคล้า จ.ฉะเชิงเทรา 24110,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ทุ่งสะเดาประชาสรรค์,ต.วังเย็น อ.แปลงยาว จ.ฉะเชิงเทรา 24190,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ทบอ.จักรพงษ์พิทยาลัย,ต.ดงพระราม อ.เมืองปราจีนบุรี จ.ปราจีนบุรี 25000,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
ทุ่งใหญ่วิทยาคาร,ต.แก่งดินสอ อ.นาดี จ.ปราจีนบุรี 25220,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
ท่าเกษมพิทยา,ต.ท่าเกษม อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
ทับทิมสยาม 05,ต.คลองไก่เถื่อน อ.คลองหาด จ.สระแก้ว 27260,เขตพื้นที่การศึกษาสระแก้ว เขต 1
ทัพราชวิทยา,ต.ทัพราช อ.ตาพระยา จ.สระแก้ว 27180,เขตพื้นที่การศึกษาสระแก้ว เขต 2
ทับทิมสยาม 03,ต.ทัพไทย อ.ตาพระยา จ.สระแก้ว 27180,เขตพื้นที่การศึกษาสระแก้ว เขต 2
ทรัพย์สมบูรณ์วิทยาคม,ต.หนองหว้า อ.เขาฉกรรจ์ จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
ทัพพระยาพิทยา,ต.โคกสูง อ.โคกสูง จ.สระแก้ว 27120,เขตพื้นที่การศึกษาสระแก้ว เขต 7
ทหารอากาศบำรุง,ต.หนองไผ่ล้อม อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ท้าวสุรนารี(2521),ต.เสิงสาง อ.เสิงสาง จ.นครราชสีมา 30330,เขตพื้นที่การศึกษานครราชสีมา เขต 3
ท้าวสุรนารี(ระดมอนุสรณ์),ต.ในเมือง อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ท่าลาด,ต.ท่าลาด อ.ชุมพวง จ.นครราชสีมา 30270,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ทับ6วิทยาคาร,ต.หนองน้ำใส อ.สีคิ้ว จ.นครราชสีมา 30140,เขตพื้นที่การศึกษานครราชสีมา เขต 4
ท่าเรือวิทยา,ต.กระเบื้องนอก อ.เมืองยาง จ.นครราชสีมา 30270,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ทัพรั้งพิทยาคม,ต.ทัพรั้ง อ.พระทองคำ จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ท่าช้างราษฏร์บำรุง,ต.ช้างทอง อ.เฉลิมพระเกียรติ จ.นครราชสีมา 30230,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ทุ่งแสงทองพิทยาคม,ต.ทุ่งแสงทอง อ.นางรอง จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
ทะเมนชัยพิทยาคม,ต.ทะเมนชัย อ.ลำปลายมาศ จ.บุรีรัมย์ 31130,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
ท่าสว่างวิทยา,ต.ท่าสว่าง อ.เมืองสุรินทร์ จ.สุรินทร์ 32000,เขตพื้นที่การศึกษาสุรินทร์ เขต 33
ท่าตูมประชาเสริมวิทย์,ต.ท่าตูม อ.ท่าตูม จ.สุรินทร์ 32120,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ท่าตูม(สนิทราษฎร์วิทยาคม),ต.ท่าตูม อ.ท่าตูม จ.สุรินทร์ 32120,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ทุ่งกุลาพิทยาคม,ต.ทุ่งกุลา อ.ท่าตูม จ.สุรินทร์ 32120,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ทวีคามวิทยา,ต.จอมพระ อ.จอมพระ จ.สุรินทร์ 32180,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
