ธนศิลป์,แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ธำรงวิทย์,แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ธนบุรีวรเทพีพลารักษ์,แขวงตลาดพลู เขตธนบุรี กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ธรรมภิรักษ์,แขวงบางบำหรุ เขตบางพลัด กรุงเทพมหานคร 10700,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ธนะนันทนา,แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ธัชรินทร์วิทยาบางเขน,แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ธนบุรีศึกษา,แขวงบางค้อ เขตจอมทอง กรุงเทพมหานคร 10150,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ธรรมศรีสุวรรณดิษฐ์,ต.บางพลีน้อย อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
ธนสิทธิ์อนุสรณ์,ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
ธัมมสิริศึกษา,ต.บางกระสอ อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
ธรรมมิสลามท่าอิฐ,ต.ท่าอิฐ อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 2
ธรรมศาสตร์คลองหลวงวิทยาคม,ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ธัญบุรี,ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ธัญวิทย์,ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ธัญรัตน์,ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ธัญญสิทธิศิลป์,ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี 12110,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ธารเกษม,ต.ธารเกษม อ.พระพุทธบาท จ.สระบุรี 18120,เขตพื้นที่การศึกษาสระบุรี เขต 1
ธรรมวาที,ต.มะขามหย่ง อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
ธารทิพย์วิทยา,ต.บ้านสวน อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
ธัมมสิริศึกษาสัตหีบ,ต.สัตหีบ อ.สัตหีบ จ.ชลบุรี 20180,เขตพื้นที่การศึกษาชลบุรี เขต 3
ธีราวิทยา,ต.เกาะขนุน อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ธรรมยานประยุต,ต.สระขวัญ อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
ธารปราสาทเพชรวิทยา,ต.ธารปราสาท อ.โนนสูง จ.นครราชสีมา 30420,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ธงชัยเหนือวิทยา,ต.ธงชัยเหนือ อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
ธารทองพิทยาคม,ต.ลำปลายมาศ อ.ลำปลายมาศ จ.บุรีรัมย์ 31130,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
ธาตุศรีนคร,ต.ธาตุ อ.รัตนบุรี จ.สุรินทร์ 32130,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ธาตุโพนทองวิทยาคม,ต.หนองนาคำ อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
ธาตุน้อยก่อสำราญ,ต.ทุ่งฝน อ.ทุ่งฝน จ.อุดรธานี 41310,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ธาตุพิทยาคม,ต.ธาตุ อ.เชียงคาน จ.เลย 42110,เขตพื้นที่การศึกษาเลย เขต 1
ธนากรสงเคราะห์,ต.หนองกอมเกาะ อ.เมืองหนองคาย จ.หนองคาย 43000,เขตพื้นที่การศึกษาหนองคาย เขต 1
ธเนตรวิทยา,ต.หอคำ อ.บึงกาฬ จ.หนองคาย 43140,เขตพื้นที่การศึกษาหนองคาย เขต 3
