นันทนศึกษา,แขวงสวนจิตรลดา เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
นิเวศน์วารินทร์,แขวงคลองถนน เขตบางเขน กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
นรธิปพิทยา,แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
นวลวรรณศึกษา,แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
นารีนิรมล,แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10250,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
นีรชาศึกษา,แขวงบางชัน เขตมีนบุรี กรุงเทพมหานคร 10510,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
นนทรีวิทยา,แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
น้ำชลชนานุกุล,แขวงบางยี่เรือ เขตธนบุรี กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
นิลประพันธ์,แขวงคลองชักพระ เขตตลิ่งชัน กรุงเทพมหานคร 10170,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
นฤมลทิน ธนบุรี,แขวงบางขุนศรี เขตบางกอกน้อย กรุงเทพมหานคร 10700,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
นพรัตน์พัฒนศาสตร์,แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
นีรนาทวิทยา,แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
นิธิปริญญา,แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
นวมินทราชูทิศ กรุงเทพมหานคร,แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10230,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
นิพัทธ์วิทยา,แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
นรรัตน์รังสฤษดิ์,แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
นราทร,แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
นาคนาวาอุปถัมภ์,แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
นฤมิตวิทยาธนบุรี,แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
นวมินทราชินูทิศ เตรียมอุดมศึกษาน้อมเกล้า,แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
นวมินทราชินูทิศ บดินทรเดชา,แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
นวมินทราชินูทิศ เบญจมราชาลัย,แขวงสามวาตะวันตก เขตคลองสามวา กรุงเทพมหานคร 10510,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
นวมินทราชินูทิศ สตรีวิทยา ๒,แขวงสามวาตะวันออก เขตคลองสามวา กรุงเทพมหานคร 10510,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
นวมินทราชินูทิศ สตรีวิทยา พุทธมณฑล,แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
นวลนรดิศวิทยาคม รัชมังคลาภิเษก,แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
นพคุณวิทยา,ต.ปากน้ำ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
นาคดีอนุสรณ์,ต.แพรกษา อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
นิลรัตน์อนุสรณ์,ต.บางโปรง อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
นวมินทราชินูทิศ สวนกุหลาบวิทยาลัยสมุทรปราการ,ต.บางปู อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
นนทบุรีพิทยาคม,ต.ท่าทราย อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
นุ่มประสงค์วิทยา,ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี 11300,เขตพื้นที่การศึกษานนทบุรี เขต 1
นันทนวรวิทย์,ต.โสนลอย อ.บางบัวทอง จ.นนทบุรี 11110,เขตพื้นที่การศึกษานนทบุรี เขต 2
นวมินทราชินูทิศ หอวัง นนทบุรี,ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 2
นนทบุรีวิทยาลัย,ต.อ้อมเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 0
นิกรราษฎร์บํารุงวิทย์,ต.บึงบอน อ.หนองเสือ จ.ปทุมธานี 12170,เขตพื้นที่การศึกษาปทุมธานี เขต 2
นิกรราษฎร์บูรณะ,ต.หนองสามวัง อ.หนองเสือ จ.ปทุมธานี 12170,เขตพื้นที่การศึกษาปทุมธานี เขต 2
นวมินทราชินูทิศ สวนกุหลาบวิทยาลัย ปทุมธานี,ต.พืชอุดม อ.ลำลูกกา จ.ปทุมธานี 12150,เขตพื้นที่การศึกษาปทุมธานี เขต 2
นครหลวง (พิบูลประเสริฐวิทย์),ต.นครหลวง อ.นครหลวง จ.พระนครศรีอยุธยา 13260,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
นครหลวง,ต.นครหลวง อ.นครหลวง จ.พระนครศรีอยุธยา 13260,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 3
