ครัววิทยา,แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
คลองฝรั่งฯ,ต.ไทรน้อย อ.ไทรน้อย จ.นนทบุรี 11150,เขตพื้นที่การศึกษานนทบุรี เขต 2
คลองหนึ่ง,ต.ไทรใหญ่ อ.ไทรน้อย จ.นนทบุรี 11150,เขตพื้นที่การศึกษานนทบุรี เขต 2
คลองโต๊ะนุ้ย,ต.ขุนศรี อ.ไทรน้อย จ.นนทบุรี 11150,เขตพื้นที่การศึกษานนทบุรี เขต 2
คลองพระพิมล,ต.ขุนศรี อ.ไทรน้อย จ.นนทบุรี 11150,เขตพื้นที่การศึกษานนทบุรี เขต 2
คลองขวางบน,ต.ลาดหลุมแก้ว อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140,เขตพื้นที่การศึกษาปทุมธานี เขต 1
คลองเจ้าเมือง,ต.คลองพระอุดม อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140,เขตพื้นที่การศึกษาปทุมธานี เขต 1
คลองตะเคียน หมู่ 2,ต.คลองตะเคียน อ.พระนครศรีอยุธยา จ.พระนครศรีอยุธยา 13000,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
คู้คด,ต.หนองน้ำส้ม อ.อุทัย จ.พระนครศรีอยุธยา 13210,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
คลองกลุ่ม,ต.ห้วยขุนราม อ.พัฒนานิคม จ.ลพบุรี 18220,เขตพื้นที่การศึกษาลพบุรี เขต 2
คลองสาริกา,ต.น้ำสุด อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
คลองเกตุ,ต.คลองเกตุ อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
คลองไทรพัฒนา,ต.บัวชุม อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
คลอง,ต.มหาโพธิ อ.สระโบสถ์ จ.ลพบุรี 15240,เขตพื้นที่การศึกษาลพบุรี เขต 2
คูเมือง,ต.ห้วยชัน อ.อินทร์บุรี จ.สิงห์บุรี 16110,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
คลองยาง,ต.โพนางดำตก อ.สรรพยา จ.ชัยนาท 17150,เขตพื้นที่การศึกษาชัยนาท เขต 1
คลองห้า(ราษฎร์บำรุง),ต.หนองโรง อ.หนองแค จ.สระบุรี 18140,เขตพื้นที่การศึกษาสระบุรี เขต 2
ครัว(ซิเมนต์ไทยสงเคราะห์),ต.บ้านครัว อ.บ้านหมอ จ.สระบุรี 18270,เขตพื้นที่การศึกษาสระบุรี เขต 1
คลองไทร,ต.หนองย่างเสือ อ.มวกเหล็ก จ.สระบุรี 18180,เขตพื้นที่การศึกษาสระบุรี เขต 2
คลองม่วงเหนือ,ต.ลำพญากลาง อ.มวกเหล็ก จ.สระบุรี 18180,เขตพื้นที่การศึกษาสระบุรี เขต 2
คุ้งเขาเขียว (สำเภาราษฎร์บำรุง),ต.หน้าพระลาน อ.เฉลิมพระเกียรติ จ.สระบุรี 18240,เขตพื้นที่การศึกษาสระบุรี เขต 1
คลองตะเคียน,ต.คลองพลู อ.หนองใหญ่ จ.ชลบุรี 20190,เขตพื้นที่การศึกษาชลบุรี เขต 1
คลองสิบแปด,ต.เขาซก อ.หนองใหญ่ จ.ชลบุรี 20190,เขตพื้นที่การศึกษาชลบุรี เขต 1
