งิ้ว,ต.โนนเมือง อ.ขามสะแกแสง จ.นครราชสีมา 30290,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ง้าง,ต.บ้านยาง อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
งิ้ว,ต.สระบัว อ.แคนดง จ.บุรีรัมย์ 31150,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
งิ้ว,ต.ยะวึก อ.ชุมพลบุรี จ.สุรินทร์ 0,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ง้อหนองแสง,ต.น้ำคำ อ.เมืองศรีสะเกษ จ.ศรีสะเกษ 33000,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
งิ้ว,ต.เอือดใหญ่ อ.ศรีเมืองใหม่ จ.อุบลราชธานี 34250,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
งิ้ว,ต.บ้านขาม อ.จัตุรัส จ.ชัยภูมิ 36130,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
งิ้ว,ต.สาวะถี อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
งอยเลิงทอง,ต.นาข่า อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
งิ้วมีชัย,ต.บ้านตาด อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
งูเหลือม,ต.ดงแดง อ.จตุรพักตรพิมาน จ.ร้อยเอ็ด 45180,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
งิ้ว(คุรุปถัมภ์),ต.ธงธานี อ.ธวัชบุรี จ.ร้อยเอ็ด 45170,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
งิ้วหว่านศึกษาคาร,ต.โนนชัยศรี อ.โพนทอง จ.ร้อยเอ็ด 45110,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
งูเหลือม,ต.นาใหญ่ อ.สุวรรณภูมิ จ.ร้อยเอ็ด 45130,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
งิ้วศิริราษฎร์บำรุง,ต.อุ่มจาน อ.กุสุมาลย์ จ.สกลนคร 47230,เขตพื้นที่การศึกษาสกลนคร เขต 1
งิ้ว,ต.กุดไห อ.กุดบาก จ.สกลนคร 47180,เขตพื้นที่การศึกษาสกลนคร เขต 2
งิ้วพังฮอ,ต.ปลาโหล อ.วาริชภูมิ จ.สกลนคร 47150,เขตพื้นที่การศึกษาสกลนคร เขต 2
ง่อนหนองพะเนาว์มิตรภาพที่ 126,ต.สว่างแดนดิน อ.สว่างแดนดิน จ.สกลนคร 47110,เขตพื้นที่การศึกษาสกลนคร เขต 2
งิ้วสร้างแก้ว,ต.บ้านค้อ อ.โพนสวรรค์ จ.นครพนม 48190,เขตพื้นที่การศึกษานครพนม เขต 2
งิ้ว,ต.โนนยาง อ.หนองสูง จ.มุกดาหาร 49160,เขตพื้นที่การศึกษามุกดาหาร เขต 1
งิ้วสูง,ต.โปงทุ่ง อ.ดอยเต่า จ.เชียงใหม่ 50260,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
งิ้วงาม,ต.แม่ตีบ อ.งาว จ.ลำปาง 52110,เขตพื้นที่การศึกษาลำปาง เขต 1
งิ้วงาม,ต.งิ้วงาม อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์ 53000,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
งอมถ้ำ,ต.ท่าแฝก อ.ท่าปลา จ.อุตรดิตถ์ 53110,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 2
งอมมด,ต.ท่าแฝก อ.ท่าปลา จ.อุตรดิตถ์ 53110,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 2
งิ้วป่าไผ่(ราษฎร์นุกูล),ต.งิ้ว อ.เทิง จ.เชียงราย 57160,เขตพื้นที่การศึกษาเชียงราย เขต 4
งิ้วใหม่,ต.งิ้ว อ.เทิง จ.เชียงราย 57230,เขตพื้นที่การศึกษาเชียงราย เขต 4
งิ้วงาม,ต.หนองยาง อ.หนองฉาง จ.อุทัยธานี 61110,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
งาช้าง,ต.สองพี่น้อง อ.ท่าแซะ จ.ชุมพร 86140,เขตพื้นที่การศึกษาชุมพร เขต 1