จางวาง,ต.หนองตาคง อ.โป่งน้ำร้อน จ.จันทบุรี 22140,เขตพื้นที่การศึกษาจันทบุรี เขต 2
จันทเขลม,ต.จันทเขลม อ.เขาคิชฌกูฏ จ.จันทบุรี 22210,เขตพื้นที่การศึกษาจันทบุรี เขต 2
จัดสรร,ต.บ่อพลอย อ.บ่อไร่ จ.ตราด 23140,เขตพื้นที่การศึกษาตราด เขต 1
จัดสรรสามัคคี,ต.คลองน้ำใส อ.อรัญประเทศ จ.สระแก้ว 27120,เขตพื้นที่การศึกษาสระแก้ว เขต 2
จอหอ,ต.จอหอ อ.เมืองนครราชสีมา จ.นครราชสีมา 30100,เขตพื้นที่การศึกษานครราชสีมา เขต 1
จั่นโคกรักษ์,ต.ด่านขุนทด อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
จะบู,ต.หนองบัวตะเกียด อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
จาน,ต.กำปัง อ.โนนไทย จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
จันอัด,ต.จันอัด อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
จอมศรี,ต.งิ้ว อ.ห้วยแถลง จ.นครราชสีมา 30240,เขตพื้นที่การศึกษานครราชสีมา เขต 2
จาบ,ต.โนนแดง อ.โนนแดง จ.นครราชสีมา 30360,เขตพื้นที่การศึกษานครราชสีมา เขต 7
จิก,ต.คูเมือง อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
จะเนียงสามัคคี,ต.สูงเนิน อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
จาน,ต.หนองเต็ง อ.กระสัง จ.บุรีรัมย์,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
จาน,ต.หนองยายพิมพ์ อ.นางรอง จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
จรอกใหญ่,ต.ละเวี้ย อ.ประโคนชัย จ.บุรีรัมย์ 31140,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
จรเข้มาก,ต.จรเข้มาก อ.ประโคนชัย จ.บุรีรัมย์ 31140,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
จะหลวย,ต.ร่อนทอง อ.สตึก จ.บุรีรัมย์ 31150,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
จบก,ต.สนวน อ.ห้วยราช จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
จันรม,ต.ตาอ็อง อ.เมืองสุรินทร์ จ.สุรินทร์ 32000,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
จักจรูก,ต.แกใหญ่ อ.เมืองสุรินทร์ จ.สุรินทร์ 32000,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
จันทร์งาม,ต.บัวโคก อ.ท่าตูม จ.สุรินทร์ 32120,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
จอมพระ,ต.จอมพระ อ.จอมพระ จ.สุรินทร์ 32180,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
จบก,ต.บ้านผือ อ.จอมพระ จ.สุรินทร์ 32180,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
จบก,ต.โคกยาง อ.ปราสาท จ.สุรินทร์ 32140,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
จรูกแขวะ,ต.โคกยาง อ.ปราสาท จ.สุรินทร์ 32140,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
จีกแดก,ต.โชคนาสาม อ.ปราสาท จ.สุรินทร์ 32140,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
จารย์,ต.โคกตะเคียน อ.กาบเชิง จ.สุรินทร์ 32150,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
จาน,ต.ทับใหญ่ อ.รัตนบุรี จ.สุรินทร์ 32130,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
จารพัต,ต.จารพัต อ.ศีขรภูมิ จ.สุรินทร์ 32110,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
จารย์,ต.หนองเหล็ก อ.ศีขรภูมิ จ.สุรินทร์ 32000,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
จารย์,ต.บ้านจารย์ อ.สังขะ จ.สุรินทร์ 32150,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
จังเอิล,ต.สะกาด อ.สังขะ จ.สุรินทร์ 32150,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
จรวย,ต.ลำดวน อ.ลำดวน จ.สุรินทร์ 32220,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
จังเกา,ต.หนองไผ่ล้อม อ.สำโรงทาบ จ.สุรินทร์ 32170,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
จังเอิดหนองแมว,ต.หนองไผ่ล้อม อ.สำโรงทาบ จ.สุรินทร์ 32170,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
จรัส,ต.จรัส อ.บัวเชด จ.สุรินทร์ 32230,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
จบก,ต.ตาวัง อ.บัวเชด จ.สุรินทร์ 32230,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
จีกแดก,ต.โคกกลาง อ.พนมดงรัก จ.สุรินทร์ 32140,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
จานหนองคู,ต.จาน อ.เมืองศรีสะเกษ จ.ศรีสะเกษ 33000,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
จอมวิทยา,ต.บึงบอน อ.ยางชุมน้อย จ.ศรีสะเกษ 33190,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
จาน,ต.จาน อ.กันทรารมย์ จ.ศรีสะเกษ 33130,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
จิกกะลา,ต.ผักแพว อ.กันทรารมย์ จ.ศรีสะเกษ 33130,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
จานเลียว,ต.เมือง อ.กันทรลักษ์ จ.ศรีสะเกษ 33110,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
จานทองกวาววิทยา,ต.จานใหญ่ อ.กันทรลักษ์ จ.ศรีสะเกษ 33110,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
จำนรรจ์,ต.กระแชง อ.กันทรลักษ์ จ.ศรีสะเกษ 33110,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
จันทน์หอมตาเสก,ต.โนนสำราญ อ.กันทรลักษ์ จ.ศรีสะเกษ 33110,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
จำนันสายเจริญ,ต.สวนกล้วย อ.กันทรลักษ์ จ.ศรีสะเกษ 33110,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
จะกง,ต.จะกง อ.ขุขันธ์ จ.ศรีสะเกษ 33140,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
