ฉางกาญจนกุลวิทยา,ต.บ้านฉาง อ.บ้านฉาง จ.ระยอง 21130,เขตพื้นที่การศึกษาระยอง เขต 1
ฉางเกลือ (รักเมืองไทย 3 ),ต.ห้วยแร้ง อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
ฉกาจช่องโค,ต.รังกาใหญ่ อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ฉลีก,ต.ตรวจ อ.ศรีณรงค์ จ.สุรินทร์ 32150,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
ฉันเพล,ต.ปราสาททอง อ.เขวาสินรินทร์ จ.สุรินทร์ 32000,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
ฉนวน,ต.หนองข่า อ.เกษตรสมบูรณ์ จ.ชัยภูมิ 36120,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
ฉนวน,ต.บ้านดอน อ.ภูเขียว จ.ชัยภูมิ 36110,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
ฉิมพลี,ต.ดอยเต่า อ.ดอยเต่า จ.เชียงใหม่ 50260,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
ฉางข้าวน้อย,ต.ป่าซาง อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
ฉลอม,ต.ท้องฟ้า อ.บ้านตาก จ.ตาก 63000,เขตพื้นที่การศึกษาตาก เขต 1
ฉาง,ต.คลองจินดา อ.สามพราน จ.นครปฐม 73110,เขตพื้นที่การศึกษานครปฐม เขต 2
ฉู่ฉี่,ต.บางจะเกร็ง อ.เมืองสมุทรสงคราม จ.สมุทรสงคราม 75000,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
ฉาง,ต.ดอนตะโก อ.ท่าศาลา จ.นครศรีธรรมราช 80160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
ฉลอง,ต.ฉลอง อ.เมืองภูเก็ต จ.ภูเก็ต 83101,เขตพื้นที่การศึกษาภูเก็ต เขต 1
ฉลุง,ต.ทุ่งพอ อ.สะบ้าย้อย จ.สงขลา 90210,เขตพื้นที่การศึกษาสงขลา เขต 3
ฉลุง,ต.ฉลุง อ.หาดใหญ่ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
ฉลุง,อ.เมืองสตูล จ.สตูล 91000,เขตพื้นที่การศึกษาสตูล เขต 1
ฉางหลาง,อ.สิเกา จ.ตรัง 92150,เขตพื้นที่การศึกษาตรัง เขต 2
ฉลองชัย,ต.บันนังสตา อ.บันนังสตา จ.ยะลา 95130,เขตพื้นที่การศึกษายะลา เขต 2