ช้าง,ต.บ้านช้าง อ.อุทัย จ.พระนครศรีอยุธยา 13210,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ชะไว(ชวลิตวิทยาคาร),ต.ชะไว อ.ไชโย จ.อ่างทอง 14140,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ชอนบอน,ต.เกาะแก้ว อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
ชอนอุดม,ต.เกาะแก้ว อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
ชีวิทยา,ต.บ้านชี อ.บ้านหมี่ จ.ลพบุรี 15180,เขตพื้นที่การศึกษาลพบุรี เขต 5
ชอนสมบูรณ์,ต.ชอนสมบูรณ์ อ.หนองม่วง จ.ลพบุรี 15170,เขตพื้นที่การศึกษาลพบุรี เขต 2
ชัฏฝาง,ต.หนองแซง อ.หันคา จ.ชัยนาท 17160,เขตพื้นที่การศึกษาชัยนาท เขต 1
ช่อง,ต.บ้านป่า อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
ช่องมะเฟือง,ต.หนองรี อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
ชากพุดซา,ต.ห้วยกะปิ อ.เมืองชลบุรี จ.ชลบุรี 20130,เขตพื้นที่การศึกษาชลบุรี เขต 1
ชากนา,ต.เขาซก อ.หนองใหญ่ จ.ชลบุรี 20190,เขตพื้นที่การศึกษาชลบุรี เขต 1
ชากนอก,ต.ห้วยใหญ่ อ.บางละมุง จ.ชลบุรี 20150,เขตพื้นที่การศึกษาชลบุรี เขต 3
ชากยายจีน,ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี 20230,เขตพื้นที่การศึกษาชลบุรี เขต 3
ชุมนุมปรกฟ้า,ต.เกาะจันทร์ อ.เกาะจันทร์ จ.ชลบุรี 20240,เขตพื้นที่การศึกษาชลบุรี เขต 2
ชะวึก,ต.นาตาขวัญ อ.เมืองระยอง จ.ระยอง 21000,เขตพื้นที่การศึกษาระยอง เขต 1
ชากลูกหญ้า,ต.ห้วยโป่ง อ.เมืองระยอง จ.ระยอง 21150,เขตพื้นที่การศึกษาระยอง เขต 1
ชำสมอ,ต.กองดิน อ.แกลง จ.ระยอง 22160,เขตพื้นที่การศึกษาระยอง เขต 2
ชุมนุมใน,ต.วังจันทร์ อ.วังจันทร์ จ.ระยอง 21210,เขตพื้นที่การศึกษาระยอง เขต 2
ชงโค,ต.วังจันทร์ อ.วังจันทร์ จ.ระยอง 21210,เขตพื้นที่การศึกษาระยอง เขต 2
ชุมแสง,ต.ชุมแสง อ.วังจันทร์ จ.ระยอง 21210,เขตพื้นที่การศึกษาระยอง เขต 2
ชากมะหาด,ต.บางบุตร อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
ชำฆ้อ,ต.ชำฆ้อ อ.เขาชะเมา จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
ชำโสม,ต.แสลง อ.เมืองจันทบุรี จ.จันทบุรี 22000,เขตพื้นที่การศึกษาจันทบุรี เขต 1
ช้างข้าม,ต.ซึ้ง อ.ขลุง จ.จันทบุรี 22110,เขตพื้นที่การศึกษาจันทบุรี เขต 2
ช่องกะพัด,ต.แก่งหางแมว อ.แก่งหางแมว จ.จันทบุรี 22160,เขตพื้นที่การศึกษาจันทบุรี เขต 1
ชากไทย,ต.ชากไทย อ.เขาคิชฌกูฏ จ.จันทบุรี 22210,เขตพื้นที่การศึกษาจันทบุรี เขต 2
ชำขวาง,ต.เขาหินซ้อน อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ชำโสม,ต.กบินทร์ อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
ชงโคสันติสุขวิทยาคาร,ต.แก่งดินสอ อ.นาดี จ.ปราจีนบุรี 25220,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
