ตะกุดหว้า,ต.ดงมะรุม อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
ตาลดำ,ต.หนองอิรุณ อ.บ้านบึง จ.ชลบุรี 20220,เขตพื้นที่การศึกษาชลบุรี เขต 1
ตะเคียนเตี้ย,ต.ตะเคียนเตี้ย อ.บางละมุง จ.ชลบุรี 20150,เขตพื้นที่การศึกษาชลบุรี เขต 3
ตลาดเนินหิน,ต.ธาตุทอง อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
ตะเกราทอง,ต.บ้านแลง อ.เมืองระยอง จ.ระยอง 21000,เขตพื้นที่การศึกษาระยอง เขต 1
ตะพุนทอง,ต.กะเฉด อ.เมืองระยอง จ.ระยอง 21100,เขตพื้นที่การศึกษาระยอง เขต 1
ตีนเนิน,ต.หนองละลอก อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
ตรอกนอง(ประทีปวารีราษฎร์วิทยา),ต.ตรอกนอง อ.ขลุง จ.จันทบุรี 22110,เขตพื้นที่การศึกษาจันทบุรี เขต 2
ตาเลียว,ต.เขาแก้ว อ.ท่าใหม่ จ.จันทบุรี 22170,เขตพื้นที่การศึกษาจันทบุรี เขต 1
ตาเรือง (ตำรวจชายแดนสงเคราะห์),ต.ปะตง อ.สอยดาว จ.จันทบุรี 22180,เขตพื้นที่การศึกษาจันทบุรี เขต 2
ตามูล ( รัฐประชาสงเคราะห์ ),ต.ทรายขาว อ.สอยดาว จ.จันทบุรี 22180,เขตพื้นที่การศึกษาจันทบุรี เขต 2
ต้นกระบก,ต.นายายอาม อ.นายายอาม จ.จันทบุรี 22160,เขตพื้นที่การศึกษาจันทบุรี เขต 1
ตาหนึก,ต.คลองใหญ่ อ.คลองใหญ่ จ.ตราด 23110,เขตพื้นที่การศึกษาตราด เขต 1
ตามาง (อมฤทธิ์อุปถัมภ์),ต.ทุ่งนนทรี อ.เขาสมิง จ.ตราด 23130,เขตพื้นที่การศึกษาตราด เขต 1
ตางาม,ต.บ่อพลอย อ.บ่อไร่ จ.ตราด 23140,เขตพื้นที่การศึกษาตราด เขต 1
ตรอกปลาไหล,ต.ย่านรี อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
ตะโก,ต.ตาพระยา อ.ตาพระยา จ.สระแก้ว 27180,เขตพื้นที่การศึกษาสระแก้ว เขต 2
ตุ่น,ต.บ้านด่าน อ.อรัญประเทศ จ.สระแก้ว 27120,เขตพื้นที่การศึกษาสระแก้ว เขต 2
ต่างตา,ต.หนองจะบก อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ตะกุดโนนระเวียง,ต.โคกกระชาย อ.ครบุรี จ.นครราชสีมา 30250,เขตพื้นที่การศึกษานครราชสีมา เขต 3
ตลุกหินปูน,ต.เมืองคง อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ตะคร้อ(มิตรภาพ4),ต.เทพาลัย อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ตะโกโคก,ต.ตาจั่น อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ตะโกทุ่ง(คุรุราษฎร์รังสรรค์),ต.ตาจั่น อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ตาจั่น,ต.ตาจั่น อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ตาชู,ต.ตาจั่น อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ตะโก,ต.บ้านปรางค์ อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ตากิ่ม,ต.หนองบัว อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ตลุกสาหร่าย,ต.โนนเต็ง อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ตะหนอด,ต.ขามสมบูรณ์ อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ตลุกพลวง,ต.โคกกระเบื้อง อ.บ้านเหลื่อม จ.นครราชสีมา 30350,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ตะกุดเครือปลอก,ต.จักราช อ.จักราช จ.นครราชสีมา 30230,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ตูมราษฎร์บูรณะ,ต.ทองหลาง อ.จักราช จ.นครราชสีมา 30230,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ตูม,ต.ด่านเกวียน อ.โชคชัย จ.นครราชสีมา 30190,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ตะเคียน,ต.ตะเคียน อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ตะคร้อ,ต.ด่านจาก อ.โนนไทย จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ตะคร้อโนนทอง,ต.ด่านช้าง อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
ตลาดไทร,ต.ตลาดไทร อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ตะคร้อ,ต.โบสถ์ อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ตะบอง(เจริญราษฎร์อุทิศ),ต.โบสถ์ อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ตลาดประดู่,ต.กระชอน อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ตะแกรง,ต.หลุ่งตะเคียน อ.ห้วยแถลง จ.นครราชสีมา 30240,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ตะคร้อ,ต.หินดาด อ.ห้วยแถลง จ.นครราชสีมา 30240,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ตะโก,ต.ตะโก อ.ห้วยแถลง จ.นครราชสีมา 30240,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ตลาดไทร,ต.ตลาดไทร อ.ชุมพวง จ.นครราชสีมา 30270,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ตะเคียนงาม,ต.ทัพรั้ง อ.พระทองคำ จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ตลุกชั่งโค,ต.หนองหอย อ.พระทองคำ จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ตลาดควาย,ต.เสม็ด อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
ตะโก,ต.บ้านยาง อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
ตลาดชัย,ต.สองห้อง อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
ตะเคียน,ต.บัวทอง อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
ตราดหนองพลวง,ต.ชุมเห็ด อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
ตาหล่ำ,ต.หินเหล็กไฟ อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
ตูม,ต.ตูมใหญ่ อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
ตะเคียน,ต.กระสัง อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
ตาราม,ต.สองชั้น อ.กระสัง จ.บุรีรัมย์,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
ตะครองใต้,ต.สูงเนิน อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
ตาสะดำ (สุรวุฒิอนุเคราะห์),ต.บ้านปรือ อ.กระสัง จ.บุรีรัมย์,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
ตะครอง,ต.ห้วยสำราญ อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
ตาเป้า,ต.ห้วยสำราญ อ.กระสัง จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
