ถลุงเหล็ก,ต.ถลุงเหล็ก อ.โคกสำโรง จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
ถม,ต.เชิงเนิน อ.เมืองระยอง จ.ระยอง 21000,เขตพื้นที่การศึกษาระยอง เขต 1
ถนนหักใหญ่,ต.กุดพิมาน อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ถนนโพธิ์,ต.ถนนโพธิ์ อ.โนนไทย จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ถนนถั่ว(กองทัพบกประชาสามัคคี),ต.ใหม่ อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ถนน,ต.ท่าหลวง อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ถนนคด(ศรีวิทยาคาร),ต.สีคิ้ว อ.สีคิ้ว จ.นครราชสีมา 30140,เขตพื้นที่การศึกษานครราชสีมา เขต 4
ถนนหัก,ต.บ้านใหม่ อ.หนองบุนนาก จ.นครราชสีมา 30410,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ถนนหัก,ต.หนองหอย อ.พระทองคำ จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ถาวร,ต.สวายจีก อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
ถนน,ต.กระสัง อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
ถนนหัก (เพียรประจงวิทยา),ต.ถนนหัก อ.นางรอง จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
ถนน (ประสมทรัพย์ประชานุกูล 1),ต.หัวถนน อ.นางรอง จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
ถนนโคกใหญ่,ต.โนนเจริญ อ.บ้านกรวด จ.บุรีรัมย์ 31180,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
ถนนน้อย,ต.หินลาด อ.บ้านกรวด จ.บุรีรัมย์ 31180,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
ถาวร,ต.ถาวร อ.เฉลิมพระเกียรติ จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
ถนนหัก (สุวรรณราษฎร์บำรุง),ต.โชคนาสาม อ.ปราสาท จ.สุรินทร์ 32140,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
ถนนชัย,ต.กาบเชิง อ.กาบเชิง จ.สุรินทร์ 32210,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
ถนน,ต.กระเทียม อ.สังขะ จ.สุรินทร์ 32150,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
ถ้ำแข้,ต.ถ้ำแข้ อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ถ้ำแข้(สาขาบ๋าหอย),ต.ถ้ำแข้ อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ถ่อน,ต.ท่าลาด อ.วารินชำราบ จ.อุบลราชธานี 34310,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
ถิ่นสำราญ,ต.โพธิ์ไทร อ.พิบูลมังสาหาร จ.อุบลราชธานี 34100,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
ถนนกลาง,ต.สระพัง อ.บ้านแท่น จ.ชัยภูมิ 36190,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
ถ่อนใหญ่,ต.ปลาค้าว อ.เมืองอำนาจเจริญ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
ถ่อนดอนม่วง,ต.ไม้กลอน อ.พนา จ.อำนาจเจริญ 37180,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
ถิ่น,ต.บ้านถิ่น อ.โนนสัง จ.หนองบัวลำภู 39140,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
ถ้ำช้างอินทร์แปลง,ต.วังทอง อ.นาวัง จ.หนองบัวลำภู 39170,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 2
ถลุงเหล็ก,ต.ใหม่นาเพียง อ.แวงใหญ่ จ.ขอนแก่น 40330,เขตพื้นที่การศึกษาขอนแก่น เขต 3
ถ้ำแข้,ต.สงเปือย อ.ภูเวียง จ.ขอนแก่น 40150,เขตพื้นที่การศึกษาขอนแก่น เขต 5
ถ่อนน้อยหนองไผ่คำ,ต.หนองนาคำ อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
ถ่อน,ต.บ้านเลื่อม อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
ถิ่น,ต.เชียงเพ็ง อ.กุดจับ จ.อุดรธานี 41250,เขตพื้นที่การศึกษาอุดรธานี เขต 4
ถ่อนคำหวด,ต.บ้านดุง อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ถ่อนนาลับ,ต.ถ่อนนาลับ อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ถิ่น (สุขาวิทยา),ต.บ้านธาตุ อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
ถ่อนนาเพลิน,ต.นาทราย อ.พิบูลย์รักษ์ จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ถ้ำพระ,ต.อิปุ่ม อ.ด่านซ้าย จ.เลย 42120,เขตพื้นที่การศึกษาเลย เขต 1
ถ้ำมูล,ต.สานตม อ.ภูเรือ จ.เลย 42160,เขตพื้นที่การศึกษาเลย เขต 1
ถ้ำเจริญ,ต.ถ้ำเจริญ อ.โซ่พิสัย จ.หนองคาย 43170,เขตพื้นที่การศึกษาหนองคาย เขต 2
ถิ่นทอนเหนือ,ต.พระพุทธบาท อ.ศรีเชียงใหม่ จ.หนองคาย 43130,เขตพื้นที่การศึกษาหนองคาย เขต 1
ถ่อน,ต.เชิงชุม อ.พรรณานิคม จ.สกลนคร 47130,เขตพื้นที่การศึกษาสกลนคร เขต 2
ถ้ำเต่า,ต.สามัคคีพัฒนา อ.อากาศอำนวย จ.สกลนคร 47170,เขตพื้นที่การศึกษาสกลนคร เขต 3
ถ่อน,ต.พันนา อ.สว่างแดนดิน จ.สกลนคร,เขตพื้นที่การศึกษาสกลนคร เขต 2
ถ่อน(คุรุราษฎร์สามัคคี),ต.บ้านถ่อน อ.สว่างแดนดิน จ.สกลนคร 47110,เขตพื้นที่การศึกษาสกลนคร เขต 2
ถาวรนาอุดม,ต.มหาชัย อ.ปลาปาก จ.นครพนม 48160,เขตพื้นที่การศึกษานครพนม เขต 1
ถ้ำ,ต.เชียงดาว อ.เชียงดาว จ.เชียงใหม่ 50170,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
ถิ่นสำราญ,ต.ดอยเต่า อ.ดอยเต่า จ.เชียงใหม่ 50260,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
ถ้ำตับเตา,ต.ศรีดงเย็น อ.ไชยปราการ จ.เชียงใหม่ 50300,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
ถ้ำ,ต.ทุ่งกว๋าว อ.เมืองปาน จ.ลำปาง 52240,เขตพื้นที่การศึกษาลำปาง เขต 3
ถิ่น(ถิ่นวิทยาคาร),ต.บ้านถิ่น อ.เมืองแพร่ จ.แพร่ 54000,เขตพื้นที่การศึกษาแพร่ เขต 1
ถืมตอง,ต.ถืมตอง อ.เมืองน่าน จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
