ท้องคุ้ง,ต.คลองด่าน อ.บางบ่อ จ.สมุทรปราการ 10550,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
ทะเล,ต.หนองบัว อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
ทุ่งทอง,ต.สะแกราบ อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
ท่าม่วง,ต.หนองแขม อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
ทุ่งตาแก้ว,ต.ห้วยหิน อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
ท่าดินดำ,ต.ท่าดินดำ อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
ท่ามะนาว,ต.ท่ามะนาว อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
ท่ามะกอก,ต.ชัยบาดาล อ.ชัยบาดาล จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
ท่าตะโก,ต.ท่าหลวง อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
ท่าหลวง,ต.ท่าหลวง อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
ท่ากรวด,ต.แก่งผักกูด อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
ทรัพย์เจริญ,ต.ซับจำปา อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
ทะเลวังวัด,ต.ทะเลวังวัด อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
ทุ่งดินแดง,ต.หัวลำ อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
ทุ่งท่าช้าง,ต.ทุ่งท่าช้าง อ.สระโบสถ์ จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 2
ทะเลทอง,ต.โคกเจริญ อ.โคกเจริญ จ.ลพบุรี 15250,เขตพื้นที่การศึกษาลพบุรี เขต 2
ท่าเยี่ยม,ต.ลำสนธิ อ.ลำสนธิ จ.ลพบุรี 15190,เขตพื้นที่การศึกษาลพบุรี เขต 2
ทุ่งกลับ,ต.พักทัน อ.บางระจัน จ.สิงห์บุรี 16130,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ทุ่งว้า,ต.สระแจง อ.บางระจัน จ.สิงห์บุรี 16130,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ท่าไม้,ต.ท่าชัย อ.เมืองชัยนาท จ.ชัยนาท 17000,เขตพื้นที่การศึกษาชัยนาท เขต 1
ทุ่งกว้าง,ต.หนองขุ่น อ.วัดสิงห์ จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
ท่าข้ามวังน้ำ,ต.วังหมัน อ.วัดสิงห์ จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
ทุ่งกระถิน,ต.ดงคอน อ.สรรคบุรี จ.ชัยนาท 17140,เขตพื้นที่การศึกษาชัยนาท เขต 1
ทุ่งโพธิ์,ต.กะบกเตี้ย อ.เนินขาม จ.ชัยนาท 17130,เขตพื้นที่การศึกษาชัยนาท เขต 1
