ธงชัยสามัคคี,ต.บัวชุม อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
ธารทองแดง,ต.พุคำจาน อ.พระพุทธบาท จ.สระบุรี 18120,เขตพื้นที่การศึกษาสระบุรี เขต 1
ธรรมรัตน์,ต.เกษตรสุวรรณ อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
ธรรมชาติล่าง,ต.คลองใหญ่ อ.แหลมงอบ จ.ตราด 23120,เขตพื้นที่การศึกษาตราด เขต 1
ธรรมรัตน์ใน,ต.คลองตะเกรา อ.ท่าตะเกียบ จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ธารนพเก้า,ต.หนองหว้า อ.เขาฉกรรจ์ จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
ธารปราสาท,ต.ธารปราสาท อ.โนนสูง จ.นครราชสีมา 30420,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ธรรมษา,ต.บัวโคก อ.ท่าตูม จ.สุรินทร์ 32120,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ธาตุ(สหพัฒนานุสรณ์),ต.ธาตุ อ.วังหิน จ.ศรีสะเกษ 33270,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ธาตุพิทยาคม,ต.ละลม อ.ภูสิงห์ จ.ศรีสะเกษ 33140,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
ธาตุน้อย(สิงห์ประชาวิทยาคาร),ต.เขื่องใน อ.เขื่องใน จ.อุบลราชธานี 34150,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ธาตุ,ต.แสนสุข อ.วารินชำราบ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
ธรรมละ,ต.โพนเมือง อ.เหล่าเสือโก้ก จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ธาตุ,ต.ธาตุทอง อ.ภูเขียว จ.ชัยภูมิ 36110,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
ธาตุ,ต.หนองเขียด อ.ชุมแพ จ.ขอนแก่น 40290,เขตพื้นที่การศึกษาขอนแก่น เขต 5
ธาตุดอนตูม,ต.บ้านยา อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ธาตุประชานุกูล,ต.หายโศก อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
ธาตุวิทยา,ต.ธาตุ อ.เชียงคาน จ.เลย -,เขตพื้นที่การศึกษาเลย เขต 1
ธวัชบุรี,ต.ธงธานี อ.ธวัชบุรี จ.ร้อยเอ็ด 45170,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ธาตุสามัคคี,ต.โพนเมือง อ.อาจสามารถ จ.ร้อยเอ็ด 45160,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ธาตุประทับ,ต.หมูม้น อ.เชียงขวัญ จ.ร้อยเอ็ด 45170,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ธาตุจอมศรี,ต.ดูกอึ่ง อ.หนองฮี จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ธาตุกุดพร้าว,ต.วาริชภูมิ อ.วาริชภูมิ จ.สกลนคร 47150,เขตพื้นที่การศึกษาสกลนคร เขต 2
ธาตุตาลเดี่ยว,ต.ธาตุ อ.วานรนิวาส จ.สกลนคร 47120,เขตพื้นที่การศึกษาสกลนคร เขต 3
ธาตุ,ต.ธาตุทอง อ.สว่างแดนดิน จ.สกลนคร 47240,เขตพื้นที่การศึกษาสกลนคร เขต 2
ธาตุ,ต.โนนตาล อ.ท่าอุเทน จ.นครพนม 48120,เขตพื้นที่การศึกษานครพนม เขต 2
ธาตุพนม (พิทักษ์วิทยา),ต.ธาตุพนม อ.ธาตุพนม จ.นครพนม 48110,เขตพื้นที่การศึกษานครพนม เขต 1
ธงน้อย,ต.ดู่ใต้ อ.เมืองน่าน จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
ธงหลวง,ต.กองควาย อ.เมืองน่าน จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
ธาตุขิงแกง,ต.พระธาตุขิงแกง อ.จุน จ.พะเยา 56150,เขตพื้นที่การศึกษาพะเยา เขต 2
ธารหวาย,ต.สระทะเล อ.พยุหะคีรี จ.นครสวรรค์ 60130,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ธำมรงค์(รองประชาสงเคราะห์),ต.ธำมรงค์ อ.เมืองกำแพงเพชร จ.กำแพงเพชร 62160,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ธงชัย,ต.ด่านแม่ละเมา อ.แม่สอด จ.ตาก 63110,เขตพื้นที่การศึกษาตาก เขต 2
ธารชะอม,ต.ไทยชนะศึก อ.ทุ่งเสลี่ยม จ.สุโขทัย 64150,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ธารน้ำทิพย์,ต.ทุ่งเสลี่ยม อ.ทุ่งเสลี่ยม จ.สุโขทัย 64150,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ธารทิพย์,ต.บุ่งน้ำเต้า อ.หล่มสัก จ.เพชรบูรณ์ 67110,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ธารทิพย์สาขาบ้านถ้ำสมบัติ,ต.บุ่งน้ำเต้า อ.หล่มสัก จ.เพชรบูรณ์ 67110,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ธรรมรัตน์,ต.ทองมงคล อ.บางสะพาน จ.ประจวบคีรีขันธ์ 77230,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
ธารอารี,ต.บ้านนา อ.บ้านนาเดิม จ.สุราษฎร์ธานี 84240,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ธรรมเจริญ,ต.หงษ์เจริญ อ.ท่าแซะ จ.ชุมพร 86140,เขตพื้นที่การศึกษาชุมพร เขต 1
ธรรมเถียร,อ.ควนขนุน จ.พัทลุง 93110,เขตพื้นที่การศึกษาพัทลุง เขต 1
ธารน้ำผึ้ง,อ.เมืองยะลา จ.ยะลา 95000,เขตพื้นที่การศึกษายะลา เขต 1
ธารน้ำทิพย์,อ.เบตง จ.ยะลา 95110,เขตพื้นที่การศึกษายะลา เขต 3
ธารน้ำใส,อ.เบตง จ.ยะลา 95110,เขตพื้นที่การศึกษายะลา เขต 3
ธารมะลิ,อ.เบตง จ.ยะลา 95110,เขตพื้นที่การศึกษายะลา เขต 3
ธารทิพย์,อ.บันนังสตา จ.ยะลา 95130,เขตพื้นที่การศึกษายะลา เขต 2
ธรรมเจริญ,อ.รือเสาะ จ.นราธิวาส 96150,เขตพื้นที่การศึกษานราธิวาส เขต 1