บัวมล (เจริญราษฎร์อุทิศ),แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
บางจาก,ต.บางจาก อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
บึง,ต.คลองสาม อ.คลองหลวง จ.ปทุมธานี 12120,เขตพื้นที่การศึกษาปทุมธานี เขต 1
บางพลี (บุศย์บูรณะ),ต.บางพลี อ.บางไทร จ.พระนครศรีอยุธยา 13190,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
บางกระสั้น,ต.บางกระสั้น อ.บางปะอิน จ.พระนครศรีอยุธยา 13160,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
บ่อตาโล่,ต.บ่อตาโล่ อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
บัวชุม,ต.บัวชุม อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
บ่อน้ำ,ต.หนองยายโต๊ะ อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
บางลี่,ต.บางลี่ อ.ท่าวุ้ง จ.ลพบุรี 15150,เขตพื้นที่การศึกษาลพบุรี เขต 1
บางงา(รัฐประชาสรรค์),ต.บางงา อ.ท่าวุ้ง จ.ลพบุรี 15150,เขตพื้นที่การศึกษาลพบุรี เขต 1
บ่อคู่,ต.ท่าหลวง อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
บ่อตะเคียนทอง,ต.หนองมะค่า อ.โคกเจริญ จ.ลพบุรี 15250,เขตพื้นที่การศึกษาลพบุรี เขต 2
บ่อดินสอพอง,ต.ดงดินแดง อ.หนองม่วง จ.ลพบุรี 15170,เขตพื้นที่การศึกษาลพบุรี เขต 2
บางสำราญ,ต.บางมัญ อ.เมืองสิงห์บุรี จ.สิงห์บุรี 16000,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
บ่อยายส้ม(แก้วประชาสรรค์),ต.หนองมะโมง อ.หนองมะโมง จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
บางกง,ต.วิหารแดง อ.วิหารแดง จ.สระบุรี 18150,เขตพื้นที่การศึกษาสระบุรี เขต 2
บึง(อุตสาหกรรมนุเคราะห์),ต.บ้านบึง อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
บึงกระโดน,ต.หนองอิรุณ อ.บ้านบึง จ.ชลบุรี 20220,เขตพื้นที่การศึกษาชลบุรี เขต 1
บางละมุง,ต.บางละมุง อ.บางละมุง จ.ชลบุรี 20150,เขตพื้นที่การศึกษาชลบุรี เขต 3
บึง,ต.ห้วยใหญ่ อ.บางละมุง จ.ชลบุรี 20260,เขตพื้นที่การศึกษาชลบุรี เขต 3
บางแสม,ต.บางนาง อ.พานทอง จ.ชลบุรี 20160,เขตพื้นที่การศึกษาชลบุรี เขต 2
บางหัก,ต.บางหัก อ.พานทอง จ.ชลบุรี 20160,เขตพื้นที่การศึกษาชลบุรี เขต 2
บึง(ศรีราชา),ต.บึง อ.ศรีราชา จ.ชลบุรี 20230,เขตพื้นที่การศึกษาชลบุรี เขต 3
บ่อวิน (ลิขิตราษฎร์บำรุง),ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี 20230,เขตพื้นที่การศึกษาชลบุรี เขต 3
บ่อกวางทอง,ต.บ่อกวางทอง อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
บึงตะกู,ต.ธาตุทอง อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
บึงตะกาด,ต.ชุมแสง อ.วังจันทร์ จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
บึงต้นชัน,ต.ชากบก อ.บ้านค่าย จ.ระยอง 21180,เขตพื้นที่การศึกษาระยอง เขต 1
บึงตาต้า,ต.หนองไร่ อ.ปลวกแดง จ.ระยอง 21140,เขตพื้นที่การศึกษาระยอง เขต 1
บ่อ (จงจินต์รุจิรวงศ์อุปถัมภ์ 3),ต.บ่อ อ.ขลุง จ.จันทบุรี 22110,เขตพื้นที่การศึกษาจันทบุรี เขต 2
บ่อเวฬุ,ต.บ่อเวฬุ อ.ขลุง จ.จันทบุรี 22150,เขตพื้นที่การศึกษาจันทบุรี เขต 2
บ่อไฟไหม้,ต.พวา อ.แก่งหางแมว จ.จันทบุรี 22160,เขตพื้นที่การศึกษาจันทบุรี เขต 1
บางปรง,ต.ห้วยแร้ง อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
บางเบ้า,ต.เกาะช้างใต้ อ.เกาะช้าง จ.ตราด 23170,เขตพื้นที่การศึกษาตราด เขต 1
บางไผ่,ต.บางไผ่ อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
บางแก้ว,ต.บางแก้ว อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
