พลอย,ต.หลักหก อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
พลับ (วิสุทธิวังราช),ต.บ้านพลับ อ.บางปะอิน จ.พระนครศรีอยุธยา 13160,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
พรมทิน,ต.หลุมข้าว อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
พุม่วง,ต.วังเพลิง อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
พุกะชัด,ต.วังทอง อ.โคกเจริญ จ.ลพบุรี 15250,เขตพื้นที่การศึกษาลพบุรี เขต 2
พุซาง,ต.ธารเกษม อ.พระพุทธบาท จ.สระบุรี 18120,เขตพื้นที่การศึกษาสระบุรี เขต 1
พุกร่าง(พลอุปถัมภ์),ต.พุกร่าง อ.พระพุทธบาท จ.สระบุรี 18120,เขตพื้นที่การศึกษาสระบุรี เขต 1
พันเสด็จนอก,ต.เขาคันทรง อ.ศรีราชา จ.ชลบุรี 20110,เขตพื้นที่การศึกษาชลบุรี เขต 3
พันเสด็จใน,ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี 20230,เขตพื้นที่การศึกษาชลบุรี เขต 3
พยูน,ต.บ้านฉาง อ.บ้านฉาง จ.ระยอง 21130,เขตพื้นที่การศึกษาระยอง เขต 1
พลงตาเอี่ยม,ต.พลงตาเอี่ยม อ.วังจันทร์ จ.ระยอง 21210,เขตพื้นที่การศึกษาระยอง เขต 2
พระปรง,ต.บ้านนา อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
พรหมนิมิต,ต.ไทยอุดม อ.คลองหาด จ.สระแก้ว 27260,เขตพื้นที่การศึกษาสระแก้ว เขต 1
พรสวรรค์,ต.ทุ่งมหาเจริญ อ.วังน้ำเย็น จ.สระแก้ว 27210,เขตพื้นที่การศึกษาสระแก้ว เขต 1
พร้าว,ต.วัฒนานคร อ.วัฒนานคร จ.สระแก้ว 27160,เขตพื้นที่การศึกษาสระแก้ว เขต 2
พรสวรรค์,ต.เขาฉกรรจ์ อ.เขาฉกรรจ์ จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
พระเพลิง,ต.พระเพลิง อ.เขาฉกรรจ์ จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
พลกรัง(เดชาติวงค์คงฤทธิ์อนุสรณ์),ต.พลกรัง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
พะไล,ต.หัวทะเล อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
พุดซา,ต.พุดซา อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
