ฟ่าวงาม,ต.น้ำสุด อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
ฟากห้วย,ต.ฟากห้วย อ.อรัญประเทศ จ.สระแก้ว 27120,เขตพื้นที่การศึกษาสระแก้ว เขต 2
ฟ้าผ่า,ต.หนองห้าง อ.อุทุมพรพิสัย จ.ศรีสะเกษ 33120,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ฟ้าห่วน,ต.นาคำ อ.ศรีเมืองใหม่ จ.อุบลราชธานี 34250,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
ฟ้าห่วน,ต.แก่งเค็ง อ.กุดข้าวปุ้น จ.อุบลราชธานี 34270,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ฟ้าห่วน,ต.ฟ้าห่วน อ.ค้อวัง จ.ยโสธร 35160,เขตพื้นที่การศึกษายโสธร เขต 1
ฟ้าห่วน,ต.ไร่ขี อ.ลืออำนาจ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
ฟ้าเหลื่อม,ต.หนองเรือ อ.หนองเรือ จ.ขอนแก่น 40210,เขตพื้นที่การศึกษาขอนแก่น เขต 5
ฟากพอง,ต.กุดน้ำใส อ.น้ำพอง จ.ขอนแก่น 40310,เขตพื้นที่การศึกษาขอนแก่น เขต 4
ฟากนา,ต.นาอาน อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
ฟ้าประทาน,ต.สังคม อ.สังคม จ.หนองคาย 43160,เขตพื้นที่การศึกษาหนองคาย เขต 1
ฟ่อน,ต.หนองควาย อ.หางดง จ.เชียงใหม่ 50230,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
ฟากบึง,ต.นาอิน อ.พิชัย จ.อุตรดิตถ์ 53120,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
ฟ้า,ต.บ้านฟ้า อ.บ้านหลวง จ.น่าน 55190,เขตพื้นที่การศึกษาน่าน เขต 1
ฟาร์มสัมพันธ์กิจ,ต.ริมกก อ.เมืองเชียงราย จ.เชียงราย 57100,เขตพื้นที่การศึกษาเชียงราย เขต 1
ฟักทอง,ต.ขุนแม่ลาน้อย อ.แม่ลาน้อย จ.แม่ฮ่องสอน 58120,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 2
ฟุบสะแก,ต.ซับสมบูรณ์ อ.วิเชียรบุรี จ.เพชรบูรณ์ 67180,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
ฟองใต้,ต.วังกวาง อ.น้ำหนาว จ.เพชรบูรณ์ 67260,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ฟองใต้สาขาบ้านไร่ใต้,ต.วังกวาง อ.น้ำหนาว จ.เพชรบูรณ์ 67260,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2