มะนาวหวาน,ต.มะนาวหวาน อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
มะม่วงเจ็ดต้น,ต.วังเพลิง อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
ม่วงค่อม,ต.ม่วงค่อม อ.ชัยบาดาล จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
มะกอกหวาน,ต.มะกอกหวาน อ.ชัยบาดาล จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
ม่วงอยู่ประยงค์ ณ บ้านเบิก,ต.บ้านเบิก อ.ท่าวุ้ง จ.ลพบุรี 15150,เขตพื้นที่การศึกษาลพบุรี เขต 1
มหาโพธิ,ต.มหาโพธิ อ.สระโบสถ์ จ.ลพบุรี 15240,เขตพื้นที่การศึกษาลพบุรี เขต 2
ม่วงฝ้าย,ต.หัวปลวก อ.เสาไห้ จ.สระบุรี 18160,เขตพื้นที่การศึกษาสระบุรี เขต 1
มณีโชติสามัคคี,ต.แสลงพัน อ.วังม่วง จ.สระบุรี 18220,เขตพื้นที่การศึกษาสระบุรี เขต 2
มาบสามเกลียว,ต.ดอนหัวฬ่อ อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
มาบกรูด,ต.บ้านบึง อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
มาบคล้า,ต.คลองกิ่ว อ.บ้านบึง จ.ชลบุรี 20220,เขตพื้นที่การศึกษาชลบุรี เขต 1
มาบลำบิด,ต.คลองกิ่ว อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
มาบไผ่,ต.มาบไผ่ อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
มาบประชัน,ต.โป่ง อ.บางละมุง จ.ชลบุรี 20150,เขตพื้นที่การศึกษาชลบุรี เขต 3
มาบฟักทอง,ต.ห้วยใหญ่ อ.บางละมุง จ.ชลบุรี 20150,เขตพื้นที่การศึกษาชลบุรี เขต 3
มาบตาพุด,ต.มาบตาพุด อ.เมืองระยอง จ.ระยอง 21150,เขตพื้นที่การศึกษาระยอง เขต 1
มาบเหลาชะโอน,ต.ชากพง อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
มาบตอง,ต.หนองละลอก อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
มาบป่าหวาย,ต.หนองบัว อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
มาบเตย,ต.มาบยางพร อ.ปลวกแดง จ.ระยอง 21140,เขตพื้นที่การศึกษาระยอง เขต 1
มาบยางพร,ต.มาบยางพร อ.ปลวกแดง จ.ระยอง 21140,เขตพื้นที่การศึกษาระยอง เขต 1
มาบช้างนอน,ต.น้ำเป็น อ.เขาชะเมา จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
มะเดื่อ,ต.เขาน้อย อ.เขาชะเมา จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
มาบโอน,ต.เขาบายศรี อ.ท่าใหม่ จ.จันทบุรี 22000,เขตพื้นที่การศึกษาจันทบุรี เขต 1
มะขาม,ต.มะขาม อ.มะขาม จ.จันทบุรี 22150,เขตพื้นที่การศึกษาจันทบุรี เขต 2
มณฑล,ต.เทพนิมิต อ.เขาสมิง จ.ตราด 23150,เขตพื้นที่การศึกษาตราด เขต 1
มะนาว,ต.บ่อพลอย อ.บ่อไร่ จ.ตราด 23140,เขตพื้นที่การศึกษาตราด เขต 1
มะม่วง,ต.นนทรีย์ อ.บ่อไร่ จ.ตราด 23140,เขตพื้นที่การศึกษาตราด เขต 1
ม่วงโพรง,ต.เขาหินซ้อน อ.พนมสารคาม จ.ฉะเชิงเทรา 24110,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
มาบนาดี,ต.ทุ่งพระยา อ.สนามชัยเขต จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
มาบเหียง,ต.หนองโพรง อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
มะกอก,ต.ทัพเสด็จ อ.ตาพระยา จ.สระแก้ว 27180,เขตพื้นที่การศึกษาสระแก้ว เขต 2
มหาเจริญ,ต.ทุ่งมหาเจริญ อ.วังน้ำเย็น จ.สระแก้ว 27210,เขตพื้นที่การศึกษาสระแก้ว เขต 1
มาบมะค่า,ต.หนองระเวียง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
มะขามเฒ่า(เปรมประชารัฐวิทยา),ต.บ้านใหม่ อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
มะค่า,ต.บ้านโพธิ์ อ.เมืองนครราชสีมา จ.นครราชสีมา 30310,เขตพื้นที่การศึกษานครราชสีมา เขต 1
มาบกราด,ต.โคกกระชาย อ.ครบุรี จ.นครราชสีมา 30250,เขตพื้นที่การศึกษานครราชสีมา เขต 3
มาบตะโกเอน,ต.มาบตะโกเอน อ.ครบุรี จ.นครราชสีมา 30250,เขตพื้นที่การศึกษานครราชสีมา เขต 3
มะค่า,ต.ขามสมบูรณ์ อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
มะเริง,ต.บ้านเก่า อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
มาบกราด,ต.พันชนะ อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
มะเกลือโกรกกระสัง,ต.มะค่า อ.โนนไทย จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
มะค่าดอนทะยิง,ต.มะค่า อ.โนนไทย จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
มะค่า(คงฤทธิ์บัวสุวรรณฯ),ต.มะค่า อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
มะรุม,ต.พลสงคราม อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ม่วงขามประชารักษ์,ต.ในเมือง อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
มะกอก,ต.ดงใหญ่ อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
มะเกลือเก่า,ต.มะเกลือเก่า อ.สูงเนิน จ.นครราชสีมา 30170,เขตพื้นที่การศึกษานครราชสีมา เขต 4
มะเกลือใหม่,ต.มะเกลือใหม่ อ.สูงเนิน จ.นครราชสีมา 30170,เขตพื้นที่การศึกษานครราชสีมา เขต 4
มะค่างาม,ต.คลองไผ่ อ.สีคิ้ว จ.นครราชสีมา 30140,เขตพื้นที่การศึกษานครราชสีมา เขต 4
มูกมันโนนอุดมสามัคคี,ต.บึงสำโรง อ.แก้งสนามนาง จ.นครราชสีมา 30440,เขตพื้นที่การศึกษานครราชสีมา เขต 6
มาบกราด,ต.มาบกราด อ.พระทองคำ จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
มาบป่าแดง,ต.ช่องแมว อ.ลำทะเมนชัย จ.นครราชสีมา 30270,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ม่วงวิทยาคาร,ต.บ้านบัว อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
มะค่า,ต.บ้านยาง อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
ม่วง,ต.พระครู อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
มาบสมอ,ต.หนองตาด อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
ม่วงโนนสูง,ต.เมืองฝาง อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
ม่วงหนองบอนสามัคคี,ต.บ้านยาง อ.ลำปลายมาศ จ.บุรีรัมย์ 31130,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
มะมัง,ต.ป่าชัน อ.พลับพลาชัย จ.บุรีรัมย์,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
มะขามทานตะวัน,ต.ตาเสา อ.ห้วยราช จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
ม่วงงาม,ต.ดงอีจาน อ.โนนสุวรรณ จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
ม่วงน้อย,ต.สระขุด อ.ชุมพลบุรี จ.สุรินทร์ 32190,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ม่วงมูล,ต.หนองบัว อ.ท่าตูม จ.สุรินทร์ 32120,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ม่วง,ต.บ้านผือ อ.จอมพระ จ.สุรินทร์ 32180,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
มะเมียง,ต.โชคนาสาม อ.ปราสาท จ.สุรินทร์ 32140,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
ม่วงหมาก,ต.ธาตุ อ.รัตนบุรี จ.สุรินทร์ 32130,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ม่วงบุญมี,ต.แก อ.รัตนบุรี จ.สุรินทร์ 32130,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ม่วงทรัพย์โกฎิ์,ต.ตรึม อ.ศีขรภูมิ จ.สุรินทร์ 32110,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
