ยางราก,ต.ยางราก อ.โคกเจริญ จ.ลพบุรี 15250,เขตพื้นที่การศึกษาลพบุรี เขต 2
ยางโทน,ต.ยางโทน อ.หนองม่วง จ.ลพบุรี 15170,เขตพื้นที่การศึกษาลพบุรี เขต 2
ย่านซื่อ,ต.บ้านเก่า อ.พานทอง จ.ชลบุรี 20160,เขตพื้นที่การศึกษาชลบุรี เขต 2
ยายจั่น,ต.สำนักทอง อ.เมืองระยอง จ.ระยอง 21100,เขตพื้นที่การศึกษาระยอง เขต 1
ยางงาม,ต.กระแสบน อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
ยุบตาเหน่ง,ต.ป่ายุบใน อ.วังจันทร์ จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
ยางเอน,ต.ห้วยทับมอญ อ.เขาชะเมา จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
ยางแดง,ต.คู้ยายหมี อ.สนามชัยเขต จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ย่านนางวิ่ง,ต.ท่าตูม อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
ยองแยง,ต.หนองระเวียง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ยางน้อยหัวสิบ,ต.บ้านใหม่ อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ยางกระทุง,ต.ตะขบ อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
ยางวิทยา,ต.โนนยอ อ.ชุมพวง จ.นครราชสีมา 30270,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ยอกขาม,ต.หนองตะไก้ อ.หนองบุนนาก จ.นครราชสีมา 30410,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ยาง,ต.ลำดวน อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
ยาง,ต.บ้านกรวด อ.บ้านกรวด จ.บุรีรัมย์,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
ยางนกคู่,ต.บ้านยาง อ.พุทไธสง จ.บุรีรัมย์ 31120,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
ยาง(คุรุราษฏร์รังสรรค์),ต.บ้านยาง อ.ลำปลายมาศ จ.บุรีรัมย์ 31130,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
ยางน้ำใส,ต.สตึก อ.สตึก จ.บุรีรัมย์ 31150,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
ยางทะเล,ต.แคนดง อ.แคนดง จ.บุรีรัมย์ 31150,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
ยายคำ,ต.ยายแย้มวัฒนา อ.เฉลิมพระเกียรติ จ.บุรีรัมย์ 31170,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
ยางบ่อภิรมย์,ต.นาหนองไผ่ อ.ชุมพลบุรี จ.สุรินทร์ 32190,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ยางชุม,ต.ศรีณรงค์ อ.ชุมพลบุรี จ.สุรินทร์ 32190,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ยะวึก(ผจงราษฎร์วิทยาคาร),ต.ยะวึก อ.ชุมพลบุรี จ.สุรินทร์ 32190,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ยางบ่ออี,ต.เมืองบัว อ.ชุมพลบุรี จ.สุรินทร์ 32190,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ยางขามเฒ่า,ต.หนองเรือ อ.ชุมพลบุรี จ.สุรินทร์ 32190,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ยางกระจับ,ต.พรมเทพ อ.ท่าตูม จ.สุรินทร์ 32120,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ยาง(สารกิจราษฎร์วิทยา),ต.กังแอน อ.ปราสาท จ.สุรินทร์ 32140,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
ยาง,ต.ยางสว่าง อ.รัตนบุรี จ.สุรินทร์ 32130,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ยางเตี้ย,ต.ระแงง อ.ศีขรภูมิ จ.สุรินทร์ 32110,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
ยางกุดนาคำ,ต.หมากเขียบ อ.เมืองศรีสะเกษ จ.ศรีสะเกษ 33000,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ยางเครือ,ต.กุดเมืองฮาม อ.ยางชุมน้อย จ.ศรีสะเกษ 33190,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ยางชุมใหญ่,ต.ยางชุมใหญ่ อ.ยางชุมน้อย จ.ศรีสะเกษ 33190,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ยางชุมใหญ่สาขาบ้านดอนโก,ต.ยางชุมใหญ่ อ.ยางชุมน้อย จ.ศรีสะเกษ 33190,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ยาง,ต.ยาง อ.กันทรารมย์ จ.ศรีสะเกษ 33130,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ยางน้อยสามัคคี,ต.ละทาย อ.กันทรารมย์ จ.ศรีสะเกษ 33130,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ยางชุมภูมิตำรวจ,ต.ห้วยสำราญ อ.ขุขันธ์ จ.ศรีสะเกษ 33140,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
ยาง,ต.เมืองแคน อ.ราษีไศล จ.ศรีสะเกษ 33160,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ยางเอือด,ต.สำโรง อ.อุทุมพรพิสัย จ.ศรีสะเกษ 33120,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ยางบอน(อำพานุสรณ์),ต.ตาเกษ อ.อุทุมพรพิสัย จ.ศรีสะเกษ 33120,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ยางน้อย,ต.ตองปิด อ.น้ำเกลี้ยง จ.ศรีสะเกษ 33130,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ยางลุ่ม,ต.ไร่น้อย อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ยางน้อย (พรหมพิทยา),ต.ก่อเอ้ อ.เขื่องใน จ.อุบลราชธานี 34150,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ยางขี้นก,ต.ยางขี้นก อ.เขื่องใน จ.อุบลราชธานี 34150,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ยางกลาง,ต.ยาง อ.น้ำยืน จ.อุบลราชธานี 34260,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
