ลำแดง,ต.หันตะเภา อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ลังกาประชาสรรค์,ต.เกาะรัง อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
ลำโกฎิทอง,ต.ชัยบาดาล อ.ชัยบาดาล จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
ลำโป่งเพชร,ต.หนองมะค่า อ.โคกเจริญ จ.ลพบุรี 15250,เขตพื้นที่การศึกษาลพบุรี เขต 2
ลำสนธิ,ต.ลำสนธิ อ.ลำสนธิ จ.ลพบุรี 15190,เขตพื้นที่การศึกษาลพบุรี เขต 2
ลำสมพุง,ต.ลำสมพุง อ.มวกเหล็ก จ.สระบุรี 18180,เขตพื้นที่การศึกษาสระบุรี เขต 2
ลำพญากลาง,ต.ลำพญากลาง อ.มวกเหล็ก จ.สระบุรี 18180,เขตพื้นที่การศึกษาสระบุรี เขต 2
ลาดกระทิง,ต.ลาดกระทิง อ.สนามชัยเขต จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ลาดช้าง(ระคนกิจศึกษา),ต.บึงศาล อ.องครักษ์ จ.นครนายก 26160,เขตพื้นที่การศึกษานครนายก เขต 1
ลัดกะสัง,ต.สระแก้ว อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
ลุงพลู,ต.โคกปี่ฆ้อง อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
ละลมติม(จิตรพลานุสนธิ์),ต.โคกสูง อ.โคกสูง จ.สระแก้ว 27120,เขตพื้นที่การศึกษาสระแก้ว เขต 2
ลำเชิงไกร,ต.โคกสูง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ละลมโพธิ์,ต.พุดซา อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ลองตอง,ต.บ้านโพธิ์ อ.เมืองนครราชสีมา จ.นครราชสีมา 30310,เขตพื้นที่การศึกษานครราชสีมา เขต 1
ลำเพียก,ต.ลำเพียก อ.ครบุรี จ.นครราชสีมา 30250,เขตพื้นที่การศึกษานครราชสีมา เขต 3
ลำไซกง,ต.บ้านราษฎร์ อ.เสิงสาง จ.นครราชสีมา 30330,เขตพื้นที่การศึกษานครราชสีมา เขต 3
ละกอ,ต.ศรีละกอ อ.จักราช จ.นครราชสีมา 30230,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ละลม,ต.ละลมใหม่พัฒนา อ.โชคชัย จ.นครราชสีมา 30190,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ละเลิงพิมาน,ต.ด่านนอก อ.ด่านขุนทด จ.นครราชสีมา,เขตพื้นที่การศึกษานครราชสีมา เขต 5
ละเลิงหิน,ต.โคกกลาง อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ลำนางแก้ว,ต.ลำนางแก้ว อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
ลุงตามัน,ต.โบสถ์ อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ลุงตามัน(สาขาโนนไม้แดง),ต.โบสถ์ อ.พิมาย จ.นครราชสีมา 30110,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ละโว้,ต.ประสุข อ.ชุมพวง จ.นครราชสีมา 30270,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ลุงประดู่,ต.ท่าลาด อ.ชุมพวง จ.นครราชสีมา 30270,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ลาดบัวขาว,ต.ลาดบัวขาว อ.สีคิ้ว จ.นครราชสีมา 30340,เขตพื้นที่การศึกษานครราชสีมา เขต 4
ลำทองหลาง,ต.ปากช่อง อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
ลุงเขว้า,ต.ลุงเขว้า อ.หนองบุนนาก จ.นครราชสีมา 30410,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ละหานสามัคคี,ต.ละหานปลาค้าว อ.เมืองยาง จ.นครราชสีมา 30270,เขตพื้นที่การศึกษานครราชสีมา เขต 7
