วังเพลิง,ต.วังเพลิง อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
วังไผ่,ต.ดงมะรุม อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
วังขอนขว้าง,ต.วังขอนขว้าง อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
วังจั่น,ต.วังจั่น อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
วังก้านเหลือง,ต.ท่าดินดำ อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
วังแขม,ต.นิยมชัย อ.สระโบสถ์ จ.ลพบุรี 15240,เขตพื้นที่การศึกษาลพบุรี เขต 2
วังตาอินทร์,ต.ยางราก อ.โคกเจริญ จ.ลพบุรี 15250,เขตพื้นที่การศึกษาลพบุรี เขต 2
วังทอง,ต.เขารวก อ.ลำสนธิ จ.ลพบุรี 15190,เขตพื้นที่การศึกษาลพบุรี เขต 2
วังเดือนห้า,ต.ไพรนกยูง อ.หันคา จ.ชัยนาท 17130,เขตพื้นที่การศึกษาชัยนาท เขต 1
วังตะเคียน(ขยันการนาวีราษฎร์อุทิศ),ต.วังตะเคียน อ.หนองมะโมง จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
วังหัวเรือ,ต.วังตะเคียน อ.หนองมะโมง จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
วังคอไห(สงฆ์ประชาชนูทิศ),ต.สุขเดือนห้า อ.เนินขาม จ.ชัยนาท 17130,เขตพื้นที่การศึกษาชัยนาท เขต 1
วังตะโก,ต.หนองข้างคอก อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
วังค้อ,ต.บึง อ.ศรีราชา จ.ชลบุรี 20230,เขตพื้นที่การศึกษาชลบุรี เขต 3
วังมะเดื่อ,ต.เกษตรสุวรรณ อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
วังหิน,ต.วังหว้า อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
วังประดู่,ต.แม่น้ำคู้ อ.ปลวกแดง จ.ระยอง 21140,เขตพื้นที่การศึกษาระยอง เขต 1
วังปลา,ต.เขาแก้ว อ.ท่าใหม่ จ.จันทบุรี 22170,เขตพื้นที่การศึกษาจันทบุรี เขต 1
วังตัก,ต.ฉมัน อ.มะขาม จ.จันทบุรี 22150,เขตพื้นที่การศึกษาจันทบุรี เขต 2
วังไม้แดง,ต.สามพี่น้อง อ.แก่งหางแมว จ.จันทบุรี 22160,เขตพื้นที่การศึกษาจันทบุรี เขต 1
วังอีแอ่น,ต.พวา อ.แก่งหางแมว จ.จันทบุรี 22160,เขตพื้นที่การศึกษาจันทบุรี เขต 1
วนท่าแครง,ต.บางตีนเป็ด อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
วังตะเคียน,ต.วังตะเคียน อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
วังคู,ต.ทุ่งพระยา อ.สนามชัยเขต จ.ฉะเชิงเทรา 24160,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
วังหิน(มั่นภักดีอุปถัมภ์),ต.คลองตะเกรา อ.ท่าตะเกียบ จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
วังตะเคียน,ต.วังตะเคียน อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
วังบัวทอง,ต.หาดนางแก้ว อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
วังกวาง,ต.วังท่าช้าง อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
วังมะกรูด,ต.วังท่าช้าง อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
วังดินสอ,ต.วังท่าช้าง อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 2
วังรี,ต.แก่งดินสอ อ.นาดี จ.ปราจีนบุรี 25220,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
ว่านบ้านด่าน,ต.บุฝ้าย อ.ประจันตคาม จ.ปราจีนบุรี 25130,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
วังขอน,ต.กรอกสมบูรณ์ อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
วังทะลุ,ต.กรอกสมบูรณ์ อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
วังจั่น,ต.โคกปี่ฆ้อง อ.เมืองสระแก้ว จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
วังปืน,ต.ไทยอุดม อ.คลองหาด จ.สระแก้ว 27260,เขตพื้นที่การศึกษาสระแก้ว เขต 1
วังยาง,ต.ซับมะกรูด อ.คลองหาด จ.สระแก้ว 27260,เขตพื้นที่การศึกษาสระแก้ว เขต 1
วังวน,ต.ซับมะกรูด อ.คลองหาด จ.สระแก้ว 27260,เขตพื้นที่การศึกษาสระแก้ว เขต 1
วังแดง,ต.วังน้ำเย็น อ.วังน้ำเย็น จ.สระแก้ว 27210,เขตพื้นที่การศึกษาสระแก้ว เขต 1
วังบูรพา,ต.วังน้ำเย็น อ.วังน้ำเย็น จ.สระแก้ว 27210,เขตพื้นที่การศึกษาสระแก้ว เขต 1
วังรี,ต.หนองตะเคียนบอน อ.วัฒนานคร จ.สระแก้ว 27160,เขตพื้นที่การศึกษาสระแก้ว เขต 2
วังยาว,ต.คลองทับจันทร์ อ.อรัญประเทศ จ.สระแก้ว 27120,เขตพื้นที่การศึกษาสระแก้ว เขต 2
วังรี,ต.เขาฉกรรจ์ อ.เขาฉกรรจ์ จ.สระแก้ว 27000,เขตพื้นที่การศึกษาสระแก้ว เขต 1
วังสำลี,ต.วังใหม่ อ.วังสมบูรณ์ จ.สระแก้ว 27250,เขตพื้นที่การศึกษาสระแก้ว เขต 1
วังใหม่,ต.วังใหม่ อ.วังสมบูรณ์ จ.สระแก้ว 27250,เขตพื้นที่การศึกษาสระแก้ว เขต 1
วังดารา,ต.วังทอง อ.วังสมบูรณ์ จ.สระแก้ว 27250,เขตพื้นที่การศึกษาสระแก้ว เขต 1
วังทอง,ต.วังทอง อ.วังสมบูรณ์ จ.สระแก้ว 27250,เขตพื้นที่การศึกษาสระแก้ว เขต 1
วังโพธิ์,ต.วังโพธิ์ อ.บ้านเหลื่อม จ.นครราชสีมา 30350,เขตพื้นที่การศึกษานครราชสีมา เขต 6
วังโป่ง,ต.บ้านเก่า อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
วังสนวน,ต.หนองกราด อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
วัง(สายอนุกูล),ต.บ้านวัง อ.โนนไทย จ.นครราชสีมา 30220,เขตพื้นที่การศึกษานครราชสีมา เขต 5
วังม่วง,ต.ธารปราสาท อ.โนนสูง จ.นครราชสีมา 30420,เขตพื้นที่การศึกษานครราชสีมา เขต 1
วังม่วง,ต.ทุ่งสว่าง อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
วังหิน,ต.ตะคุ อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
วังตะเคียน,ต.ลำนางแก้ว อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
วังราง,ต.มะเกลือเก่า อ.สูงเนิน จ.นครราชสีมา 30170,เขตพื้นที่การศึกษานครราชสีมา เขต 4
วังรางน้อย,ต.มะเกลือเก่า อ.สูงเนิน จ.นครราชสีมา 30170,เขตพื้นที่การศึกษานครราชสีมา เขต 4
วังกระสวย,ต.กฤษณา อ.สีคิ้ว จ.นครราชสีมา 30140,เขตพื้นที่การศึกษานครราชสีมา เขต 4
วังโรงน้อย,ต.กฤษณา อ.สีคิ้ว จ.นครราชสีมา 30140,เขตพื้นที่การศึกษานครราชสีมา เขต 4
วังกรวด,ต.กุดน้อย อ.สีคิ้ว จ.นครราชสีมา 30140,เขตพื้นที่การศึกษานครราชสีมา เขต 4
วังราง,ต.วังโรงใหญ่ อ.สีคิ้ว จ.นครราชสีมา 30140,เขตพื้นที่การศึกษานครราชสีมา เขต 4
วังโรงใหญ่สามัคคี,ต.วังโรงใหญ่ อ.สีคิ้ว จ.นครราชสีมา 30140,เขตพื้นที่การศึกษานครราชสีมา เขต 4
วังกะทะ,ต.วังกะทะ อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
วังสีสด,ต.คลองม่วง อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
วังไทร,ต.วังไทร อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
วังหมี,ต.วังหมี อ.วังน้ำเขียว จ.นครราชสีมา 30370,เขตพื้นที่การศึกษานครราชสีมา เขต 3
วังน้ำเขียว,ต.อุดมทรัพย์ อ.วังน้ำเขียว จ.นครราชสีมา 30370,เขตพื้นที่การศึกษานครราชสีมา เขต 3
