สร้าง (สำริต ภู่เงิน อนุสรณ์),ต.บ่อตาโล่ อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
สามเรือน(วันครู ๒๕๐๐),ต.พรหมมาสตร์ อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
สหพันธ์อ่างทอง,ต.หนองบัว อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
สวนมะเดื่อ,ต.ห้วยขุนราม อ.พัฒนานิคม จ.ลพบุรี 18220,เขตพื้นที่การศึกษาลพบุรี เขต 2
สันตะลุง,ต.ท่ามะนาว อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
สระเตย,ต.หนองทรายขาว อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
สระเพลง,ต.ยางราก อ.โคกเจริญ จ.ลพบุรี 15250,เขตพื้นที่การศึกษาลพบุรี เขต 2
สามัคคีธรรมวิทยา,ต.วังหมัน อ.วัดสิงห์ จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
สระแก้ว,ต.เด่นใหญ่ อ.หันคา จ.ชัยนาท 17130,เขตพื้นที่การศึกษาชัยนาท เขต 1
สะพานหิน(ประชาสามัคคี),ต.สะพานหิน อ.หนองมะโมง จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
สุขเดือนห้า,ต.สุขเดือนห้า อ.เนินขาม จ.ชัยนาท 17130,เขตพื้นที่การศึกษาชัยนาท เขต 1
สระลำใย,ต.นายาว อ.พระพุทธบาท จ.สระบุรี 18120,เขตพื้นที่การศึกษาสระบุรี เขต 1
สันประดู่(คำประชานุสรณ์),ต.บ้านยาง อ.เสาไห้ จ.สระบุรี 18160,เขตพื้นที่การศึกษาสระบุรี เขต 1
สวน(จั่นอนุสรณ์),ต.บ้านสวน อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
