หนองบอน (นัยนานนท์อนุสรณ์),แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
หนองเพรางาย,ต.หนองเพรางาย อ.ไทรน้อย จ.นนทบุรี 11150,เขตพื้นที่การศึกษานนทบุรี เขต 2
หนองโคก (อดุลถวิลราษฎร์บำรุง),ต.หนองปลิง อ.นครหลวง จ.พระนครศรีอยุธยา 13260,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
หาดทราย,ต.บ้านคลัง อ.บางบาล จ.พระนครศรีอยุธยา 13250,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
หนองเสือ,ต.สีบัวทอง อ.แสวงหา จ.อ่างทอง 14150,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ห้วยคล้า,ต.สาวร้องไห้ อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
หนองถ้ำ,ต.มงคลธรรมนิมิต อ.สามโก้ จ.อ่างทอง 14160,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ห้วยส้ม,ต.โคกตูม อ.เมืองลพบุรี จ.ลพบุรี 15210,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองแขม,ต.ท่าแค อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองถ้ำ,ต.นิคมสร้างตนเอง อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
ห้วยบง,ต.พัฒนานิคม อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองโพธิ์,ต.ช่องสาริกา อ.พัฒนานิคม จ.ลพบุรี 15220,เขตพื้นที่การศึกษาลพบุรี เขต 2
ห้วยสะอาด,ต.ช่องสาริกา อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองปีกนก,ต.ห้วยขุนราม อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองชนะชัย,ต.เกาะแก้ว อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
หลุมข้าว,ต.หลุมข้าว อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองบัว,ต.คลองเกตุ อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
หัวดง,ต.คลองเกตุ อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองสำโรง,ต.สะแกราบ อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองปล้อง,ต.เพนียด อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองไผ่,ต.หนองแขม อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
ห้วยดีเลิศ,ต.ห้วยหิน อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
ห้วยนา,ต.ม่วงค่อม อ.ชัยบาดาล จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองปลาไหล,ต.ท่าดินดำ อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองโกวิทยา,ต.ซับตะเคียน อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองบง,ต.เกาะรัง อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองปล้อง,ต.เกาะรัง อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
ห้วยหิน,ต.เขาแหลม อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองนางาม,ต.ไผ่ใหญ่ อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
หัวบึง,ต.ไผ่ใหญ่ อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
หนองแก,ต.หนองเมือง อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
หมี่วิทยา,ต.สนามแจง อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 5
หนองกระสังข์,ต.หนองผักแว่น อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองน้ำใส,ต.หนองผักแว่น อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองประดู่,ต.หนองผักแว่น อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองหัวช้าง,ต.หนองผักแว่น อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองจาน,ต.หัวลำ อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
หัวลำ,ต.หัวลำ อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
ห้วยใหญ่,ต.ห้วยใหญ่ อ.สระโบสถ์ จ.ลพบุรี 15240,เขตพื้นที่การศึกษาลพบุรี เขต 2
ห้วยเขว้า,ต.นิยมชัย อ.สระโบสถ์ จ.ลพบุรี 15240,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองมะค่า,ต.หนองมะค่า อ.โคกเจริญ จ.ลพบุรี 15250,เขตพื้นที่การศึกษาลพบุรี เขต 2
ห้วยสาราม,ต.วังทอง อ.โคกเจริญ จ.ลพบุรี 15250,เขตพื้นที่การศึกษาลพบุรี เขต 2
หนองเกตุ,ต.หนองรี อ.ลำสนธิ จ.ลพบุรี 15190,เขตพื้นที่การศึกษาลพบุรี เขต 2
