เรียนเพลิน,แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
เชียงรากน้อย,ต.เชียงรากน้อย อ.บางไทร จ.พระนครศรีอยุธยา 13290,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
เป็ด,ต.ข้าวเม่า อ.อุทัย จ.พระนครศรีอยุธยา 13210,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
เขาขวาง,ต.โคกสลุง อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
เขาทับควาย,ต.ห้วยโป่ง อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
เขาสะพานนาค,ต.ห้วยโป่ง อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
เขาดิน,ต.คลองเกตุ อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
เขาเตียน มิตรภาพที่ 134,ต.วังเพลิง อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
เนินจันทร์,ต.ดงมะรุม อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
เขายายกะตา,ต.ชัยนารายณ์ อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
เขาสมโภชน์,ต.บัวชุม อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
เขาตะแคง,ต.ซับตะเคียน อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
เขาตำบล,ต.นาโสม อ.ชัยบาดาล จ.ลพบุรี 15190,เขตพื้นที่การศึกษาลพบุรี เขต 2
เกาะรัง,ต.เกาะรัง อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
เขาแหลม,ต.เขาแหลม อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
เบิกวิทยาคม,ต.บ้านเบิก อ.ท่าวุ้ง จ.ลพบุรี 15150,เขตพื้นที่การศึกษาลพบุรี เขต 5
เกริ่นกฐิน,ต.บ้านชี อ.บ้านหมี่ จ.ลพบุรี,เขตพื้นที่การศึกษาลพบุรี เขต 1
เขาสาริกา,ต.สนามแจง อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
เนินทอง,ต.แก่งผักกูด อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
เนินสวอง,ต.หนองผักแว่น อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
เขาหมูมัน,ต.นิยมชัย อ.สระโบสถ์ จ.ลพบุรี 15240,เขตพื้นที่การศึกษาลพบุรี เขต 2
เขาราบ,ต.ยางราก อ.โคกเจริญ จ.ลพบุรี 15250,เขตพื้นที่การศึกษาลพบุรี เขต 2
เขาดินทอง,ต.ซับสมบูรณ์ อ.ลำสนธิ จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
เขารวก,ต.เขารวก อ.ลำสนธิ จ.ลพบุรี 15190,เขตพื้นที่การศึกษาลพบุรี เขต 2
เหวตาบัว,ต.เขาน้อย อ.ลำสนธิ จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
เก่า,ต.บ้านหม้อ อ.พรหมบุรี จ.สิงห์บุรี 16120,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
เนินไผ่(ไพศาลชลประชาสรรค์),ต.วัดโคก อ.มโนรมย์ จ.ชัยนาท 17110,เขตพื้นที่การศึกษาชัยนาท เขต 1
เขาแหลม,ต.ไร่พัฒนา อ.มโนรมย์ จ.ชัยนาท 17170,เขตพื้นที่การศึกษาชัยนาท เขต 1
เขาเกล็ด,ต.หนองมะโมง อ.หนองมะโมง จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
เขาราวเทียนทอง(ประดิษฐ์ราษฎร์อุปถัมภ์),ต.เนินขาม อ.เนินขาม จ.ชัยนาท 17130,เขตพื้นที่การศึกษาชัยนาท เขต 1
เก่า,ต.กะบกเตี้ย อ.เนินขาม จ.ชัยนาท 17130,เขตพื้นที่การศึกษาชัยนาท เขต 1
เขาพลัด,ต.เขาวง อ.พระพุทธบาท จ.สระบุรี 18120,เขตพื้นที่การศึกษาสระบุรี เขต 1
เขาเลี้ยว,ต.พุกร่าง อ.พระพุทธบาท จ.สระบุรี 18120,เขตพื้นที่การศึกษาสระบุรี เขต 1
เขาดินใต้,ต.หัวปลวก อ.เสาไห้ จ.สระบุรี 18160,เขตพื้นที่การศึกษาสระบุรี เขต 1
เขาไม้เกวียน,ต.มวกเหล็ก อ.มวกเหล็ก จ.สระบุรี 18180,เขตพื้นที่การศึกษาสระบุรี เขต 2
เขานมนาง,ต.ลำพญากลาง อ.มวกเหล็ก จ.สระบุรี 18180,เขตพื้นที่การศึกษาสระบุรี เขต 2
เขารวก (ร่วมมิตรพัฒนา),ต.หน้าพระลาน อ.เฉลิมพระเกียรติ จ.สระบุรี 18240,เขตพื้นที่การศึกษาสระบุรี เขต 1
เกาะไม้แหลม,ต.มาบไผ่ อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
เขาแรต,ต.มาบไผ่ อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
เขาดิน,ต.หนองซ้ำซาก อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
เนินโมก,ต.หนองอิรุณ อ.บ้านบึง จ.ชลบุรี 20220,เขตพื้นที่การศึกษาชลบุรี เขต 1
เขาซก,ต.เขาซก อ.หนองใหญ่ จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
เนินพลับหวาน,ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20260,เขตพื้นที่การศึกษาชลบุรี เขต 3
เนินถาวร,ต.บางนาง อ.พานทอง จ.ชลบุรี 20160,เขตพื้นที่การศึกษาชลบุรี เขต 2
เนิน,ต.นาเริก อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
เขาดินวังตาสี,ต.สระสี่เหลี่ยม อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
เขาอำนวยสุข,ต.หนองเหียง อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
เนินหลังเต่า,ต.บ้านช้าง อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
เขาดิน,ต.หนองขาม อ.ศรีราชา จ.ชลบุรี 20110,เขตพื้นที่การศึกษาชลบุรี เขต 3
เขาตะแบก,ต.หนองขาม อ.ศรีราชา จ.ชลบุรี 20110,เขตพื้นที่การศึกษาชลบุรี เขต 3
เนินตอง,ต.หนองขาม อ.ศรีราชา จ.ชลบุรี 20110,เขตพื้นที่การศึกษาชลบุรี เขต 3
เขาคันทรง,ต.เขาคันทรง อ.ศรีราชา จ.ชลบุรี 20110,เขตพื้นที่การศึกษาชลบุรี เขต 3
เขาหิน,ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี 20230,เขตพื้นที่การศึกษาชลบุรี เขต 3
เขาบายศรี,ต.พลูตาหลวง อ.สัตหีบ จ.ชลบุรี 20180,เขตพื้นที่การศึกษาชลบุรี เขต 3
เขาชีจรรย์,ต.บางเสร่ อ.สัตหีบ จ.ชลบุรี 20250,เขตพื้นที่การศึกษาชลบุรี เขต 3
เนินดินแดง,ต.ธาตุทอง อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
เขาใหญ่,ต.พลวงทอง อ.บ่อทอง จ.ชลบุรี 20270,เขตพื้นที่การศึกษาชลบุรี เขต 2
เขาวังแก้ว,ต.เกาะจันทร์ อ.เกาะจันทร์ จ.ชลบุรี 20240,เขตพื้นที่การศึกษาชลบุรี เขต 2
เขาสัตตพรหม,ต.เกาะจันทร์ อ.เกาะจันทร์ จ.ชลบุรี 20240,เขตพื้นที่การศึกษาชลบุรี เขต 2
เจ็ดเนิน,ต.เกาะจันทร์ อ.เกาะจันทร์ จ.ชลบุรี 20240,เขตพื้นที่การศึกษาชลบุรี เขต 2
เนินทุ่ง(ชื่นประชาราษฎร์บำรุง),ต.เกาะจันทร์ อ.เกาะจันทร์ จ.ชลบุรี 20240,เขตพื้นที่การศึกษาชลบุรี เขต 2
เกาะโพธิ์(วันครู2500),ต.ท่าบุญมี อ.เกาะจันทร์ จ.ชลบุรี 20240,เขตพื้นที่การศึกษาชลบุรี เขต 2
เนินเสาธง,ต.ตะพง อ.เมืองระยอง จ.ระยอง 21000,เขตพื้นที่การศึกษาระยอง เขต 1
เขายายชุม,ต.แกลง อ.เมืองระยอง จ.ระยอง 21160,เขตพื้นที่การศึกษาระยอง เขต 1
เขาวังม่าน,ต.นาตาขวัญ อ.เมืองระยอง จ.ระยอง 21000,เขตพื้นที่การศึกษาระยอง เขต 1
เขาห้วยมะหาด,ต.บ้านฉาง อ.บ้านฉาง จ.ระยอง 21130,เขตพื้นที่การศึกษาระยอง เขต 1
เขาหินแท่น,ต.วังหว้า อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
เจริญสุข,ต.วังหว้า อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
เนินดินแดง,ต.วังหว้า อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
เนินหย่อง,ต.วังหว้า อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
เนินไม้หอม,ต.กระแสบน อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
เนินสุขสำรอง,ต.ทุ่งควายกิน อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
เนินสมบูรณ์,ต.คลองปูน อ.แกลง จ.ระยอง 21170,เขตพื้นที่การศึกษาระยอง เขต 2
เต้าปูนหาย,ต.สองสลึง อ.แกลง จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
เขาตลาด,ต.พลงตาเอี่ยม อ.วังจันทร์ จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
เขาหวาย,ต.บางบุตร อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
เขาลอย,ต.ชากบก อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
เขาคลองซอง,ต.หนองไร่ อ.ปลวกแดง จ.ระยอง 21140,เขตพื้นที่การศึกษาระยอง เขต 1
เหมืองแร่,ต.น้ำเป็น อ.เขาชะเมา จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
เขาช่องลม,ต.ชำฆ้อ อ.เขาชะเมา จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
เขาชะอางคร่อมคลอง,ต.เขาน้อย อ.เขาชะเมา จ.ระยอง 21110,เขตพื้นที่การศึกษาระยอง เขต 2
เขาทอง,ต.บ่อเวฬุ อ.ขลุง จ.จันทบุรี 22150,เขตพื้นที่การศึกษาจันทบุรี เขต 2
เนินดินแดง,ต.เขาบายศรี อ.ท่าใหม่ จ.จันทบุรี 22000,เขตพื้นที่การศึกษาจันทบุรี เขต 1
เจ้าหลาว,ต.คลองขุด อ.ท่าใหม่ จ.จันทบุรี 22120,เขตพื้นที่การศึกษาจันทบุรี เขต 1
เตาหม้อ,ต.คลองขุด อ.ท่าใหม่ จ.จันทบุรี 22120,เขตพื้นที่การศึกษาจันทบุรี เขต 1
เขาแก้ววิทยา,ต.เขาแก้ว อ.ท่าใหม่ จ.จันทบุรี 22170,เขตพื้นที่การศึกษาจันทบุรี เขต 1
เขาหอม,ต.โป่งน้ำร้อน อ.โป่งน้ำร้อน จ.จันทบุรี 22140,เขตพื้นที่การศึกษาจันทบุรี เขต 2
เนินดินแดง,ต.เทพนิมิต อ.โป่งน้ำร้อน จ.จันทบุรี 22140,เขตพื้นที่การศึกษาจันทบุรี เขต 2
เกาะเปริด(เจริญรัตน์ราษฎร์นุกูล),ต.เกาะเปริด อ.แหลมสิงห์ จ.จันทบุรี 22130,เขตพื้นที่การศึกษาจันทบุรี เขต 2
เขาแก้ว,ต.ปะตง อ.สอยดาว จ.จันทบุรี 22180,เขตพื้นที่การศึกษาจันทบุรี เขต 2
เนินจำปา,ต.พวา อ.แก่งหางแมว จ.จันทบุรี 22160,เขตพื้นที่การศึกษาจันทบุรี เขต 1
เนินมะหาด,ต.ชากไทย อ.เขาคิชฌกูฏ จ.จันทบุรี 22210,เขตพื้นที่การศึกษาจันทบุรี เขต 2
เปร็ดใน,ต.ห้วงน้ำขาว อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
เนินตาแมว,ต.วังกระแจะ อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
เนินตาล,ต.คลองใหญ่ อ.คลองใหญ่ จ.ตราด 23110,เขตพื้นที่การศึกษาตราด เขต 1
เนินตะบก,ต.แสนตุ้ง อ.เขาสมิง จ.ตราด 23130,เขตพื้นที่การศึกษาตราด เขต 1
เกษมสุข,ต.เทพนิมิต อ.เขาสมิง จ.ตราด 23130,เขตพื้นที่การศึกษาตราด เขต 1
เจียรพัฒนา,ต.เทพนิมิต อ.เขาสมิง จ.ตราด 23130,เขตพื้นที่การศึกษาตราด เขต 1
เนินดินแดง,ต.คลองใหญ่ อ.แหลมงอบ จ.ตราด 23120,เขตพื้นที่การศึกษาตราด เขต 1
เกาะหมาก(สถิตย์สุทธิวงษ์),ต.เกาะหมาก อ.เกาะกูด จ.ตราด 23120,เขตพื้นที่การศึกษาตราด เขต 1
เกาะดอน,ต.คลองเปรง อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
เขาหินซ้อน,ต.เขาหินซ้อน อ.พนมสารคาม จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
เนินไร่,ต.แปลงยาว อ.แปลงยาว จ.ฉะเชิงเทรา 24190,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
เขาสะท้อน,ต.หนองไม้แก่น อ.แปลงยาว จ.ฉะเชิงเทรา 24190,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
