แถววิทยาคาร,ต.บ้านแถว อ.เสนา จ.พระนครศรีอยุธยา 13110,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
แพรกประชาสรรค์,ต.สำพะเนียง อ.บ้านแพรก จ.พระนครศรีอยุธยา 13240,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
แก่งน้ำเย็น,ต.มะนาวหวาน อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
แหลมชนแดน,ต.หนองมะค่า อ.โคกเจริญ จ.ลพบุรี 15250,เขตพื้นที่การศึกษาลพบุรี เขต 2
แป้งวิทยา,ต.บ้านแป้ง อ.พรหมบุรี จ.สิงห์บุรี 16120,เขตพื้นที่การศึกษาสิงห์บุรี เขต 5
แหลมแท่น,ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี 20130,เขตพื้นที่การศึกษาชลบุรี เขต 1
แปลงกระถิน,ต.หัวถนน อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
แปลง,ต.เกาะจันทร์ อ.เกาะจันทร์ จ.ชลบุรี 20240,เขตพื้นที่การศึกษาชลบุรี เขต 2
แก่งหวาย,ต.ชุมแสง อ.วังจันทร์ จ.ระยอง 21210,เขตพื้นที่การศึกษาระยอง เขต 2
แม่น้ำคู้,ต.แม่น้ำคู้ อ.ปลวกแดง จ.ระยอง 21140,เขตพื้นที่การศึกษาระยอง เขต 1
แก้ว,ต.ท่าช้าง อ.เมืองจันทบุรี จ.จันทบุรี 22000,เขตพื้นที่การศึกษาจันทบุรี เขต 1
แก่งน้อย,ต.เขาแก้ว อ.ท่าใหม่ จ.จันทบุรี 22170,เขตพื้นที่การศึกษาจันทบุรี เขต 1
แพร่งหน้าผาล่าง,ต.เขาแก้ว อ.ท่าใหม่ จ.จันทบุรี 22170,เขตพื้นที่การศึกษาจันทบุรี เขต 1
