โคกกะเทียม(ราษฎร์ดำริบำรุง),ต.โคกกะเทียม อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
โคกตูม,ต.โคกตูม อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
โคกสะอาด,ต.คลองเกตุ อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
โป่งยอ,ต.วังเพลิง อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
โกรกรกฟ้า,ต.ชัยนารายณ์ อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
โค้งรถไฟ,ต.นิคมลำนารายณ์ อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
โคกสุข,ต.หนองเต่า อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
โป่งสวองคีรีวรรณ์,ต.ซับจำปา อ.ท่าหลวง จ.ลพบุรี 15230,เขตพื้นที่การศึกษาลพบุรี เขต 2
โคกแสมสาร,ต.โคกแสมสาร อ.โคกเจริญ จ.ลพบุรี 15250,เขตพื้นที่การศึกษาลพบุรี เขต 2
โคกกลาง,ต.ดงดินแดง อ.หนองม่วง จ.ลพบุรี 15170,เขตพื้นที่การศึกษาลพบุรี เขต 2
โป่งแค,ต.เขาแก้ว อ.สรรพยา จ.ชัยนาท 17140,เขตพื้นที่การศึกษาชัยนาท เขต 1
โพธิ์ทองชัยประสิทธิ์(จำรองราษฎร์อุปถัมภ์),ต.สะพานหิน อ.หนองมะโมง จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
โคกสะอาด,ต.ตาลเดี่ยว อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
