ไผ่หมูขวิด,ต.ยี่ล้น อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ไทรย้อย,ต.ดอนโพธิ์ อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
ไร่พัฒนา,ต.นิคมลำนารายณ์ อ.ชัยบาดาล จ.ลพบุรี 15130,เขตพื้นที่การศึกษาลพบุรี เขต 2
ไผ่ใหญ่,ต.สายห้วยแก้ว อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
ไร่ทรัพย์เจริญ,ต.ยางโทน อ.หนองม่วง จ.ลพบุรี 15170,เขตพื้นที่การศึกษาลพบุรี เขต 2
ไร่พัฒนา(ราษฎร์บูรณะวิทยา),ต.ไร่พัฒนา อ.มโนรมย์ จ.ชัยนาท 17170,เขตพื้นที่การศึกษาชัยนาท เขต 1
ไพรนกยูง(วันชัยประชาสรรค์),ต.ไพรนกยูง อ.หันคา จ.ชัยนาท 17130,เขตพื้นที่การศึกษาชัยนาท เขต 1
ไร่ใหหลำ,ต.เหมือง อ.เมืองชลบุรี จ.ชลบุรี 20130,เขตพื้นที่การศึกษาชลบุรี เขต 1
ไร่เสธ์,ต.หนองเหียง อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
ไร่จันดี,ต.กะเฉด อ.เมืองระยอง จ.ระยอง 21100,เขตพื้นที่การศึกษาระยอง เขต 1
ไร่เก่า,ต.รำพัน อ.ท่าใหม่ จ.จันทบุรี 22170,เขตพื้นที่การศึกษาจันทบุรี เขต 1
ไผ่ล้อมสามัคคี,ต.ทุ่งขนาน อ.สอยดาว จ.จันทบุรี 22180,เขตพื้นที่การศึกษาจันทบุรี เขต 2
ไทรงาม,ต.ทับช้าง อ.สอยดาว จ.จันทบุรี 22180,เขตพื้นที่การศึกษาจันทบุรี เขต 2
ไร่ป่า,ต.เนินทราย อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
ไม้รูด(วิสิทธิ์ประชาสรรค์),ต.ไม้รูด อ.คลองใหญ่ จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
ไร่ดอน,ต.เกาะขนุน อ.พนมสารคาม จ.ฉะเชิงเทรา 24110,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ไผ่,ต.เมืองเก่า อ.กบินทร์บุรี จ.ปราจีนบุรี 25240,เขตพื้นที่การศึกษาปราจีนบุรี เขต 2
ไทยเจริญ,ต.วังท่าช้าง อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
ไทยสามัคคี,ต.โคคลาน อ.ตาพระยา จ.สระแก้ว 27180,เขตพื้นที่การศึกษาสระแก้ว เขต 2
ไทยสามารถ,ต.บ้านด่าน อ.อรัญประเทศ จ.สระแก้ว 27120,เขตพื้นที่การศึกษาสระแก้ว เขต 2
ไร่สามศรี,ต.วังสมบูรณ์ อ.วังสมบูรณ์ จ.สระแก้ว 27250,เขตพื้นที่การศึกษาสระแก้ว เขต 1
