ปราโมชวิทยาทาน,แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ปราโมชวิทยารามอินทรา,แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ประเทืองทิพย์วิทยา,แขวงคลองถนน เขตบางเขน กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ประสาทวิทย์วัฒนา,เขตปทุมวัน กรุงเทพมหานคร 10250,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ประสาทวุฒิ,แขวงบ้านบาตร เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ประภามนตรี,แขวงบางนา เขตพระโขนง กรุงเทพมหานคร 10260,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ประเวศพิทยาคาร,แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ปัญญาภรณ์,แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ประถมนนทรี,แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ประจักษ์วิทยา,แขวงบุคคโล เขตธนบุรี กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ประถมทวีธาภิเศก,แขวงวัดอรุณ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ประสาทวิทยาอนุชน,แขวงวัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ประสาทวิทยาอนุชน แผนกอนุบาล,แขวงวัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ปิยะวิทยา ตลิ่งชัน,แขวงคลองชักพระ เขตตลิ่งชัน กรุงเทพมหานคร 10170,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ปิยะมิตร,เขตตลิ่งชัน กรุงเทพมหานคร 10170,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ประทุมนุสรณ์,แขวงบางแค เขตภาษีเจริญ กรุงเทพมหานคร 10160,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ปัญญาศักดิ์,แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ประมุขวิทยา,แขวงบางอ้อ เขตบางพลัด กรุงเทพมหานคร 10700,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ประไพพัฒน์,แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10320,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ปัญจทรัพย์,เขตดินแดง กรุงเทพมหานคร 10320,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ปัฐวิกรณ์วิทยา,แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10320,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ประชาราษฎร์พิทยา,แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ปิ่นวัฒนา,แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ประยงค์วิทยา,แขวงบางคอแหลม เขตบางคอแหลม กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
ปิยะจิตวิทยา,แขวงสวนหลวง เขตประเวศ กรุงเทพมหานคร 10250,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ปทุมคงคา,แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ประสานวิทย์วัฒนา,แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ประเสริฐธรรมวิทยา,เขตสวนหลวง กรุงเทพมหานคร 10330,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ปัญญาวิทยา,แขวงบางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ประเทืองวิทย์อุรุพงษ์,แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ปริญญาทิพย์,เขตราชเทวี กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ปานะพันธุ์พญาไท,เขตราชเทวี กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ปิยะพงษ์วิทยา,แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ปัญญาวรคุณ,เขตบางแค กรุงเทพมหานคร 10160,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ปวีณา หงสกุลการบริบาล,แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ป้วยฮั้ว,ต.ปากน้ำ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ปราณีเนาวบุตร,ต.ท้ายบ้าน อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ปทุมคงคา สมุทรปราการ,ต.แพรกษาใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,เขตพื้นที่การศึกษาสมุทรปราการ เขต 6
ปากคลองชวดใหญ่,ต.บางบ่อ อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
ประชานาถ,ต.ตลาด อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ป้อมปู่เจ้าสมิงพราย,ต.บางหญ้าแพรก อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ปัญจะวิทย์,ต.สำโรงใต้ อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ป้อมพระจุลจอมเกล้า,ต.แหลมฟ้าผ่า อ.พระสมุทรเจดีย์ จ.สมุทรปราการ 10290,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ป้อมนาคราชสวาทยานนท์,ต.ปากคลองบางปลากด อ.พระสมุทรเจดีย์ จ.สมุทรปราการ 10290,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ปากคลองมอญ,ต.ศีรษะจรเข้น้อย อ.บางเสาธง จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
ประสาทพร,ต.ตลาดขวัญ อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
ประชาอุปถัมภ์,ต.ท่าทราย อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
ป่าไม้อุทิศ 9,ต.บางรักน้อย อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
ประสานวิทยานนทบุรี,ต.บางสีทอง อ.บางกรวย จ.นนทบุรี 11130,เขตพื้นที่การศึกษานนทบุรี เขต 1
ประชารัฐบำรุง,ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110,เขตพื้นที่การศึกษานนทบุรี เขต 2
ปิยะฉัตร,ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110,เขตพื้นที่การศึกษานนทบุรี เขต 2
ประสานสามัคคีวิทยา,ต.ละหาร อ.บางบัวทอง จ.นนทบุรี 11110,เขตพื้นที่การศึกษานนทบุรี เขต 2
ปากเกร็ด,ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 3
ประเสริฐอิสลาม,ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 2
ปทุมวิไล,ต.บางปรอก อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ปทุมธานี(นันทมุนีบำรุง),ต.บางหลวง อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ประคองศิลป์,อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ประถมศึกษาธรรมศาสตร์,ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ปากคลองสอง,ต.คลองสอง อ.คลองหลวง จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ประชุมวิทยา,ต.ระแหง อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140,เขตพื้นที่การศึกษาปทุมธานี เขต 1
