พระตำหนักสวนกุหลาบ,แขวงพระบรมมหาราชวัง เขตพระนคร กรุงเทพมหานคร 10200,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พิมานวิทย์,เขตพระนคร กรุงเทพมหานคร 10200,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พันธะวัฒนา,แขวงดุสิต เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พันธะศึกษา,แขวงดุสิต เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พันธะศึกษาแผนกมัธยม,แขวงดุสิต เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พุทธจักรวิทยา,แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พร้อมมิตรพิทยา,แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
พระมารดานิจจานุเคราะห์,แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
พระมหาไถ่ศึกษา,แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พิพัฒนา,แขวงพระโขนง เขตพระโขนง กรุงเทพมหานคร 10260,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พระโขนงพิทยาลัย,แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พรสุดามีนบุรี,แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
พรตพิทยพยัต,เขตลาดกระบัง กรุงเทพมหานคร 10520,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
พระแม่มารีสาธุประดิษฐ์,แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พรประสาทวิทยา,แขวงตลาดพลู เขตธนบุรี กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
พิบูลอุปถัมภ์,เขตห้วยขวาง กรุงเทพมหานคร 10320,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
พัฒนศึกษา,แขวงคลองสาน เขตคลองสาน กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
พิทยาลงกรณ์พิทยาคม,แขวงบางขุนเทียน เขตบางขุนเทียน กรุงเทพมหานคร 10150,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พัฒนวิทย์,แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
พิมลวิทย์,แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
พร้อมพรรณวิทยา,แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พิชัยพัฒนา,แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
พระแม่มารีสาทร,แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พรศรีวิทยาบางโพ,แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พัฒนวิทย์,แขวงบางคอแหลม เขตบางคอแหลม กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
พระหฤทัยคอนแวนต์,แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พระหฤทัยพัฒนเวศน์,แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พระโขนงวิทยา,แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พระแม่มารีพระโขนง,แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พระหฤทัยดอนเมือง,แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
พญาไท,แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
พระยาประเสริฐสุนทราศรัย (กระจ่าง สิงหเสนี),แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
พร้านีลวัชระ,ต.ปากน้ำ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
พิบูลประชาบาล,ต.บางปูใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
พูลเจริญวิทยาคม,ต.บางโฉลง อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
พรหมพิกุลทอง,ต.ราชาเทวะ อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
พลอยจาตุรจินดา,ต.บางพึ่ง อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
พลับพลาศิริวิทยา,ต.สวนใหญ่ อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
พัชรานุบาล,ต.สวนใหญ่ อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
พิทักษ์นครานุสรณ์,ต.ตลาดขวัญ อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
พิศาลธรรมพาที,ต.บางเลน อ.บางใหญ่ จ.นนทบุรี 11140,เขตพื้นที่การศึกษานนทบุรี เขต 2
พระแม่สภลสงเคราะห์,ต.โสนลอย อ.บางบัวทอง จ.นนทบุรี 11110,เขตพื้นที่การศึกษานนทบุรี เขต 2
พระหฤทัยนนทบุรี,ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 2
พิชญศึกษา,ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 2
พัฒนานครินทร์,ต.บางคูวัด อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
พุทธารักษ์,ต.หนองสามวัง อ.หนองเสือ จ.ปทุมธานี 12170,เขตพื้นที่การศึกษาปทุมธานี เขต 2
พัฒนาภาษาพรรณริณี,ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 0
พัฒนาวิทยา,ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 2
พระวิสุทธิวงส์,ต.ลำไทร อ.ลำลูกกา จ.ปทุมธานี 12150,เขตพื้นที่การศึกษาปทุมธานี เขต 2
พรพินิตพิทยาคาร,ต.สำเภาล่ม อ.พระนครศรีอยุธยา จ.พระนครศรีอยุธยา 13000,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
พระอินทร์ศึกษา (กล่อมสกุลอุทิศ),ต.พยอม อ.วังน้อย จ.พระนครศรีอยุธยา 13180,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
พวงทองอุปถัมภ์,ต.แสวงหา อ.แสวงหา จ.อ่างทอง 14150,เขตพื้นที่การศึกษาอ่างทอง เขต 1
พิบูลวิทยาลัย,ต.ทะเลชุบศร อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
พระนารายณ์,ต.ท่าศาลา อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 5
พิบูลสงเคราะห์,ต.นิคมสร้างตนเอง อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
พลร่มอนุสรณ์ มิตรภาพที่ ๕๐,ต.ป่าตาล อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
พัฒนานิคม,ต.พัฒนานิคม อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
พรหมรังษี,ต.พัฒนานิคม อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
พิบูลปัทมาคม,ต.สนามแจง อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
พระวรสาร,อ.บ้านหมี่ จ.ลพบุรี 15180,เขตพื้นที่การศึกษาลพบุรี เขต 1
พรหมบุรีรัชดาภิเษก,ต.บ้านหม้อ อ.พรหมบุรี จ.สิงห์บุรี 16120,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
พระกุมารเยซูสิงห์บุรี,ต.โรงช้าง อ.พรหมบุรี จ.สิงห์บุรี 16120,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
พระยาตาก,ต.บ้านกล้วย อ.เมืองชัยนาท จ.ชัยนาท 17000,เขตพื้นที่การศึกษาชัยนาท เขต 1
พิชิตวิทยา,ต.ปากเพรียว อ.เมืองสระบุรี จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 1
พระพุทธบาท,ต.ขุนโขลน อ.พระพุทธบาท จ.สระบุรี 18120,เขตพื้นที่การศึกษาสระบุรี เขต 1
พระพุทธบาท(พลานุกูลวิทยา),ต.พุกร่าง อ.พระพุทธบาท จ.สระบุรี 18120,เขตพื้นที่การศึกษาสระบุรี เขต 1
พระวิทยา,ต.มิตรภาพ อ.มวกเหล็ก จ.สระบุรี 18130,เขตพื้นที่การศึกษาสระบุรี เขต 2
พงศ์สิริวิทยา,ต.หนองไม้แดง อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
พระตำหนักมหาราช,ต.อ่างศิลา อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
พิทยรังสี,ต.หนองใหญ่ อ.หนองใหญ่ จ.ชลบุรี 20190,เขตพื้นที่การศึกษาชลบุรี เขต 1
