ยุหมินพัฒนา,แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ยุวพุทธพิทยา,แขวงบางด้วน เขตภาษีเจริญ กรุงเทพมหานคร 10160,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ยานนาเวศวิทยาคม,แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ยิ่งยศอนุสรณ์,ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ยอแซฟอยุธยา,ต.สำเภาล่ม อ.พระนครศรีอยุธยา จ.พระนครศรีอยุธยา 13000,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ยางรากวิทยา,ต.ยางราก อ.โคกเจริญ จ.ลพบุรี 15250,เขตพื้นที่การศึกษาลพบุรี เขต 2
ยงศ์สุรีศึกษา,ต.ชอนสารเดช อ.หนองม่วง จ.ลพบุรี 15170,เขตพื้นที่การศึกษาลพบุรี เขต 2
ยอแซฟวิทยา,ต.ท่าใหม่ อ.ท่าใหม่ จ.จันทบุรี 22120,เขตพื้นที่การศึกษาจันทบุรี เขต 1
ยางวิทยาคาร,ต.ยาง อ.ศีขรภูมิ จ.สุรินทร์ 32110,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
ยางชุมน้อยพิทยาคม,ต.ยางชุมน้อย อ.ยางชุมน้อย จ.ศรีสะเกษ 33190,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ยโสธรพิทยาคม,ต.ในเมือง อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
ยโสธรวิทยาคาร,ต.ในเมือง อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
ยโสธรพิทยาสรรค์,ต.ตาดทอง อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
ยางบ่ารัฐประชามิตร,ต.โคกสูง อ.เมืองชัยภูมิ จ.ชัยภูมิ 36000,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
