ลาซาล,แขวงบางนา เขตพระโขนง กรุงเทพมหานคร 10260,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ลักษณเกียรติศึกษา,แขวงวัดพระยาไกร เขตบางคอแหลม กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
ลาดปลาเค้าพิทยาคม,แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ล้วนพฤกษา,ต.บางเมือง อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ละมูลรอดศิริ,ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
ลำสนุ่น,ต.คลองสอง อ.คลองหลวง จ.ปทุมธานี 12120,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ลิ้นจี่อุทิศ,ต.คลองหก อ.คลองหลวง จ.ปทุมธานี 12120,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ลุมพลีชนูปถัมภ์,ต.ลุมพลี อ.พระนครศรีอยุธยา จ.พระนครศรีอยุธยา 13000,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ลาดชะโดสามัคคี,ต.จักราช อ.ผักไห่ จ.พระนครศรีอยุธยา 13280,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 3
ลาดบัวหลวง(ประชาบรรลือฤทธิ์),ต.หลักชัย อ.ลาดบัวหลวง จ.พระนครศรีอยุธยา 13230,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ลาดบัวหลวงไพโรจน์วิทยา,ต.พระยาบันลือ อ.ลาดบัวหลวง จ.พระนครศรีอยุธยา 13230,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ลาดบัวหลวง (นิ่มนวลอุทิศ),ต.พระยาบันลือ อ.ลาดบัวหลวง จ.พระนครศรีอยุธยา 13230,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ลาดงาประชาบำรุง,ต.ลาดงา อ.เสนา จ.พระนครศรีอยุธยา 13110,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ลาดงาวิทยาคม (ปลั่ง ฤกษ์จารี),ต.ลาดงา อ.เสนา จ.พระนครศรีอยุธยา 13110,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ลัดดาประชาสรรค์,ต.บ้านกล้วย อ.เมืองชัยนาท จ.ชัยนาท 17000,เขตพื้นที่การศึกษาชัยนาท เขต 1
ลาซาลจันทบุรรี (มารดาพิทักษ์),ต.จันทนิมิต อ.เมืองจันทบุรี จ.จันทบุรี 22000,เขตพื้นที่การศึกษาจันทบุรี เขต 1
ลาดตะเคียนราษฏร์บำรุง,ต.ลาดตะเคียน อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
ลุงถ่อนราษฎร์อุทิศ,ต.ศรีละกอ อ.จักราช จ.นครราชสีมา 30230,เขตพื้นที่การศึกษานครราชสีมา เขต 2
ลำพระเพลิงพิทยาคม,ต.ตะขบ อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
ลำทะเมนไชยพิทยาคม,ต.ขุย อ.ลำทะเมนชัย จ.นครราชสีมา 30270,เขตพื้นที่การศึกษานครราชสีมา เขต 7
ลำดวนพิทยาคม,ต.ลำดวน อ.กระสัง จ.บุรีรัมย์,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
ละหานทรายรัชดาภิเษก,ต.ละหานทราย อ.ละหานทราย จ.บุรีรัมย์ 31170,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
ละหานทรายวิทยา,ต.โคกว่าน อ.ละหานทราย จ.บุรีรัมย์ 31170,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
ลำปลายมาศ,ต.ลำปลายมาศ อ.ลำปลายมาศ จ.บุรีรัมย์ 31130,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
ลำพลับพลาวิทยาคาร,ต.ชุมพลบุรี อ.ชุมพลบุรี จ.สุรินทร์ 32190,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ลานทรายพิทยาคม,ต.บะ อ.ท่าตูม จ.สุรินทร์ 32120,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ลุ่มระวีวิทยา,ต.ลุ่มระวี อ.จอมพระ จ.สุรินทร์ 32180,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
ลิ้นฟ้าพิทยาคม,ต.ลิ้นฟ้า อ.ยางชุมน้อย จ.ศรีสะเกษ 33190,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ละทายวิทยา,ต.ละทาย อ.กันทรารมย์ จ.ศรีสะเกษ 33130,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
