วัลยา,แขวงบางขุนพรหม เขตพระนคร กรุงเทพมหานคร 10200,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
วชิราวุธวิทยาลัย,แขวงดุสิต เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
วรนาถวิทยา,แขวงสายไหม เขตบางเขน กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
วัฒนานนท์วิทยา,แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
วิทยสถานแห่งวัฒนธรรมตะวันออก,แขวงรองเมือง เขตปทุมวัน กรุงเทพมหานคร 10330,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
วรสารพิทยา,แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
วรมงคล,เขตยานนาวา กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
วชิรานุบาล,แขวงวัดกัลยาณ์ เขตธนบุรี กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
วัฒนะศึกษา,แขวงตลาดพลู เขตธนบุรี กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
วิบูลย์เสรีวิทยา,แขวงวัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
วีระวิทย์,แขวงคลองสาน เขตคลองสาน กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
วรรัตน์ศึกษา,แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
วีรสุนทร,แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
วรรธนะวิทย์,เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
วิมุตยารามพิทยากร,แขวงบางอ้อ เขตบางพลัด กรุงเทพมหานคร 10700,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
วิริยาลัย,เขตสาทร กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
วีระพิทยา,แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
วาสุเทวี,แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
วังเด็กกฤตศิลป์วิทยา,แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
วรรณวิทย์,แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
วัฒนาวิทยาลัย,แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
วชิรสิน,แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
วิศาลวิทย์,แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
วัฒนศิลป์วิทยาลัย,แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
วิทยานนท์,แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
วิชัยวิทยา,แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
วิสุทธิกัษตรี,ต.ตลาด อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
วัฒนพฤกษา,ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 2
วัฒนพฤกษา 2,ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 2
วันครู 2502,ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,เขตพื้นที่การศึกษาปทุมธานี เขต 1
วนิษา,ต.บึงยี่โถ อ.ธัญบุรี จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 2
วรราชาทินัดดามาตุวิทยา,ต.คลองพระอุดม อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140,เขตพื้นที่การศึกษาปทุมธานี เขต 1
วงศ์ไพฑูรย์วิทยา,อ.ลำลูกกา จ.ปทุมธานี 12150,เขตพื้นที่การศึกษาปทุมธานี เขต 2
วิทยานนท์,ต.สามเมือง อ.ลาดบัวหลวง จ.พระนครศรีอยุธยา 13230,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
วังน้อยวิทยาภูมิ,ต.ลำตาเสา อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
วิเชียรกลิ่นสุคนธ์อุปถัมภ์,ต.ลำไทร อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 3
วังน้อย (พนมยงค์วิทยา),ต.ชะแมบ อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
วรดิตถ์วิทยาประสูทน์,ต.ป่าโมก อ.ป่าโมก จ.อ่างทอง 14130,เขตพื้นที่การศึกษาอ่างทอง เขต 1
วิเศษชัยชาญวิทยาคม,ต.ไผ่จำศิล อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
วิเศษไชยชาญ(ตันติวิทยาภูมิ),ต.ไผ่จำศิล อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
วรพิทยา,ต.ทะเลชุบศร อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
วินิตศึกษา,ต.ท่าหิน อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
วรนารถวิทยาลพบุรี,ต.เขาพระงาม อ.เมืองลพบุรี จ.ลพบุรี 15160,เขตพื้นที่การศึกษาลพบุรี เขต 1
วรกิจพิทยา,ต.ถนนใหญ่ อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
วิไลวิทยา,ต.หนองม่วง อ.หนองม่วง จ.ลพบุรี 15170,เขตพื้นที่การศึกษาลพบุรี เขต 2
วิจิตรศึกษา,ต.โพชนไก่ อ.บางระจัน จ.สิงห์บุรี 16130,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
วัฒนานุกูลวิทยา,ต.พระพุทธบาท อ.พระพุทธบาท จ.สระบุรี 18000,เขตพื้นที่การศึกษาสระบุรี เขต 1
วังม่วงวิทยาคม,ต.วังม่วง อ.วังม่วง จ.สระบุรี 18220,เขตพื้นที่การศึกษาสระบุรี เขต 4
วุฒิวิทยา,ต.บางปลาสร้อย อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
วอนนภาศัพท์,ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี 20130,เขตพื้นที่การศึกษาชลบุรี เขต 1
วัฒนดรุณวิทย์,ต.บ้านบึง อ.บ้านบึง จ.ชลบุรี 20170,เขตพื้นที่การศึกษาชลบุรี เขต 1
วุฒิโชค,ต.นาเกลือ อ.บางละมุง จ.ชลบุรี 20150,เขตพื้นที่การศึกษาชลบุรี เขต 3
วัฒนานุศาสตร์,ต.พนัสนิคม อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
วรางค์ลักษณ์เนอร์สเซอรี่,ต.ศรีราชา อ.ศรีราชา จ.ชลบุรี 20110,เขตพื้นที่การศึกษาชลบุรี เขต 3
วรนาถวิทยา,ต.สัตหีบ อ.สัตหีบ จ.ชลบุรี 20180,เขตพื้นที่การศึกษาชลบุรี เขต 3
วุฒินันท์,ต.มาบตาพุด อ.เมืองระยอง จ.ระยอง 21000,เขตพื้นที่การศึกษาระยอง เขต 1
