บวรนิเวศ,แขวงบวรนิเวศ เขตพระนคร กรุงเทพมหานคร 10200,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
บางกระดี่,แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
บวรมงคล,แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร 10700,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
บางนางเกรง,ต.ปากน้ำ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
บางโปรง,ต.บางโปรง อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
บางด้วน,ต.บางด้วน อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
บางบ่อ,ต.บางบ่อ อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
บางนางเพ็ง,ต.บ้านระกาศ อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
บางพลีน้อย,ต.บางพลีน้อย อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
บางเพรียง,ต.บางเพรียง อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
บางพลีใหญ่กลาง,ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
บางพลีใหญ่ใน,ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
บางโฉลงนอก,ต.บางโฉลง อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
บางโฉลงใน,ต.บางโฉลง อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
บางหญ้าแพรก,ต.บางหญ้าแพรก อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
บางฝ้าย,ต.บางหัวเสือ อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
บางหัวเสือ,ต.บางหัวเสือ อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
บางกะเจ้ากลาง,ต.บางยอ อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
บางขมิ้น,ต.บางยอ อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
บางน้ำผึ้งนอก,ต.บางน้ำผึ้ง อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
บางน้ำผึ้งใน,ต.บางน้ำผึ้ง อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
บางกระสอบ,ต.บางกระสอบ อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
บางกอบัว,ต.บางกอบัว อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
บัวโรย,ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
บัวขวัญ(มีทับราษฎร์บำรุง),ต.บางกระสอ อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
บางระโหง(ภิรมย์ศิริ),ต.บางกร่าง อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
บางรักน้อย,ต.บางรักน้อย อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
บางอ้อยช้าง(นันทศรีวิบูลย์บำรุง),ต.บางสีทอง อ.บางกรวย จ.นนทบุรี 11300,เขตพื้นที่การศึกษานนทบุรี เขต 1
บางขนุน(ทัดสุวรรณกลึงประชาสรรค์),ต.บางขนุน อ.บางกรวย จ.นนทบุรี,เขตพื้นที่การศึกษานนทบุรี เขต 1
บางไกรนอก,ต.บางขุนกอง อ.บางกรวย จ.นนทบุรี 11300,เขตพื้นที่การศึกษานนทบุรี เขต 1
บางรักใหญ่(สายอักษรศรี),ต.บางรักใหญ่ อ.บางบัวทอง จ.นนทบุรี 11110,เขตพื้นที่การศึกษานนทบุรี เขต 2
บ่อ(นันทวิทยา),ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 2
