ประยุรวงศาวาส,แขวงวัดกัลยาณ์ เขตธนบุรี กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ประดู่ในทรงธรรม,เขตบางกอกใหญ่ กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ปากน้ำวิทยาคม,แขวงบางพรม เขตตลิ่งชัน กรุงเทพมหานคร 10170,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ปานประสิทธาราม,ต.คลองด่าน อ.บางบ่อ จ.สมุทรปราการ 10550,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
ป่าเกด,ต.ทรงคนอง อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ปุณหังสนาวาส,ต.สำโรงกลาง อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ปากน้ำ(พิบูลสงคราม),ต.สวนใหญ่ อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
ประชารังสรรค์,ต.บางกร่าง อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
ปราสาท,ต.บางกร่าง อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
ปลายคลองขุนศรี,ต.ไทรใหญ่ อ.ไทรน้อย จ.นนทบุรี 11150,เขตพื้นที่การศึกษานนทบุรี เขต 2
ปรมัยยิกาวาส(แสนสวัสดิ์วิทยาคาร),ต.เกาะเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 2
ปทุมนายก,ต.ศาลาครุ อ.หนองเสือ จ.ปทุมธานี 12170,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ประยูรธรรมาราม,ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ปัญจทายิกาวาส,ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ประชุมราษฏร์,ต.บึงคำพร้อย อ.ลำลูกกา จ.ปทุมธานี 12150,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ปทุมทอง,ต.บ้านปทุม อ.สามโคก จ.ปทุมธานี 12160,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ป่างิ้ว,ต.บ้านงิ้ว อ.สามโคก จ.ปทุมธานี 12160,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ประดู่ทรงธรรม,ต.ไผ่ลิง อ.พระนครศรีอยุธยา จ.พระนครศรีอยุธยา 13000,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ปากกราน,ต.ปากกราน อ.พระนครศรีอยุธยา จ.พระนครศรีอยุธยา 13000,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ปรีดาราม,ต.แม่ลา อ.นครหลวง จ.พระนครศรีอยุธยา 13260,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ปากน้ำ (ไตรคามสามัคคี),ต.แคออก อ.บางไทร จ.พระนครศรีอยุธยา 13190,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ป่าคาเจริญวิทยา,ต.โคกช้าง อ.บางไทร จ.พระนครศรีอยุธยา 13190,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 0
ปราสาททอง,ต.ไทรน้อย อ.บางบาล จ.พระนครศรีอยุธยา 13250,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ประมุง (แจ่มราษฎร์รังสรรค์),ต.บ้านลี่ อ.บางปะหัน จ.พระนครศรีอยุธยา 13220,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ประดู่โลกเชษฎ์,ต.หัวเวียง อ.เสนา จ.พระนครศรีอยุธยา 13110,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ปิ่นแก้ว,ต.ชายนา อ.เสนา จ.พระนครศรีอยุธยา 13110,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ปากคลอง (ประชามหาราช),ต.หัวไผ่ อ.มหาราช จ.พระนครศรีอยุธยา 13150,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ปลดสัตว์,ต.บ้านแห อ.เมืองอ่างทอง จ.อ่างทอง 14000,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ป่ามุนี,ต.อินทประมูล อ.โพธิ์ทอง จ.อ่างทอง 14120,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ป่ากล้วย,ต.ท่าแค อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
ปากคลองบางคู้,ต.บางคู้ อ.ท่าวุ้ง จ.ลพบุรี 15150,เขตพื้นที่การศึกษาลพบุรี เขต 1
ประโชติการาม,ต.บางกระบือ อ.เมืองสิงห์บุรี จ.สิงห์บุรี 16000,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ประสิทธิ์คุณากร,ต.สิงห์ อ.บางระจัน จ.สิงห์บุรี 16130,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ประดับ,ต.บางระจัน อ.ค่ายบางระจัน จ.สิงห์บุรี 16150,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ประสาท,ต.พระงาม อ.พรหมบุรี จ.สิงห์บุรี 16120,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ป่าหวาย,ต.โรงช้าง อ.พรหมบุรี จ.สิงห์บุรี 16120,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ประศุก,ต.อินทร์บุรี อ.อินทร์บุรี จ.สิงห์บุรี 16110,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ปลาไหล,ต.ประศุก อ.อินทร์บุรี จ.สิงห์บุรี 16110,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ปากแรต,ต.ห้วยชัน อ.อินทร์บุรี จ.สิงห์บุรี,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ประชุมธรรม(สัจจะญาณ),ต.บ้านเชี่ยน อ.หันคา จ.ชัยนาท 17130,เขตพื้นที่การศึกษาชัยนาท เขต 1
ป่าสัก,ต.ดาวเรือง อ.เมืองสระบุรี จ.สระบุรี 18000,เขตพื้นที่การศึกษาสระบุรี เขต 1
ป๊อกแป๊ก,ต.หนองโน อ.เมืองสระบุรี จ.สระบุรี 18000,เขตพื้นที่การศึกษาสระบุรี เขต 1
ป่าไผ่,ต.ทับกวาง อ.แก่งคอย จ.สระบุรี 18260,เขตพื้นที่การศึกษาสระบุรี เขต 2
ปัญจาภิรมย์,ต.สร่างโศก อ.บ้านหมอ จ.สระบุรี 18130,เขตพื้นที่การศึกษาสระบุรี เขต 1
ปากน้ำ,ต.คำพราน อ.วังม่วง จ.สระบุรี 18220,เขตพื้นที่การศึกษาสระบุรี เขต 2
ป่าคา,ต.ห้วยบง อ.เฉลิมพระเกียรติ จ.สระบุรี 18000,เขตพื้นที่การศึกษาสระบุรี เขต 1
ป่าแก้ว,ต.หัวถนน อ.พนัสนิคม จ.ชลบุรี 20140,เขตพื้นที่การศึกษาชลบุรี เขต 2
