ราชาธิวาส,แขวงวชิรพยาบาล เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ราษฎร์บำรุง,แขวงลำต้อยติ่ง เขตหนองจอก กรุงเทพมหานคร 10530,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ราชโกษา,แขวงขุมทอง เขตลาดกระบัง กรุงเทพมหานคร 10520,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
รางบัว,แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ราชโอรส,แขวงบางค้อ เขตจอมทอง กรุงเทพมหานคร 10150,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ราษฎร์บำรุง (งามศิริวิทยาคาร),แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ราษฎร์โพธิ์ทอง,ต.ท้ายบ้าน อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ราษฎร์นิยมธรรม,ต.บางปลา อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
ราษฎร์บูรณะ,ต.บางปลา อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
รวก,ต.บางพึ่ง อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ราษฎร์รังสรรค์,ต.บางกะเจ้า อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
รวก(พร้อมพิทยาคาร),ต.บางสีทอง อ.บางกรวย จ.นนทบุรี 11130,เขตพื้นที่การศึกษานนทบุรี เขต 1
ราษฎร์ศรัทธาทํา,ต.บางหลวง อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
รังสิต,ต.หลักหก อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ราษฎรบํารุง,ต.บึงกาสาม อ.หนองเสือ จ.ปทุมธานี 12170,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ราษฎร์บำเพ็ญ,ต.บ่อโพง อ.นครหลวง จ.พระนครศรีอยุธยา 13260,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ราษฎร์ศรัทธาธรรม,ต.บางกระสั้น อ.บางปะอิน จ.พระนครศรีอยุธยา 13160,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ราษฎร์นิยม (นิติเกษตรบำรุง),ต.ผักไห่ อ.ผักไห่ จ.พระนครศรีอยุธยา 13120,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ราษฎร์บำรุง,ต.สิงหนาท อ.ลาดบัวหลวง จ.พระนครศรีอยุธยา 13230,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ราษฎร์ปุณณาราม,ต.คลองพระยาบันลือ อ.ลาดบัวหลวง จ.พระนครศรีอยุธยา 13230,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
รางจระเข้,ต.บ้านโพธิ์ อ.เสนา จ.พระนครศรีอยุธยา 13110,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ราชปักษี,ต.โพสะ อ.เมืองอ่างทอง จ.อ่างทอง 14000,เขตพื้นที่การศึกษาอ่างทอง เขต 1
รุ้ง (วิบูลย์วิทยาคาร),ต.บ้านรี อ.เมืองอ่างทอง จ.อ่างทอง 14000,เขตพื้นที่การศึกษาอ่างทอง เขต 1
รางฉนวน,ต.วังน้ำเย็น อ.แสวงหา จ.อ่างทอง 14150,เขตพื้นที่การศึกษาอ่างทอง เขต 1
รัตนาราม,ต.จำลอง อ.แสวงหา จ.อ่างทอง 14150,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ราชสกุณา,ต.ไผ่จำศิล อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ราษฎร์สามัคคี,ต.ช่องสาริกา อ.พัฒนานิคม จ.ลพบุรี 15220,เขตพื้นที่การศึกษาลพบุรี เขต 2
รัตนาราม,ต.โคกสำโรง อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
รัมภาราม,ต.ท่าวุ้ง อ.ท่าวุ้ง จ.ลพบุรี 15150,เขตพื้นที่การศึกษาลพบุรี เขต 1
ราษฎร์ประสิทธิ์,ต.โพกรวม อ.เมืองสิงห์บุรี จ.สิงห์บุรี 16000,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ระนาม,ต.ชีน้ำร้าย อ.อินทร์บุรี จ.สิงห์บุรี 16110,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ราษฎร์ศรัทธาทำ,ต.ชีน้ำร้าย อ.อินทร์บุรี จ.สิงห์บุรี 16110,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ราษฎร์ศรัทธาราม,ต.เด่นใหญ่ อ.หันคา จ.ชัยนาท 17130,เขตพื้นที่การศึกษาชัยนาท เขต 1
ราษฎร์ศรัทธาธรรม,ต.ไผ่ต่ำ อ.หนองแค จ.สระบุรี 18140,เขตพื้นที่การศึกษาสระบุรี เขต 2
ราษฎร์เจริญ(สรกิจพิจารณ์อุปถัมภ์),ต.หนองแขม อ.หนองแค จ.สระบุรี 18140,เขตพื้นที่การศึกษาสระบุรี เขต 2
ร่องแซง(กุลไพศาลวิทยา),ต.หนองปลาหมอ อ.หนองแค จ.สระบุรี 18140,เขตพื้นที่การศึกษาสระบุรี เขต 2
ราษฎร์บำรุง,ต.หนองโรง อ.หนองแค จ.สระบุรี 18140,เขตพื้นที่การศึกษาสระบุรี เขต 2
ราษฎร์บำรุง,ต.สร่างโศก อ.บ้านหมอ จ.สระบุรี 18130,เขตพื้นที่การศึกษาสระบุรี เขต 1
ราษฏร์สโมสร,ต.นาป่า อ.เมืองชลบุรี จ.ชลบุรี 20000,เขตพื้นที่การศึกษาชลบุรี เขต 1
ราษฏร์ศรัทธา,ต.เหมือง อ.เมืองชลบุรี จ.ชลบุรี 20130,เขตพื้นที่การศึกษาชลบุรี เขต 1
