ลานบุญ,แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ลิงขบ,แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
ลาดพร้าว,แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ลำกะดาน,แขวงสามวาตะวันออก เขตคลองสามวา กรุงเทพมหานคร 10510,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ลาดหวาย,ต.บางเพรียง อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
ลานนาบุญ (น้อม หงสะเดชอุปถัมภ์),ต.ตลาดขวัญ อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
ลุ่ม,ต.บางกรวย อ.บางกรวย จ.นนทบุรี 11300,เขตพื้นที่การศึกษานนทบุรี เขต 1
ลำโพ,ต.ลำโพ อ.บางบัวทอง จ.นนทบุรี 11110,เขตพื้นที่การศึกษานนทบุรี เขต 2
ลาดปลาดุก,ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110,เขตพื้นที่การศึกษานนทบุรี เขต 2
ลากค้อน,ต.ราษฎร์นิยม อ.ไทรน้อย จ.นนทบุรี 11150,เขตพื้นที่การศึกษานนทบุรี เขต 2
ลาดหลุมแก้ว,ต.ระแหง อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ลํามหาเมฆ,ต.บ่อเงิน อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ลาดสนุ่น,ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ลานนา,ต.ลำลูกกา อ.ลำลูกกา จ.ปทุมธานี 12150,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ละมุด (ร.ส.พ.ราษฎร์บํารุง),ต.ปากจั่น อ.นครหลวง จ.พระนครศรีอยุธยา 13260,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ลาย (ทวีปัญญา),ต.บางพระครู อ.นครหลวง จ.พระนครศรีอยุธยา 13260,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ลาดระโหง,ต.วัดยม อ.บางปะอิน จ.พระนครศรีอยุธยา 13160,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ลำตะเคียน (วิริยศึกษา),ต.ลำตะเคียน อ.ผักไห่ จ.พระนครศรีอยุธยา 13280,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ลาดชะโด,ต.หนองน้ำใหญ่ อ.ผักไห่ จ.พระนครศรีอยุธยา 13280,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ลาดชิด (ลาดชิดวิทยาคาร),ต.ลาดชิด อ.ผักไห่ จ.พระนครศรีอยุธยา 13120,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ลาดประทุมคงคาราม,ต.หลักชัย อ.ลาดบัวหลวง จ.พระนครศรีอยุธยา 13230,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ลาดบัวหลวง (สหมิตรศึกษา),ต.สามเมือง อ.ลาดบัวหลวง จ.พระนครศรีอยุธยา 13230,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ลาดทราย,ต.ลำไทร อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ลำพระยา (แช่มช้อยวิทยา),ต.วังจุฬา อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ลิ้นทอง,ต.มหาดไทย อ.เมืองอ่างทอง จ.อ่างทอง 14000,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ละมุด,ต.ไชโย อ.ไชโย จ.อ่างทอง 14140,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ลาดเค้า,ต.นรสิงห์ อ.ป่าโมก จ.อ่างทอง 14130,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ลั่นทม,ต.รำมะสัก อ.โพธิ์ทอง จ.อ่างทอง 14120,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ลาดเป็ด,ต.ท่าช้าง อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ลานช้าง,ต.หลักแก้ว อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ลาดสาลี่,ต.ลาดสาลี่ อ.ท่าวุ้ง จ.ลพบุรี 15150,เขตพื้นที่การศึกษาลพบุรี เขต 1
ล่องกะเบา,ต.ทองเอน อ.อินทร์บุรี จ.สิงห์บุรี 16110,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ลำบัว,ต.หนองโรง อ.หนองแค จ.สระบุรี 18140,เขตพื้นที่การศึกษาสระบุรี เขต 2
ลาดเขาปูน,ต.บ้านแก้ง อ.เฉลิมพระเกียรติ จ.สระบุรี 18240,เขตพื้นที่การศึกษาสระบุรี เขต 1
ลาดบัวขาว,ต.หัวไทร อ.บางคล้า จ.ฉะเชิงเทรา 24110,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ล่าง,ต.บางปะกง อ.บางปะกง จ.ฉะเชิงเทรา 24130,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
ลาดยาว,ต.บางเกลือ อ.บางปะกง จ.ฉะเชิงเทรา 24180,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
