วชิรธรรมสาธิต,แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
วังแดงเหนือ(แจ่มวิทยาคาร),ต.วังแดง อ.ท่าเรือ จ.พระนครศรีอยุธยา 13130,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
วิเวกวายุพัด,ต.คลองจิก อ.บางปะอิน จ.พระนครศรีอยุธยา 13160,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
วรนายกรังสรรค์,ต.บางปะหัน อ.บางปะหัน จ.พระนครศรีอยุธยา 13220,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
วิมลสุนทร,ต.ดอนหญ้านาง อ.ภาชี จ.พระนครศรีอยุธยา 13140,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
วงษ์สวรรค์,ต.ชะแมบ อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
วังชะโด,ต.บางซ้าย อ.บางซ้าย จ.พระนครศรีอยุธยา 13270,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
วงษ์ภาศน์,ต.ราชสถิตย์ อ.ไชโย จ.อ่างทอง 14140,เขตพื้นที่การศึกษาอ่างทอง เขต 1
วังน้ำเย็น,ต.วังน้ำเย็น อ.แสวงหา จ.อ่างทอง 14150,เขตพื้นที่การศึกษาอ่างทอง เขต 1
วันอุทิศ,ต.ไผ่ดำพัฒนา อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
วังหัวแหวน,ต.เกาะแก้ว อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
วังใต้,ต.บางกะพี้ อ.บ้านหมี่ จ.ลพบุรี 15110,เขตพื้นที่การศึกษาลพบุรี เขต 1
วังขรณ์,ต.โพชนไก่ อ.บางระจัน จ.สิงห์บุรี 16130,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
วังกะจับ,ต.คอทราย อ.ค่ายบางระจัน จ.สิงห์บุรี 16150,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
วิหารขาว,ต.วิหารขาว อ.ท่าช้าง จ.สิงห์บุรี 16140,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
วังหมัน,ต.วังหมัน อ.วัดสิงห์ จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
วิจิตรังสิตาราม,ต.บ้านเชี่ยน อ.หันคา จ.ชัยนาท 17130,เขตพื้นที่การศึกษาชัยนาท เขต 1
วิจิตรรังสรรค์,ต.วังไก่เถื่อน อ.หันคา จ.ชัยนาท 17130,เขตพื้นที่การศึกษาชัยนาท เขต 1
วงเดือน,ต.สามง่ามท่าโบสถ์ อ.หันคา จ.ชัยนาท 17160,เขตพื้นที่การศึกษาชัยนาท เขต 1
วังน้ำขาว,ต.วังตะเคียน อ.หนองมะโมง จ.ชัยนาท 17120,เขตพื้นที่การศึกษาชัยนาท เขต 1
วังยาง,ต.วังม่วง อ.วังม่วง จ.สระบุรี 18220,เขตพื้นที่การศึกษาสระบุรี เขต 2
วังเลน,ต.พุแค อ.เฉลิมพระเกียรติ จ.สระบุรี 18240,เขตพื้นที่การศึกษาสระบุรี เขต 1
