เจ้ามูล,แขวงวัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
เวตวันธรรมาวาส,แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
เวฬุวนาราม(สินทรัพย์-เพ็ญสุวรรณอนุสรณ์),แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 10210,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
เกาะแก้ว,ต.บางพลีน้อย อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
เปร็งราษฎร์บำรุง,ต.เปร็ง อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
เสาธงกลาง,ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
เสาธงนอก,ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
เขมาภิรตาราม,ต.สวนใหญ่ อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
เฉลิมพระเกียรติ(พิบูลบำรุง),ต.บางศรีเมือง อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
เชิงกระบือ,ต.บางกรวย อ.บางกรวย จ.นนทบุรี 11300,เขตพื้นที่การศึกษานนทบุรี เขต 1
เสาธงหิน(วันครู พ.ศ.2504),ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140,เขตพื้นที่การศึกษานนทบุรี เขต 2
เอนกดิษฐาราม,ต.บางใหญ่ อ.บางใหญ่ จ.นนทบุรี 11140,เขตพื้นที่การศึกษานนทบุรี เขต 2
เพรางาย,ต.หนองเพรางาย อ.ไทรน้อย จ.นนทบุรี 11150,เขตพื้นที่การศึกษานนทบุรี เขต 2
เสนีวงศ์,ต.หนองเพรางาย อ.ไทรน้อย จ.นนทบุรี 11150,เขตพื้นที่การศึกษานนทบุรี เขต 2
เชิงเลน,ต.ท่าอิฐ อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 2
เทียนถวาย,ต.บ้านใหม่ อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
เวฬุวัน,ต.บางพูด อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
เปรมประชากร,ต.บางพูน อ.เมืองปทุมธานี จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 1
เกิดการอุดม,ต.คลองสาม อ.คลองหลวง จ.ปทุมธานี,เขตพื้นที่การศึกษาปทุมธานี เขต 1
เพิ่มทาน,ต.คลองสี่ อ.คลองหลวง จ.ปทุมธานี 12120,เขตพื้นที่การศึกษาปทุมธานี เขต 1
เขียนเขต,ต.บึงยี่โถ อ.ธัญบุรี จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 2
เจริญบุญ,ต.บึงกาสาม อ.หนองเสือ จ.ปทุมธานี 12170,เขตพื้นที่การศึกษาปทุมธานี เขต 2
เนกขัมมาราม,ต.หน้าไม้ อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140,เขตพื้นที่การศึกษาปทุมธานี เขต 1
เกตุประภา,ต.บึงคำพร้อย อ.ลำลูกกา จ.ปทุมธานี 12150,เขตพื้นที่การศึกษาปทุมธานี เขต 2
เมตารางค์,ต.เชียงรากน้อย อ.สามโคก จ.ปทุมธานี,เขตพื้นที่การศึกษาปทุมธานี เขต 1
เชิงท่า,ต.บางกระบือ อ.สามโคก จ.ปทุมธานี 12160,เขตพื้นที่การศึกษาปทุมธานี เขต 1
เกตุ (ประชาราษฎร์บำรุง),ต.บ้านใหม่ อ.พระนครศรีอยุธยา จ.พระนครศรีอยุธยา 13000,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
เทพคันธาราม,ต.โพธิ์เอน อ.ท่าเรือ จ.พระนครศรีอยุธยา 13130,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
เรือแข่ง (ประชาอุปถัมภ์),ต.บางระกำ อ.นครหลวง จ.พระนครศรีอยุธยา 13260,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
เทพสนทวารี,ต.บางไทร อ.บางไทร จ.พระนครศรีอยุธยา 13190,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
เชิงเลน,ต.ราชคราม อ.บางไทร จ.พระนครศรีอยุธยา 13290,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
เปรมปรีชา,ต.เชียงรากน้อย อ.บางปะอิน จ.พระนครศรีอยุธยา 13180,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
เชิงท่า,ต.เกาะเกิด อ.บางปะอิน จ.พระนครศรีอยุธยา 13160,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
เกาะเลิ่ง,ต.บางปะหัน อ.บางปะหัน จ.พระนครศรีอยุธยา,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
เสาธงเก่า (ถึงสุขประชาสรรค์),ต.เสาธง อ.บางปะหัน จ.พระนครศรีอยุธยา 13000,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
เทพอุปการามฯ,ต.ตานิม อ.บางปะหัน จ.พระนครศรีอยุธยา 13220,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
เจริญธรรม เผอิญศรีภูธรอุปถัมภ์,ต.ภาชี อ.ภาชี จ.พระนครศรีอยุธยา 13140,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
เจ้าเจ็ดนอก,ต.เจ้าเจ็ด อ.เสนา จ.พระนครศรีอยุธยา 13110,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
เจ้าเจ็ดใน,ต.เจ้าเจ็ด อ.เสนา จ.พระนครศรีอยุธยา 13110,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
เจ้าแปดทรงไตรย์,ต.มารวิชัย อ.เสนา จ.พระนครศรีอยุธยา 13110,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
เศวตศิลาราม,ต.ปลายกลัด อ.บางซ้าย จ.พระนครศรีอยุธยา 13270,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
เทพมงคล,ต.เทพมงคล อ.บางซ้าย จ.พระนครศรีอยุธยา 13270,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
เจ้าปลุก (เติมรัฐประชาสรรค์),ต.เจ้าปลุก อ.มหาราช จ.พระนครศรีอยุธยา 13150,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
เขียนลาย (ทองคำวิทยานุสรณ์),ต.บ้านแพรก อ.บ้านแพรก จ.พระนครศรีอยุธยา 13240,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
เซิงหวาย,ต.หัวไผ่ อ.เมืองอ่างทอง จ.อ่างทอง 14000,เขตพื้นที่การศึกษาอ่างทอง เขต 1
เจ้าบุญเกิด,ต.เทวราช อ.ไชโย จ.อ่างทอง 14140,เขตพื้นที่การศึกษาอ่างทอง เขต 1
เทวราช,ต.เทวราช อ.ไชโย จ.อ่างทอง 14140,เขตพื้นที่การศึกษาอ่างทอง เขต 1
เยื้องคงคาราม,ต.เทวราช อ.ไชโย จ.อ่างทอง 14140,เขตพื้นที่การศึกษาอ่างทอง เขต 1
เกตุ,ต.สายทอง อ.ป่าโมก จ.อ่างทอง 14130,เขตพื้นที่การศึกษาอ่างทอง เขต 1
เอกราช,ต.เอกราช อ.ป่าโมก จ.อ่างทอง 14130,เขตพื้นที่การศึกษาอ่างทอง เขต 1
เกษทอง,ต.สามโก้ อ.สามโก้ จ.อ่างทอง 14160,เขตพื้นที่การศึกษาอ่างทอง เขต 1
