โบสถ์,แขวงดุสิต เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
โสมนัส,แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
โคธาราม,ต.บางเพรียง อ.บางบ่อ จ.สมุทรปราการ 10560,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
โยธินประดิษฐ์,ต.สำโรง อ.พระประแดง จ.สมุทรปราการ 10130,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
โชติการาม,ต.บางไผ่ อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
โบสถ์,ต.บางคูเวียง อ.บางกรวย จ.นนทบุรี 11300,เขตพื้นที่การศึกษานนทบุรี เขต 1
โคนอนราษฎร์บำรุง,ต.มหาสวัสดิ์ อ.บางกรวย จ.นนทบุรี 11300,เขตพื้นที่การศึกษานนทบุรี เขต 1
โมลี(นันทวิมล),ต.บางรักใหญ่ อ.บางบัวทอง จ.นนทบุรี 11110,เขตพื้นที่การศึกษานนทบุรี เขต 2
โพธิ์บ้านอ้อย,ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 2
โคก,ต.บางปรอก อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
โบสถ์(บวรธรรมกิจวิทยา),ต.บ้านกลาง อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
โพธิ์เลื่อน,ต.บ้านกระแชง อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
โปรยฝน,ต.หนองสามวัง อ.หนองเสือ จ.ปทุมธานี 12170,เขตพื้นที่การศึกษาปทุมธานี เขต 2
โพสพผลเจริญ,ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 2
โสภณาราม,ต.บึงคอไห อ.ลำลูกกา จ.ปทุมธานี 12150,เขตพื้นที่การศึกษาปทุมธานี เขต 2
โพธิ์เอน(ราษฏร์สามัคคีวิทยา),ต.โพธิ์เอน อ.ท่าเรือ จ.พระนครศรีอยุธยา 13130,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
โพธิ์ทอง (วาสนานุกูล),ต.บ่อโพง อ.นครหลวง จ.พระนครศรีอยุธยา 13260,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
โบสถ์สมพรชัย,ต.ราชคราม อ.บางไทร จ.พระนครศรีอยุธยา 13290,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
โพธิ์แตงใต้,ต.โพแตง อ.บางไทร จ.พระนครศรีอยุธยา 13290,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
โบสถ์,ต.บางบาล อ.บางบาล จ.พระนครศรีอยุธยา 13250,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
โพธิ์,ต.กบเจา อ.บางบาล จ.พระนครศรีอยุธยา 13250,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
โคก,ต.บางชะนี อ.บางบาล จ.พระนครศรีอยุธยา 13250,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
โพธิ์,ต.บ้านโพ อ.บางปะอิน จ.พระนครศรีอยุธยา 13160,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
โตนด (บุญชื่นอุปถัมภ์),ต.บางนางร้า อ.บางปะหัน จ.พระนครศรีอยุธยา 13220,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
