ไผ่ตัน,แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ไตรสามัคคี,ต.บางเมืองใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ไตรมิตรวราราม,ต.แหลมฟ้าผ่า อ.พระสมุทรเจดีย์ จ.สมุทรปราการ 10290,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ไทรใหญ่,ต.ไทรน้อย อ.ไทรน้อย จ.นนทบุรี 11150,เขตพื้นที่การศึกษานนทบุรี เขต 2
ไพร่ฟ้า,ต.บางเดื่อ อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ไผ่(เหวย-บุญช่วยโสมนรินทร์อุปถัมภ์),ต.บ้านเกาะ อ.พระนครศรีอยุธยา จ.พระนครศรีอยุธยา 13000,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ไก่เตี้ย(วิทยสุนทร),ต.บ้านรุน อ.พระนครศรีอยุธยา จ.พระนครศรีอยุธยา 13000,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ไก่จ้น,ต.ท่าหลวง อ.ท่าเรือ จ.พระนครศรีอยุธยา 18270,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ไทรโสภณ,ต.บ้านเกาะ อ.บางไทร จ.พระนครศรีอยุธยา 13190,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ไม้ตราสมาชิการาม,ต.ไม้ตรา อ.บางไทร จ.พระนครศรีอยุธยา 13190,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ไทรน้อย,ต.ไทรน้อย อ.บางบาล จ.พระนครศรีอยุธยา 13250,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ไผ่ล้อม,ต.สะพานไทย อ.บางบาล จ.พระนครศรีอยุธยา 13250,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ไผ่ล้อม (โสภณวิทยา),ต.ลาดน้ำเค็ม อ.ผักไห่ จ.พระนครศรีอยุธยา 13120,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ไชยภูมิ,ต.ชายนา อ.เสนา จ.พระนครศรีอยุธยา 13110,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ไทรงาม,ต.บ้านหีบ อ.อุทัย จ.พระนครศรีอยุธยา 13210,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ไก่เตี้ย,ต.คลองน้อย อ.บ้านแพรก จ.พระนครศรีอยุธยา 13240,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ไผ่ล้อม,ต.ศาลาแดง อ.เมืองอ่างทอง จ.อ่างทอง 14000,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ไทรย์,ต.ป่างิ้ว อ.เมืองอ่างทอง จ.อ่างทอง 14000,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ไทรย์นิโครธาราม,ต.จรเข้ร้อง อ.ไชโย จ.อ่างทอง 14140,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ไชยภูมิ,ต.ไชยภูมิ อ.ไชโย จ.อ่างทอง 14140,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ไชโย,ต.ไชโย อ.ไชโย จ.อ่างทอง 14140,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ไตรรัตนาราม,ต.ทางพระ อ.โพธิ์ทอง จ.อ่างทอง 14120,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ไผ่วง,ต.ไผ่วง อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ไผ่แหลม,ต.ราษฎรพัฒนา อ.สามโก้ จ.อ่างทอง 14160,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ไผ่แตร,ต.โพธิ์ตรุ อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
ไผ่ขาด,ต.งิ้วราย อ.อินทร์บุรี จ.สิงห์บุรี 16110,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ไผ่ดำ (มิตรภาพที่ 183),ต.ทองเอน อ.อินทร์บุรี จ.สิงห์บุรี 16110,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
ไผ่โพธิ์ทอง,ต.ท่าชัย อ.เมืองชัยนาท จ.ชัยนาท 17150,เขตพื้นที่การศึกษาชัยนาท เขต 1
ไผ่ล้อม(ทองดีประชานุกูล),ต.โพนางดำออก อ.สรรพยา จ.ชัยนาท 17150,เขตพื้นที่การศึกษาชัยนาท เขต 1
ไก่เส่า(พันธุ์พิทยาคาร),ต.ไก่เส่า อ.หนองแซง จ.สระบุรี 18170,เขตพื้นที่การศึกษาสระบุรี เขต 1
ไตรรัตนาราม,ต.คลองปูน อ.แกลง จ.ระยอง 21170,เขตพื้นที่การศึกษาระยอง เขต 2
ไผ่ล้อม,ต.บ้านค่าย อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
ไร่,ต.หนองละลอก อ.บ้านค่าย จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 1
ไผ่ล้อม,ต.จันทนิมิต อ.เมืองจันทบุรี จ.จันทบุรี 22000,เขตพื้นที่การศึกษาจันทบุรี เขต 1
ไทรทอง,ต.หนองโสน อ.เมืองตราด จ.ตราด 23000,เขตพื้นที่การศึกษาตราด เขต 1
ไชยธารา,ต.คลองอุดมชลจร อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
ไผ่ดำ,ต.ศาลาแดง อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 24150,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
ไผ่ขวาง,ต.เมืองใหม่ อ.ราชสาส์น จ.ฉะเชิงเทรา 24120,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ไผ่แก้ว,ต.แปลงยาว อ.แปลงยาว จ.ฉะเชิงเทรา 24190,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
ไชยมงคล,ต.เกาะลอย อ.ประจันตคาม จ.ปราจีนบุรี 25130,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
ไผ่งาม,ต.ไผ่ชะเลือด อ.ศรีมโหสถ จ.ปราจีนบุรี 25190,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
ไม้เสี่ยว,ต.ดอน อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
ไพรงาม,ต.หนองแวง อ.บ้านใหม่ไชยพจน์ จ.บุรีรัมย์ 31120,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
ไชยสถาน,ต.สบแม่ข่า อ.หางดง จ.เชียงใหม่ 50230,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
ไร่อ้อย สาขาบ้านวังตอ (รอยุบเลิก),ต.ไร่อ้อย อ.พิชัย จ.อุตรดิตถ์ -,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
ไร่อ้อย,ต.ไร่อ้อย อ.พิชัย จ.อุตรดิตถ์ 53120,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
ไผ่ล้อม,ต.ไผ่ล้อม อ.ลับแล จ.อุตรดิตถ์ 53210,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
ไผ่สิงห์,ต.ไผ่สิงห์ อ.ชุมแสง จ.นครสวรรค์ 60120,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ไทรย้อย,ต.ย่านยาว อ.สวรรคโลก จ.สุโขทัย 64110,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ไผ่ล้อม,ต.ย่านยาว อ.สวรรคโลก จ.สุโขทัย 64110,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ไผ่หลงราษฎร์เจริญ,ต.วังน้ำคู้ อ.เมืองพิษณุโลก จ.พิษณุโลก 65230,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
ไผ่ค่อม(แพรประชาอุปถัมภ์),ต.ปากโทก อ.เมืองพิษณุโลก จ.พิษณุโลก 65000,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
ไพรสุวรรณ,ต.บ้านไร่ อ.บางกระทุ่ม จ.พิษณุโลก 65110,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ไชยนาม,ต.ชัยนาม อ.วังทอง จ.พิษณุโลก 65130,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ไผ่รอบ,ต.ไผ่รอบ อ.โพธิ์ประทับช้าง จ.พิจิตร 66190,เขตพื้นที่การศึกษาพิจิตร เขต 1
ไทรโรงโขน,ต.ไทรโรงโขน อ.ตะพานหิน จ.พิจิตร,เขตพื้นที่การศึกษาพิจิตร เขต 2
ไดโสน,ต.ลำประดา อ.บางมูลนาก จ.พิจิตร 66120,เขตพื้นที่การศึกษาพิจิตร เขต 2
ไดอีเผือก,ต.ท้ายทุ่ง อ.ทับคล้อ จ.พิจิตร 66150,เขตพื้นที่การศึกษาพิจิตร เขต 2
