สตรีวิทยา,แขวงบวรนิเวศ เขตพระนคร กรุงเทพมหานคร 10200,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สตรีวรนาถ,แขวงบางขุนพรหม เขตพระนคร กรุงเทพมหานคร 10200,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สวนเด็ก,แขวงบางขุนพรหม เขตพระนคร กรุงเทพมหานคร 10200,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สุพมาศพิทยาคม,เขตพระนคร กรุงเทพมหานคร 10200,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สวนกุหลาบวิทยาลัย,เขตพระนคร กรุงเทพมหานคร 10200,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สรรพาวุธบำรุง,แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สตรีเนติศึกษา,เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สิริสาสน์วิทยาลัย,เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สุภาวดี,เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สุเหร่าคู้วิทยา,แขวงโคกแฝด เขตหนองจอก กรุงเทพมหานคร 10530,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
สตรีวัดมหาพฤฒาราม,แขวงมหาพฤฒาราม เขตบางรัก กรุงเทพมหานคร 10500,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สัจจพิทยา,แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สตรีศรีบำรุง,แขวงรองเมือง เขตปทุมวัน กรุงเทพมหานคร 10330,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สีตบุตรบำรุง,แขวงรองเมือง เขตปทุมวัน กรุงเทพมหานคร 10330,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สวนลุมพินี,แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
สุนีพิทยา,แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สายปัญญา ในพระบรมราชินูปถัมภ์,แขวงป้อมปราบ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สมานศึกษาวิทยา,แขวงวัดเทพศิรินทร์ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สตรีจุลนาค,แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สรรพาวุธวิทยา,แขวงบางนา เขตพระโขนง กรุงเทพมหานคร 10260,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สุทธิบงกข,แขวงบางนา เขตพระโขนง กรุงเทพมหานคร 10260,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สมถวิล,แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10250,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สมาหารศึกษา,แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10250,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สวนนันทวัน,แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10250,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สหะพาณิชย์แผนสามัญปุณณวิถี,แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สตรีเศรษฐบุตรบำเพ็ญ,แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
สุขเนตร,แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
สุดใจวิทยา,แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
สารสาสน์พัฒนา,แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สารสาสน์พิทยา,แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สารสาสน์เอกตรา,แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สามเสนวิทยาลัย,แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สวนบัว,แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สัตย์สงวนวิทยา,แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
สหบำรุงวิทยา,แขวงหิรัญรูจี เขตธนบุรี กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
สหนิยมวิทยา,แขวงบางยี่เรือ เขตธนบุรี กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
สตรีกุหลาบธนบุรี,แขวงบุคคโล เขตธนบุรี กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
