หนองจอกกงลิบฮั้วเคียว,แขวงหนองจอก เขตหนองจอก กรุงเทพมหานคร 10530,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
หนองจอกพิทยานุสสรณ์มัธยม,แขวงหนองจอก เขตหนองจอก กรุงเทพมหานคร 10530,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
หัวหมากวิทยานุสรณ์,แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
หนองจิกวิทยา,แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
หอวัง,แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
หมู่บ้านเศรษฐกิจ,แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
หาดอมราอักษรลักษณ์วิทยา,ต.ท้ายบ้าน อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
หลวงพ่อปานคลองด่านอนุสรณ์,ต.คลองด่าน อ.บางบ่อ จ.สมุทรปราการ 10550,เขตพื้นที่การศึกษาสมุทรปราการ เขต 6
หนองงูเห่าศาสตร์ประเสริฐ,ต.บางโฉลง อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
หอวัง ปทุมธานี,ต.สวนพริกไทย อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
หนองเสือวิทยาคม,ต.บึงบา อ.หนองเสือ จ.ปทุมธานี 12170,เขตพื้นที่การศึกษาปทุมธานี เขต 2
หิรัญพงษ์อนุสรณ์,ต.บึงกาสาม อ.หนองเสือ จ.ปทุมธานี 12170,เขตพื้นที่การศึกษาปทุมธานี เขต 2
หนองขนาก(ตุรงค์เรือง),ต.หนองขนาก อ.ท่าเรือ จ.พระนครศรีอยุธยา 13130,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
