ฮั่วเคี้ยว,ต.ในเมือง อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
ฮั้วเฉียวอุบลราชธานี2,ต.ในเมือง อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ฮั่วเคี้ยววิทยาลัย,ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
ฮั่วเคียวกงฮัก,ต.ในเมือง อ.เมืองหนองคาย จ.หนองคาย 43000,เขตพื้นที่การศึกษาหนองคาย เขต 1
ฮ่องฮีวิทยา,ต.ยางตลาด อ.ยางตลาด จ.กาฬสินธุ์ 46120,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 2
ฮอดพิทยาคม,ต.หางดง อ.ฮอด จ.เชียงใหม่ 50240,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
ฮั่วเคี้ยวกงลิบไต้ฮึน,ต.ศรีสุราษฎร์ อ.ดำเนินสะดวก จ.ราชบุรี 70130,เขตพื้นที่การศึกษาราชบุรี เขต 2
ฮกเฮง,ต.บ้านโป่ง อ.บ้านโป่ง จ.ราชบุรี 70110,เขตพื้นที่การศึกษาราชบุรี เขต 2
ฮิดายาตุดดีนนาวงวิทยา,ต.คลองเขม้า อ.เหนือคลอง จ.กระบี่ 81130,เขตพื้นที่การศึกษากระบี่ เขต 13
ฮั้วหนำ,อ.สายบุรี จ.ปัตตานี 94110,เขตพื้นที่การศึกษาปัตตานี เขต 3