เบญจมราชาลัย,แขวงสำราญราษฎร์ เขตพระนคร กรุงเทพมหานคร 10200,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
เซนต์คาเบรียล,แขวงวชิรพยาบาล เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
เซนต์ฟรังซีสซาเวียร์คอนแวนต์,แขวงวชิรพยาบาล เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
เยาวชนศึกษา,เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
เซนต์เทเรซา,แขวงกระทุ่มราย เขตหนองจอก กรุงเทพมหานคร 10530,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
เตรียมอุดมศึกษา สุวินทวงศ์,แขวงลำผักชี เขตหนองจอก กรุงเทพมหานคร 10250,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
เยนเฮส์เม็นโมเรียล,แขวงมหาพฤฒาราม เขตบางรัก กรุงเทพมหานคร 10500,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
เซนต์โยเซฟคอนเวนต์,แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
เอี่ยมพานิชวิทยา,แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
เลิศอุบลอนุบาล,แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
เศรษฐบุตรอุปถัมป์,แขวงวังทองหลาง เขตบางกะปิ กรุงเทพมหานคร 10310,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
เทพลีลา,แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
เพ็ญสมิทธ์,แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
เตรียมอุดมศึกษา,แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
เจริญศึกษา,แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
