แสนยานุกรวิทยา,เขตพระนคร กรุงเทพมหานคร 10200,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
แจ่มศึกษา,แขวงวังทองหลาง เขตบางกะปิ กรุงเทพมหานคร 10310,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
แต่งตั้งวิทยา,แขวงวังทองหลาง เขตบางกะปิ กรุงเทพมหานคร 10310,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
แจ่มศึกษาแผนกประถม,เขตบางกะปิ กรุงเทพมหานคร 10310,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
แสงหิรัญวิทยา,แขวงทับยาว เขตลาดกระบัง กรุงเทพมหานคร 10520,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
แสงอรุณ,แขวงวัดกัลยาณ์ เขตธนบุรี กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
แสงมณี,แขวงวัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
แสงสุวรรณ,แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
แม่พระฟาติมา,แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10320,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
แย้มสอาด,แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
แอ๊ดเวนตีสเอกมัย,แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
แสงหิรัญ,แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10260,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
แสนสนุกไตรทักษะ,แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10130,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
แก้วอินทร์สุธาอุทิศ,ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140,เขตพื้นที่การศึกษานนทบุรี เขต 2
แสงประเสริฐ,ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110,เขตพื้นที่การศึกษานนทบุรี เขต 2
แสงประทีปรัฐบำรุง,ต.ละหาร อ.บางบัวทอง จ.นนทบุรี 11110,เขตพื้นที่การศึกษานนทบุรี เขต 2
แก้วสว่างวิทยา,ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 2
แสนจําหน่ายวิทยา,ต.ศาลาครุ อ.หนองเสือ จ.ปทุมธานี 12170,เขตพื้นที่การศึกษาปทุมธานี เขต 2
แสนชื่นปานนุกูล,ต.นพรัตน์ อ.หนองเสือ จ.ปทุมธานี 12170,เขตพื้นที่การศึกษาปทุมธานี เขต 2
แสงทวีปวิทยา,ต.ท่าเรือ อ.ท่าเรือ จ.พระนครศรีอยุธยา 13130,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
แสนโกศินนุสรณ์,ต.จำปา อ.ท่าเรือ จ.พระนครศรีอยุธยา 13130,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
แสงทองวิทยา,ต.หน้าโคก อ.ผักไห่ จ.พระนครศรีอยุธยา 13120,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
แสวงหาวิทยาคม,ต.แสวงหา อ.แสวงหา จ.อ่างทอง 14150,เขตพื้นที่การศึกษาอ่างทอง เขต 1
แก้วประทานพรวิทยา,ต.หนองม่วง อ.หนองม่วง จ.ลพบุรี 15170,เขตพื้นที่การศึกษาลพบุรี เขต 2
แสงเทียน,อ.เมืองสิงห์บุรี จ.สิงห์บุรี 16000,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
แก่งคอย,ต.แก่งคอย อ.แก่งคอย จ.สระบุรี 18110,เขตพื้นที่การศึกษาสระบุรี เขต 2
แสงวิทยา,ต.แก่งคอย อ.แก่งคอย จ.สระบุรี 18000,เขตพื้นที่การศึกษาสระบุรี เขต 2
แสนสุขศึกษา,ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี 20130,เขตพื้นที่การศึกษาชลบุรี เขต 1
แกลง(วิทยสถาวร),ต.ทางเกวียน อ.แกลง จ.ระยอง 21120,เขตพื้นที่การศึกษาระยอง เขต 2
แหลมสิงห์วิทยาคม,ต.พลิ้ว อ.แหลมสิงห์ จ.จันทบุรี 22190,เขตพื้นที่การศึกษาจันทบุรี เขต 2
แก่งหางแมวพิทยาคาร,ต.แก่งหางแมว อ.แก่งหางแมว จ.จันทบุรี 22160,เขตพื้นที่การศึกษาจันทบุรี เขต 1
แหลมงอบวิทยาคม,ต.แหลมงอบ อ.แหลมงอบ จ.ตราด 23120,เขตพื้นที่การศึกษาตราด เขต 1
แพ่งพิทยาภูมิ,ต.คลองหลวงแพ่ง อ.เมืองฉะเชิงเทรา จ.ฉะเชิงเทรา 24000,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
แสมขาววิทยาคาร,ต.สองคลอง อ.บางปะกง จ.ฉะเชิงเทรา 24130,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
แปลงยาวพิทยาคม,ต.วังเย็น อ.แปลงยาว จ.ฉะเชิงเทรา 24190,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 2
แสนวิทยาภูมิ,อ.ครบุรี จ.นครราชสีมา 30250,เขตพื้นที่การศึกษานครราชสีมา เขต 3
แหลมรวกบำรุง,ต.ธงชัยเหนือ อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
แหลมทองวิทยานุสรณ์,ต.สูงเนิน อ.สูงเนิน จ.นครราชสีมา 30170,เขตพื้นที่การศึกษานครราชสีมา เขต 4
แสงสุริยาวิทยา,ต.หนองสาหร่าย อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
แก้งสนามนางพิทยาคม,ต.แก้งสนามนาง อ.แก้งสนามนาง จ.นครราชสีมา 30440,เขตพื้นที่การศึกษานครราชสีมา เขต 6
แกสำโรงวิทยา,ต.วังหิน อ.โนนแดง จ.นครราชสีมา 30360,เขตพื้นที่การศึกษานครราชสีมา เขต 7
แสลงโทนพิทยาคม,ต.แสลงโทน อ.ประโคนชัย จ.บุรีรัมย์ 31140,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
แคนดงพิทยาคม,ต.แคนดง อ.แคนดง จ.บุรีรัมย์ 31150,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
แสงทรัพย์ประชาวิทยาคาร,ต.ตาอ็อง อ.เมืองสุรินทร์ จ.สุรินทร์ 32000,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
แสงทองสมบูรณ์วิทยา,ต.ด่าน อ.กาบเชิง จ.สุรินทร์ 32210,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
แนงมุดวิทยา,ต.แนงมุด อ.กาบเชิง จ.สุรินทร์ 32210,เขตพื้นที่การศึกษาสุรินทร์ เขต 3
แกศึกษาพัฒนา,ต.แก อ.รัตนบุรี จ.สุรินทร์ 32130,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
แงงกวง,ต.ระแงง อ.ศีขรภูมิ จ.สุรินทร์ 32110,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
แตลศิริวิทยา,ต.แตล อ.ศีขรภูมิ จ.สุรินทร์ 32110,เขตพื้นที่การศึกษาสุรินทร์ เขต 1
แร่วิทยา,ต.บ้านแร่ อ.เขวาสินรินทร์ จ.สุรินทร์ 32000,เขตพื้นที่การศึกษาสุรินทร์ เขต 33
แวงแก้ววิทยา,ต.หนองแก้ว อ.กันทรารมย์ จ.ศรีสะเกษ 33130,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
แอ็ดเวนตีสอุบล,ต.ในเมือง อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
แก้งเหนือพิทยาคม,ต.แก้งเหนือ อ.เขมราฐ จ.อุบลราชธานี 34170,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
แก้งบ้านหนองสนม,ต.โคกชำแระ อ.ทุ่งศรีอุดม จ.อุบลราชธานี 34160,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
แก้งคร้อวิทยา,ต.หนองไผ่ อ.แก้งคร้อ จ.ชัยภูมิ 36150,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
แหลมทองผดุงวิทย์,ต.แหลมทอง อ.ภักดีชุมพล จ.ชัยภูมิ 36260,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
แก่นนครวิทยาลัย,ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
