โยนออฟอาร์ค,แขวงวชิรพยาบาล เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
โยนออฟอาร์คอนุบาล,แขวงวชิรพยาบาล เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
โยธินบูรณะ,แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพมหานคร 10300,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
โพธิสารพิทยากร,แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
โฆสิตสโมสร,แขวงศิริราช เขตบางกอกน้อย กรุงเทพมหานคร 10700,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
โรจนนิมิต แผนกมัธยม,แขวงบางปะกอก เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
โสมาภา,แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
โกศลวิทยา,แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
โยธินบูรณะ2(สุวรรณสุทธาราม),แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
โรงเรียนโยธินบูรณะ2(สุวรรณสุทธาราม),แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
โรจน์เสรีอนุสรณ์,แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
โกวิทธำรง,แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
โสมาภานุสสรณ์,แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
โชติกาญจน์,แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
โรงเรียนคลองเสาธง,ต.บางปูใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
โพธินิมิตวิทยาคม,ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 3
โรงเรียนนครรังสิต เปรมปรีดิ์,ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 1
โรงเรียนวัดบัวขวัญ,ต.ลาดหลุมแก้ว อ.ลาดหลุมแก้ว จ.ปทุมธานี 12140,เขตพื้นที่การศึกษาปทุมธานี เขต 1
โรงเรียนวัดพนัญเชิง(ไตรรัตนนายก),ต.คลองสวนพลู อ.พระนครศรีอยุธยา จ.พระนครศรีอยุธยา 13000,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
โรงเรียนอนุบาลศูนย์ศิลปาชีพบางไทรฯ,ต.ช้างใหญ่ อ.บางไทร จ.พระนครศรีอยุธยา 13290,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
โคกตาพรหม,ต.เต่าเล่า อ.บางซ้าย จ.พระนครศรีอยุธยา 13270,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
โพธิ์ราษฎร์บำรุง,ต.สองห้อง อ.บ้านแพรก จ.พระนครศรีอยุธยา 13240,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
โรงเรียนอนุบาลวัดอ่างทอง,ต.บางแก้ว อ.เมืองอ่างทอง จ.อ่างทอง 14000,เขตพื้นที่การศึกษาอ่างทอง เขต 1
โยธินบูรณะ อ่างทอง,ต.จำปาหล่อ อ.เมืองอ่างทอง จ.อ่างทอง 14000,เขตพื้นที่การศึกษาอ่างทอง เขต 5
โพธิ์ทอง(จินดามณี),ต.อ่างแก้ว อ.โพธิ์ทอง จ.อ่างทอง 14120,เขตพื้นที่การศึกษาอ่างทอง เขต 1
โพธิ์ทองพิทยาคม,ต.โคกพุทรา อ.โพธิ์ทอง จ.อ่างทอง 14120,เขตพื้นที่การศึกษาอ่างทอง เขต 1
โกษานุสรณ์,ต.ทะเลชุบศร อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
โคกกะเทียมวิทยาลัย,ต.เขาพระงาม อ.เมืองลพบุรี จ.ลพบุรี 15160,เขตพื้นที่การศึกษาลพบุรี เขต 5
โรงพยาบาลอานันทมหิดล,ต.เขาสามยอด อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
โคกลำพานวิทยา,ต.โคกลำพาน อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
โคกตูมวิทยา,ต.โคกตูม อ.เมืองลพบุรี จ.ลพบุรี 15210,เขตพื้นที่การศึกษาลพบุรี เขต 1
โคกสลุงวิทยา,ต.โคกสลุง อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
โคกสำโรง,ต.โคกสำโรง อ.โคกสำโรง จ.ลพบุรี 15120,เขตพื้นที่การศึกษาลพบุรี เขต 1
