ไตรรัตนาภิรักษ์ (อนุบาลวัดไตรรัตนาราม),แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ไขศรีปราโมชอนุสรณ์,แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 0
ไทยประสาทวิทยา,แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ไตรมิตรวิทยาลัย,แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ไกรวิทย์อนุสรณ์,แขวงวัดกัลยาณ์ เขตธนบุรี กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ไทรอัมค์คิงส์ดอมส์,แขวงบางค้อ เขตบางขุนเทียน กรุงเทพมหานคร 10225,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ไชยฉิมพลีวิทยาคม,แขวงบางแวก เขตภาษีเจริญ กรุงเทพมหานคร 10160,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ไทยประสิทธิ์ศาสตร์,แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ไผทอุดมศึกษา,แขวงตลาดบางเขน เขตดอนเมือง กรุงเทพมหานคร 10210,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ไทยรัฐวิทยา ๗๕,แขวงคลองถนน เขตสายไหม กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ไทยรัฐวิทยา 71 (ก่อสร้างคลองด่าน),ต.คลองด่าน อ.บางบ่อ จ.สมุทรปราการ 10550,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
ไพรีขยาด,ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
ไทยรัฐวิทยา ๕๕ (วัดโบสถ์ดอนพรหม),ต.บางกร่าง อ.เมืองนนทบุรี จ.นนทบุรี 11000,เขตพื้นที่การศึกษานนทบุรี เขต 1
ไทรน้อย,ต.ไทรน้อย อ.ไทรน้อย จ.นนทบุรี 11150,เขตพื้นที่การศึกษานนทบุรี เขต 2
ไทยรัฐวิทยา95 (วัดโพธิ์ทองบน),ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 2
ไทยรัฐวิทยา 69 (คลองหลวง),ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,เขตพื้นที่การศึกษาปทุมธานี เขต 1
ไกรลาศศึกษา,ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ไทยรัฐวิทยา 3,ต.บางไทร อ.บางไทร จ.พระนครศรีอยุธยา 13190,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ไตรราชวิทยา,ต.ไม้ตรา อ.บางไทร จ.พระนครศรีอยุธยา 13190,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ไตรอรุณศึกษา,ต.ไม้ตรา อ.บางไทร จ.พระนครศรีอยุธยา 13190,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ไทยรัฐวิทยา 2,ต.ช้างใหญ่ อ.บางไทร จ.พระนครศรีอยุธยา 13290,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ไทยรัฐวิทยา 6,ต.บางเสด็จ อ.ป่าโมก จ.อ่างทอง 14130,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ไผ่วงวิทยา,ต.ไผ่วง อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ไทยรัฐวิทยา 1,ต.ท่าศาลา อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
ไทยรัฐวิทยา 100(บ้านคันนาหิน),ต.โคกสลุง อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
ไทยรัฐวิทยา 56 (บ้านหนองกระทุ่ม),ต.หนองกระทุ่ม อ.ค่ายบางระจัน จ.สิงห์บุรี 16150,เขตพื้นที่การศึกษาสิงห์บุรี เขต 1
